Trigger Date,Instrument,Buy/Sell,Quantity,Price,Cumulative P&L,Trigger type
BRITANNIA results,,,,,,
27-07-2020 10:45,NSE_BRITANNIA,SELL,-100,3795.8,0,EN
27-07-2020 15:15,NSE_BRITANNIA,BUY,100,3781,1480,SO
28-07-2020 10:35,NSE_BRITANNIA,SELL,-100,3799.75,1480,EN
28-07-2020 15:15,NSE_BRITANNIA,BUY,100,3773.05,4150,SO
29-07-2020 09:50,NSE_BRITANNIA,SELL,-100,3821.9,4150,EN
29-07-2020 15:15,NSE_BRITANNIA,BUY,100,3795.15,6825,SO
30-07-2020 11:00,NSE_BRITANNIA,SELL,-100,3861,6825,EN
30-07-2020 15:15,NSE_BRITANNIA,BUY,100,3810.5,11875,SO
31-07-2020 10:00,NSE_BRITANNIA,SELL,-100,3841,11875,EN
31-07-2020 15:15,NSE_BRITANNIA,BUY,100,3822.95,13680,SO
03-08-2020 09:35,NSE_BRITANNIA,SELL,-100,3817.65,13680,EN
03-08-2020 15:15,NSE_BRITANNIA,BUY,100,3776.1,17835,SO
04-08-2020 10:15,NSE_BRITANNIA,SELL,-100,3834.65,17835,EN
04-08-2020 15:15,NSE_BRITANNIA,BUY,100,3809.85,20315,SO
05-08-2020 09:50,NSE_BRITANNIA,SELL,-100,3855,20315,EN
05-08-2020 15:15,NSE_BRITANNIA,BUY,100,3847.45,21070,SO
06-08-2020 10:15,NSE_BRITANNIA,SELL,-100,3896,21070,EN
06-08-2020 15:15,NSE_BRITANNIA,BUY,100,3857.5,24920,SO
07-08-2020 10:00,NSE_BRITANNIA,SELL,-100,3860.8,24920,EN
07-08-2020 10:35,NSE_BRITANNIA,BUY,100,3889.76,22024,SL
07-08-2020 11:40,NSE_BRITANNIA,SELL,-100,3879.8,22024,EN
07-08-2020 14:30,NSE_BRITANNIA,BUY,100,3908.9,19114,SL
10-08-2020 09:45,NSE_BRITANNIA,SELL,-100,3971.45,19114,EN
10-08-2020 11:20,NSE_BRITANNIA,BUY,100,4001.24,16135,SL
10-08-2020 11:50,NSE_BRITANNIA,SELL,-100,3989.65,16135,EN
10-08-2020 15:15,NSE_BRITANNIA,BUY,100,3947.55,20345,SO
11-08-2020 09:45,NSE_BRITANNIA,SELL,-100,3938.3,20345,EN
11-08-2020 15:15,NSE_BRITANNIA,BUY,100,3888.4,25335,SO
12-08-2020 09:20,NSE_BRITANNIA,SELL,-100,3862.4,25335,EN
12-08-2020 15:15,NSE_BRITANNIA,BUY,100,3809,30675,SO
13-08-2020 09:45,NSE_BRITANNIA,SELL,-100,3835,30675,EN
13-08-2020 15:15,NSE_BRITANNIA,BUY,100,3807.65,33410,SO
14-08-2020 09:55,NSE_BRITANNIA,SELL,-100,3829.95,33410,EN
14-08-2020 14:20,NSE_BRITANNIA,BUY,100,3753.35,41070,TP
17-08-2020 09:40,NSE_BRITANNIA,SELL,-100,3813.6,41070,EN
17-08-2020 09:55,NSE_BRITANNIA,BUY,100,3842.2,38210,SL
17-08-2020 10:40,NSE_BRITANNIA,SELL,-100,3836,38210,EN
17-08-2020 14:15,NSE_BRITANNIA,BUY,100,3864.77,35333,SL
17-08-2020 14:50,NSE_BRITANNIA,SELL,-100,3857.4,35333,EN
