"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","358.00","359.00","343.95","357.85","345.95","347.85","352.77","428.85","203.00",3086223,"1,088,741,509.45",40089
"18-Sep-2020","EQ","348.70","359.80","347.10","346.10","359.10","357.85","355.48","428.85","203.00",4963128,"1,764,294,553.15",56741
"17-Sep-2020","EQ","352.00","355.50","345.00","353.55","346.45","346.10","349.86","428.85","203.00",2433213,"851,273,266.85",42562
"16-Sep-2020","EQ","352.25","356.10","348.95","352.65","352.90","353.55","353.29","428.85","203.00",1998100,"705,901,722.20",33098
"15-Sep-2020","EQ","355.10","356.80","351.00","351.65","351.70","352.65","353.60","428.85","203.00",2042343,"722,180,645.75",34558
"14-Sep-2020","EQ","345.00","353.60","343.45","342.50","351.50","351.65","349.42","428.85","203.00",4221864,"1,475,212,151.85",61761
"11-Sep-2020","EQ","341.00","343.90","333.45","341.60","340.55","342.50","339.18","428.85","203.00",4656343,"1,579,341,294.25",59984
"10-Sep-2020","EQ","346.00","348.95","336.60","343.85","340.85","341.60","343.55","428.85","203.00",3893126,"1,337,475,726.05",68676
"09-Sep-2020","EQ","344.40","346.30","335.35","345.60","344.75","343.85","341.33","428.85","203.00",3413215,"1,165,021,539.65",46303
"08-Sep-2020","EQ","352.70","355.95","343.55","352.05","345.10","345.60","351.07","428.85","203.00",2339457,"821,319,190.45",39983
"07-Sep-2020","EQ","355.00","357.95","347.20","353.00","351.05","352.05","351.73","428.85","203.00",3344349,"1,176,316,330.90",43113
"04-Sep-2020","EQ","363.40","363.40","351.10","366.00","354.20","353.00","357.20","428.85","203.00",7628188,"2,724,816,904.65",81007
"03-Sep-2020","EQ","363.50","368.00","359.55","359.90","366.20","366.00","364.67","428.85","203.00",4286269,"1,563,066,415.05",56888
"02-Sep-2020","EQ","352.95","363.50","344.10","348.80","360.10","359.90","355.80","428.85","203.00",5694675,"2,026,152,981.05",66344
"01-Sep-2020","EQ","357.00","365.35","341.40","355.75","351.00","348.80","353.73","428.85","203.00",6726316,"2,379,312,308.20",65666
"31-Aug-2020","EQ","365.00","378.35","352.00","360.05","353.55","355.75","367.22","428.85","203.00",19379274,"7,116,480,249.40",200483
"28-Aug-2020","EQ","355.00","363.00","348.50","350.55","359.55","360.05","356.19","428.85","203.00",5406554,"1,925,763,371.50",61052
"27-Aug-2020","EQ","356.00","357.45","349.55","354.25","350.85","350.55","353.96","428.85","203.00",2996658,"1,060,691,123.15",38053
"26-Aug-2020","EQ","346.35","366.90","346.35","346.10","352.80","354.25","359.39","428.85","203.00",11568961,"4,157,715,503.95",119740
"25-Aug-2020","EQ","351.90","352.00","341.00","349.00","345.40","346.10","345.32","428.85","203.00",3532971,"1,219,988,776.65",45969
"24-Aug-2020","EQ","358.40","363.30","347.60","354.35","350.50","349.00","354.12","428.85","203.00",3489262,"1,235,625,992.00",42490
"21-Aug-2020","EQ","357.90","359.35","353.00","353.60","353.15","354.35","355.70","428.85","203.00",1342269,"477,450,265.25",24559
"20-Aug-2020","EQ","354.95","357.10","347.95","356.65","353.35","353.60","353.79","428.85","203.00",3533916,"1,250,266,188.30",64231
"19-Aug-2020","EQ","360.00","366.20","355.50","357.45","356.30","356.65","359.87","428.85","203.00",3269190,"1,176,483,812.20",47238
"18-Aug-2020","EQ","356.90","359.50","354.50","357.45","358.25","357.45","357.21","428.85","203.00",2151419,"768,517,064.50",26121
"17-Aug-2020","EQ","350.85","358.00","346.80","348.10","357.25","357.45","355.13","428.85","203.00",4508358,"1,601,069,314.55",62052
"14-Aug-2020","EQ","353.75","353.75","343.65","347.65","348.80","348.10","349.12","428.85","203.00",3377000,"1,178,971,733.55",43149
"13-Aug-2020","EQ","343.55","348.95","341.75","341.20","348.30","347.65","346.15","428.85","203.00",2707033,"937,031,607.40",52899
"12-Aug-2020","EQ","336.00","347.75","331.75","335.00","341.30","341.20","342.48","428.85","203.00",10674205,"3,655,743,286.35",110910
"11-Aug-2020","EQ","333.50","336.75","330.70","331.30","334.95","335.00","333.90","428.85","203.00",3504783,"1,170,243,377.40",48058
"10-Aug-2020","EQ","329.00","333.95","325.70","326.65","331.25","331.30","331.19","428.85","203.00",3187734,"1,055,760,716.95",39656
"07-Aug-2020","EQ","323.90","328.35","321.55","323.80","326.45","326.65","325.34","428.85","203.00",2634956,"857,255,053.10",32454
"06-Aug-2020","EQ","330.10","330.90","321.40","327.10","324.05","323.80","325.66","428.85","203.00",3282020,"1,068,808,454.70",39724
"05-Aug-2020","EQ","316.40","328.80","313.40","314.95","327.00","327.10","322.29","428.85","203.00",8387056,"2,703,054,553.40",84896
"04-Aug-2020","EQ","313.00","317.75","311.35","311.35","315.00","314.95","314.91","428.85","203.00",3182644,"1,002,244,969.25",44577
"03-Aug-2020","EQ","311.00","319.55","308.65","315.20","313.00","311.35","313.84","428.85","203.00",2408531,"755,904,546.10",35461
"31-Jul-2020","EQ","315.00","318.15","312.75","312.50","315.15","315.20","315.45","428.85","203.00",1945026,"613,558,478.65",26265
"30-Jul-2020","EQ","317.85","321.75","310.10","315.15","312.25","312.50","315.96","428.85","203.00",2498355,"789,376,741.20",33810
"29-Jul-2020","EQ","317.05","323.00","312.05","318.60","315.20","315.15","317.46","428.85","203.00",4000041,"1,269,837,418.45",46866
"28-Jul-2020","EQ","309.90","320.00","308.05","309.05","318.50","318.60","316.69","428.85","203.00",4973848,"1,575,150,788.55",55198
"27-Jul-2020","EQ","309.00","310.70","298.00","309.40","309.70","309.05","305.75","428.85","203.00",5465737,"1,671,173,185.50",39366
"24-Jul-2020","EQ","313.90","313.95","305.35","313.90","309.00","309.40","308.72","428.85","203.00",2457671,"758,722,233.05",34453
"23-Jul-2020","EQ","313.40","315.95","311.60","312.00","314.00","313.90","314.08","428.85","203.00",2831417,"889,305,259.70",33682
"22-Jul-2020","EQ","316.20","318.65","309.10","314.70","312.40","312.00","314.27","428.85","203.00",3068805,"964,441,839.80",51867
"21-Jul-2020","EQ","320.90","325.35","313.60","317.30","315.05","314.70","319.26","428.85","203.00",4264604,"1,361,500,804.50",58381
"20-Jul-2020","EQ","316.00","318.70","310.35","313.00","317.95","317.30","314.80","428.85","203.00",4328922,"1,362,734,365.40",52748
"17-Jul-2020","EQ","312.00","318.90","310.60","311.20","314.10","313.00","314.19","428.85","203.00",3264266,"1,025,593,004.75",40107
"16-Jul-2020","EQ","317.00","317.45","309.60","315.15","311.00","311.20","312.24","428.85","203.00",3122868,"975,076,018.00",29815
"15-Jul-2020","EQ","320.55","324.50","312.90","320.40","314.80","315.15","319.49","428.85","203.00",3905269,"1,247,706,784.60",38445
"14-Jul-2020","EQ","332.70","333.50","319.70","332.20","319.90","320.40","324.19","428.85","203.00",3146962,"1,020,222,437.60",42784
"13-Jul-2020","EQ","336.25","339.65","331.50","334.95","332.70","332.20","334.26","428.85","203.00",2187706,"731,268,056.40",31252
"10-Jul-2020","EQ","341.00","342.70","332.25","343.15","335.50","334.95","334.65","428.85","203.00",3368457,"1,127,255,253.20",39357
"09-Jul-2020","EQ","341.00","346.50","340.00","340.60","344.55","343.15","342.95","428.85","203.00",3635224,"1,246,692,293.55",36509
"08-Jul-2020","EQ","349.00","349.65","339.30","345.95","340.30","340.60","342.09","428.85","203.00",3988479,"1,364,419,919.15",52182
"07-Jul-2020","EQ","361.00","361.00","344.25","359.45","346.75","345.95","348.58","428.85","203.00",4348443,"1,515,784,902.55",80880
"06-Jul-2020","EQ","365.10","366.00","356.10","360.40","361.75","359.45","361.88","428.85","203.00",3360577,"1,216,121,914.50",40192
"03-Jul-2020","EQ","350.20","366.80","348.65","346.80","361.10","360.40","361.91","428.85","203.00",9300948,"3,366,073,077.75",118487
"02-Jul-2020","EQ","346.00","349.60","344.90","343.80","347.05","346.80","347.10","428.85","203.00",1204040,"417,928,124.10",17692
"01-Jul-2020","EQ","345.90","347.05","341.30","343.90","344.45","343.80","344.36","428.85","203.00",1202080,"413,947,163.80",16762
"30-Jun-2020","EQ","344.00","349.80","342.40","342.65","346.10","343.90","346.62","428.85","203.00",2828820,"980,512,294.70",37742
"29-Jun-2020","EQ","341.35","344.05","339.10","343.20","343.00","342.65","341.58","428.85","203.00",3263757,"1,114,817,814.35",32309
"26-Jun-2020","EQ","348.00","349.00","339.60","344.00","343.80","343.20","343.63","428.85","203.00",3979519,"1,367,489,149.35",34835
"25-Jun-2020","EQ","349.80","351.50","342.20","351.85","345.50","344.00","346.14","428.85","203.00",5056963,"1,750,401,651.00",53008
"24-Jun-2020","EQ","355.35","360.00","349.60","355.65","352.20","351.85","355.39","428.85","203.00",2841354,"1,009,786,745.90",43565
"23-Jun-2020","EQ","350.00","357.20","346.75","349.60","355.30","355.65","352.28","428.85","203.00",2715738,"956,704,260.70",44860
"22-Jun-2020","EQ","350.00","353.90","346.70","348.90","349.50","349.60","350.50","428.85","203.00",2515842,"881,806,631.85",44862
"19-Jun-2020","EQ","344.40","354.90","341.50","343.80","350.00","348.90","350.32","428.85","203.00",6917610,"2,423,399,177.85",66707
"18-Jun-2020","EQ","340.35","345.50","335.15","341.30","344.40","343.80","340.18","428.85","203.00",2502231,"851,213,205.40",39030
"17-Jun-2020","EQ","341.00","346.45","337.55","340.80","341.95","341.30","342.98","428.85","203.00",2458021,"843,060,259.95",30813
"16-Jun-2020","EQ","347.00","347.00","335.90","339.75","340.70","340.80","341.24","428.85","203.00",2686021,"916,573,886.10",38327
