"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","2,036.40","2,057.00","1,962.30","2,028.40","1,973.10","1,972.55","2,011.56","2,069.95","1,431.20",2518364,"5,065,843,149.20",104818
"18-Sep-2020","EQ","2,026.30","2,044.35","2,015.00","2,007.95","2,037.85","2,028.40","2,029.03","2,069.95","1,431.20",3021436,"6,130,583,275.50",92447
"17-Sep-2020","EQ","2,000.00","2,045.00","2,000.00","2,012.10","2,008.20","2,007.95","2,024.85","2,069.95","1,431.20",2416941,"4,893,949,544.45",97319
"16-Sep-2020","EQ","2,027.00","2,027.00","1,994.15","2,017.55","2,015.00","2,012.10","2,005.56","2,069.95","1,431.20",1717740,"3,445,037,499.05",58459
"15-Sep-2020","EQ","2,045.00","2,049.55","2,009.05","2,031.20","2,017.00","2,017.55","2,022.85","2,069.95","1,431.20",1997410,"4,040,470,762.95",59082
"14-Sep-2020","EQ","2,050.00","2,054.00","2,005.00","2,035.95","2,028.50","2,031.20","2,023.94","2,069.95","1,431.20",2142458,"4,336,210,408.25",79812
"11-Sep-2020","EQ","2,063.00","2,069.95","2,022.00","2,056.55","2,039.05","2,035.95","2,037.73","2,069.95","1,431.20",2599525,"5,297,136,069.45",93187
"10-Sep-2020","EQ","1,985.05","2,069.70","1,981.00","1,979.05","2,062.95","2,056.55","2,026.48","2,069.70","1,431.20",5081254,"10,297,042,470.60",172842
"09-Sep-2020","EQ","1,960.35","1,993.90","1,958.00","1,960.35","1,982.90","1,979.05","1,977.35","2,016.85","1,431.20",2776804,"5,490,717,417.80",103802
"08-Sep-2020","EQ","1,987.50","2,001.95","1,952.00","1,982.10","1,957.40","1,960.35","1,982.90","2,016.85","1,431.20",2401054,"4,761,058,800.10",91481
"07-Sep-2020","EQ","1,965.00","2,003.65","1,948.10","1,956.35","1,980.00","1,982.10","1,980.61","2,016.85","1,431.20",2855493,"5,655,609,672.80",98822
"04-Sep-2020","EQ","1,958.00","1,993.70","1,951.00","1,978.00","1,957.10","1,956.35","1,967.96","2,016.85","1,431.20",1930422,"3,798,995,024.85",77971
"03-Sep-2020","EQ","1,950.20","1,987.85","1,945.00","1,943.95","1,979.00","1,978.00","1,971.41","2,016.85","1,431.20",1931667,"3,808,112,647.95",78238
"02-Sep-2020","EQ","1,977.95","1,997.00","1,925.00","1,979.30","1,951.00","1,943.95","1,952.32","2,016.85","1,431.20",2569603,"5,016,689,171.55",118065
"01-Sep-2020","EQ","1,925.00","1,988.00","1,907.75","1,899.10","1,982.85","1,979.30","1,960.00","2,016.85","1,431.20",3068584,"6,014,418,385.25",87736
"31-Aug-2020","EQ","1,977.00","1,983.90","1,881.25","1,958.10","1,894.95","1,899.10","1,924.67","2,016.85","1,431.20",2738546,"5,270,796,403.45",82764
"28-Aug-2020","EQ","1,994.00","1,997.00","1,953.30","1,982.50","1,961.00","1,958.10","1,964.60","2,016.85","1,431.20",1842553,"3,619,878,280.10",86350
"27-Aug-2020","EQ","1,980.90","2,009.00","1,970.05","1,971.40","1,985.00","1,982.50","1,988.53","2,016.85","1,431.20",3116307,"6,196,875,781.65",103457
"26-Aug-2020","EQ","2,000.95","2,009.00","1,955.50","2,000.60","1,970.40","1,971.40","1,971.77","2,016.85","1,431.20",2245860,"4,428,320,982.30",81360
"25-Aug-2020","EQ","1,964.25","2,016.85","1,964.00","1,962.15","2,002.95","2,000.60","1,989.59","2,016.85","1,431.20",3544554,"7,052,209,208.45",127221
"24-Aug-2020","EQ","1,958.00","1,996.00","1,940.00","1,958.00","1,964.00","1,962.15","1,967.54","1,996.00","1,431.20",3996333,"7,862,961,859.65",125658
"21-Aug-2020","EQ","1,887.90","1,973.25","1,880.75","1,874.90","1,957.90","1,958.00","1,934.19","1,973.25","1,431.20",5688305,"11,002,261,201.30",159326
"20-Aug-2020","EQ","1,867.95","1,880.00","1,857.05","1,885.70","1,879.00","1,874.90","1,867.57","1,916.70","1,431.20",1538979,"2,874,143,631.35",72644
"19-Aug-2020","EQ","1,890.00","1,902.40","1,872.55","1,874.10","1,885.10","1,885.70","1,889.45","1,916.70","1,431.20",1947114,"3,678,983,250.70",60185
"18-Aug-2020","EQ","1,831.00","1,884.00","1,831.00","1,836.70","1,875.35","1,874.10","1,861.31","1,916.70","1,431.20",2586321,"4,813,941,672.05",83901
"17-Aug-2020","EQ","1,820.00","1,842.50","1,801.85","1,802.55","1,830.25","1,836.70","1,825.03","1,916.70","1,431.20",1634206,"2,982,476,523.85",57293
"14-Aug-2020","EQ","1,818.70","1,830.00","1,795.50","1,802.55","1,800.55","1,802.55","1,815.76","1,916.70","1,431.20",1868406,"3,392,572,951.80",69704
"13-Aug-2020","EQ","1,806.40","1,815.00","1,788.00","1,797.25","1,803.00","1,802.55","1,803.70","1,916.70","1,431.20",1192385,"2,150,699,797.80",34913
"12-Aug-2020","EQ","1,789.95","1,806.00","1,772.00","1,789.55","1,799.00","1,797.25","1,791.49","1,916.70","1,431.20",1679098,"3,008,091,097.90",77465
"11-Aug-2020","EQ","1,800.00","1,837.80","1,780.00","1,782.35","1,785.30","1,789.55","1,811.38","1,916.70","1,431.20",3039964,"5,506,537,516.95",97718
"10-Aug-2020","EQ","1,810.00","1,824.30","1,777.00","1,806.25","1,784.00","1,782.35","1,791.41","1,916.70","1,431.20",1892637,"3,390,492,622.45",66157
"07-Aug-2020","EQ","1,727.55","1,816.90","1,725.70","1,727.55","1,807.80","1,806.25","1,784.19","1,916.70","1,431.20",5166090,"9,217,300,845.60",159951
"06-Aug-2020","EQ","1,732.05","1,752.10","1,720.10","1,716.30","1,730.15","1,727.55","1,735.76","1,916.70","1,431.20",1914542,"3,323,180,928.45",63459
"05-Aug-2020","EQ","1,718.00","1,741.95","1,712.50","1,713.95","1,720.00","1,716.30","1,726.47","1,916.70","1,431.20",1416804,"2,446,071,871.60",42646
"04-Aug-2020","EQ","1,719.00","1,735.00","1,708.55","1,705.50","1,714.00","1,713.95","1,722.26","1,916.70","1,431.20",1815427,"3,126,636,553.40",59846
"03-Aug-2020","EQ","1,729.00","1,735.00","1,697.50","1,715.50","1,704.60","1,705.50","1,711.14","1,916.70","1,431.20",1437475,"2,459,717,597.25",56080
"31-Jul-2020","EQ","1,754.00","1,770.90","1,710.40","1,743.35","1,720.00","1,715.50","1,741.13","1,916.70","1,431.20",1678643,"2,922,735,772.30",70295
"30-Jul-2020","EQ","1,752.00","1,778.00","1,728.10","1,740.15","1,745.00","1,743.35","1,756.96","1,916.70","1,431.20",2113984,"3,714,182,622.80",92831
"29-Jul-2020","EQ","1,770.00","1,779.90","1,730.00","1,759.65","1,738.90","1,740.15","1,754.12","1,916.70","1,431.20",1531031,"2,685,611,531.95",61266
"28-Jul-2020","EQ","1,779.00","1,792.65","1,751.05","1,778.15","1,756.40","1,759.65","1,768.54","1,916.70","1,431.20",2534098,"4,481,653,941.55",79013
"27-Jul-2020","EQ","1,717.20","1,788.00","1,717.20","1,712.05","1,772.55","1,778.15","1,760.73","1,916.70","1,431.20",6470525,"11,392,844,183.85",211885
