"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","3,045.95","3,045.95","2,960.10","3,050.95","2,962.20","2,986.70","2,998.38","3,315.15","1,788.65",779499,"2,337,231,895.90",44875
"18-Sep-2020","EQ","3,023.10","3,070.00","2,996.00","3,019.20","3,038.90","3,050.95","3,025.94","3,315.15","1,788.65",937014,"2,835,349,222.70",48462
"17-Sep-2020","EQ","3,015.00","3,029.95","2,985.25","3,037.95","3,023.10","3,019.20","3,004.20","3,315.15","1,788.65",687069,"2,064,095,153.55",45261
"16-Sep-2020","EQ","2,942.50","3,049.00","2,937.40","2,937.35","3,040.65","3,037.95","3,021.86","3,315.15","1,788.65",1865979,"5,638,729,026.35",78723
"15-Sep-2020","EQ","2,957.40","2,960.00","2,921.05","2,957.70","2,942.50","2,937.35","2,938.35","3,315.15","1,788.65",632578,"1,858,733,895.40",26554
"14-Sep-2020","EQ","2,922.00","2,988.00","2,895.00","2,916.35","2,939.00","2,957.70","2,953.75","3,315.15","1,788.65",1185693,"3,502,244,788.75",49917
"11-Sep-2020","EQ","2,914.00","2,941.95","2,903.90","2,914.70","2,916.00","2,916.35","2,922.08","3,315.15","1,788.65",683992,"1,998,679,640.35",32776
"10-Sep-2020","EQ","2,917.10","2,924.35","2,871.50","2,910.15","2,913.00","2,914.70","2,897.24","3,315.15","1,788.65",686071,"1,987,714,779.90",37989
"09-Sep-2020","EQ","2,875.00","2,921.70","2,852.00","2,901.75","2,913.75","2,910.15","2,882.53","3,315.15","1,788.65",677328,"1,952,421,418.65",34125
"08-Sep-2020","EQ","2,899.95","2,918.00","2,866.25","2,898.20","2,900.00","2,901.75","2,893.19","3,315.15","1,788.65",798195,"2,309,332,611.70",37823
"07-Sep-2020","EQ","2,898.35","2,906.85","2,830.05","2,883.20","2,903.00","2,898.20","2,875.08","3,315.15","1,788.65",807657,"2,322,077,111.20",44137
"04-Sep-2020","EQ","2,880.00","2,926.10","2,840.00","2,896.40","2,890.00","2,883.20","2,885.20","3,315.15","1,788.65",1499418,"4,326,123,687.55",66254
"03-Sep-2020","EQ","2,909.05","2,923.70","2,886.05","2,880.55","2,900.00","2,896.40","2,904.07","3,315.15","1,788.65",785731,"2,281,817,441.65",44288
"02-Sep-2020","EQ","2,950.00","2,969.70","2,847.05","2,958.40","2,893.00","2,880.55","2,892.46","3,315.15","1,788.65",1946354,"5,629,747,657.55",90147
"01-Sep-2020","EQ","2,947.00","3,004.00","2,930.00","2,967.00","2,960.00","2,958.40","2,961.67","3,315.15","1,788.65",755670,"2,238,042,313.35",37188
"31-Aug-2020","EQ","3,025.00","3,029.00","2,946.10","3,014.15","2,959.20","2,967.00","2,974.91","3,315.15","1,788.65",2787056,"8,291,238,124.95",107676
"28-Aug-2020","EQ","3,044.00","3,062.45","3,002.00","3,043.00","3,025.00","3,014.15","3,033.39","3,315.15","1,788.65",679405,"2,060,903,248.80",40287
"27-Aug-2020","EQ","3,082.20","3,088.75","3,025.20","3,082.20","3,043.10","3,043.00","3,043.23","3,315.15","1,788.65",711504,"2,165,271,251.70",41025
