"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","5,896.00","5,909.90","5,631.00","5,888.45","5,690.00","5,712.25","5,779.29","9,950.00","3,985.30",492137,"2,844,204,523.70",50310
"18-Sep-2020","EQ","6,040.05","6,060.00","5,862.45","6,007.00","5,896.00","5,888.45","5,929.75","9,950.00","3,985.30",856383,"5,078,137,714.60",83061
"17-Sep-2020","EQ","6,118.90","6,123.65","5,990.10","6,145.95","6,010.75","6,007.00","6,038.43","9,950.00","3,985.30",519253,"3,135,471,805.15",47452
"16-Sep-2020","EQ","6,141.60","6,239.95","6,101.15","6,115.55","6,146.90","6,145.95","6,160.09","9,950.00","3,985.30",403278,"2,484,227,925.20",37145
"15-Sep-2020","EQ","6,130.00","6,159.00","6,027.45","6,112.15","6,118.85","6,115.55","6,098.02","9,950.00","3,985.30",492987,"3,006,246,592.60",42672
"14-Sep-2020","EQ","6,158.00","6,194.00","6,091.00","6,128.40","6,107.40","6,112.15","6,137.97","9,950.00","3,985.30",416142,"2,554,266,986.90",37293
"11-Sep-2020","EQ","6,128.55","6,174.60","6,080.00","6,129.25","6,118.00","6,128.40","6,119.23","9,950.00","3,985.30",465485,"2,848,411,707.85",38690
"10-Sep-2020","EQ","6,079.00","6,192.00","6,042.85","6,026.80","6,135.00","6,129.25","6,126.56","9,950.00","3,985.30",531609,"3,256,931,956.95",47070
"09-Sep-2020","EQ","6,208.80","6,220.00","5,981.60","6,234.25","6,054.00","6,026.80","6,047.13","9,950.00","3,985.30",929750,"5,622,317,999.80",84445
"08-Sep-2020","EQ","6,299.00","6,330.00","6,212.05","6,263.65","6,225.00","6,234.25","6,280.63","9,950.00","3,985.30",391769,"2,460,556,754.00",37549
"07-Sep-2020","EQ","6,324.00","6,349.25","6,212.00","6,277.20","6,263.85","6,263.65","6,280.59","9,950.00","3,985.30",498573,"3,131,331,001.45",43818
"04-Sep-2020","EQ","6,250.00","6,422.95","6,201.00","6,355.55","6,301.60","6,277.20","6,308.02","9,950.00","3,985.30",544380,"3,433,958,274.60",45681
"03-Sep-2020","EQ","6,390.00","6,455.00","6,300.00","6,365.05","6,370.00","6,355.55","6,382.20","9,950.00","3,985.30",394268,"2,516,298,196.15",36871
"02-Sep-2020","EQ","6,367.00","6,415.00","6,255.00","6,359.60","6,360.30","6,365.05","6,333.48","9,950.00","3,985.30",443995,"2,812,032,021.70",36238
"01-Sep-2020","EQ","6,250.00","6,396.75","6,146.55","6,190.35","6,356.05","6,359.60","6,291.31","9,950.00","3,985.30",807355,"5,079,319,818.45",66529
"31-Aug-2020","EQ","6,604.50","6,670.00","6,135.00","6,545.55","6,210.00","6,190.35","6,366.14","9,950.00","3,985.30",1179922,"7,511,551,587.60",96649
"28-Aug-2020","EQ","6,580.00","6,650.00","6,515.00","6,530.75","6,542.00","6,545.55","6,568.50","9,950.00","3,985.30",490168,"3,219,667,871.45",39129
"27-Aug-2020","EQ","6,604.95","6,604.95","6,487.50","6,564.40","6,535.95","6,530.75","6,540.01","9,950.00","3,985.30",461882,"3,020,713,004.95",37535
"26-Aug-2020","EQ","6,535.00","6,700.00","6,520.75","6,502.60","6,550.00","6,564.40","6,618.47","9,950.00","3,985.30",1001348,"6,627,392,556.20",80649
"25-Aug-2020","EQ","6,439.95","6,522.00","6,401.00","6,400.45","6,519.70","6,502.60","6,470.44","9,950.00","3,985.30",748345,"4,842,123,266.00",63655
"24-Aug-2020","EQ","6,313.85","6,454.85","6,294.20","6,282.40","6,408.55","6,400.45","6,389.71","9,950.00","3,985.30",586109,"3,745,065,336.30",44464
"21-Aug-2020","EQ","6,346.10","6,366.00","6,260.05","6,289.45","6,285.00","6,282.40","6,320.41","9,950.00","3,985.30",303240,"1,916,602,332.35",24581
"20-Aug-2020","EQ","6,255.00","6,314.00","6,231.05","6,299.05","6,305.00","6,289.45","6,276.70","9,950.00","3,985.30",314948,"1,976,835,382.15",27042
"19-Aug-2020","EQ","6,375.00","6,425.00","6,283.00","6,343.05","6,308.00","6,299.05","6,363.36","9,950.00","3,985.30",493072,"3,137,595,651.30",40897
"18-Aug-2020","EQ","6,290.00","6,375.00","6,242.00","6,269.10","6,344.90","6,343.05","6,318.99","9,950.00","3,985.30",457147,"2,888,709,494.40",38905
"17-Aug-2020","EQ","6,300.00","6,319.10","6,201.00","6,246.70","6,280.00","6,269.10","6,251.67","9,950.00","3,985.30",435939,"2,725,348,148.55",42643
"14-Aug-2020","EQ","6,390.00","6,400.00","6,190.00","6,350.00","6,253.00","6,246.70","6,299.90","9,950.00","3,985.30",421720,"2,656,792,602.75",45759
"13-Aug-2020","EQ","6,400.00","6,432.00","6,324.10","6,357.20","6,355.00","6,350.00","6,376.07","9,950.00","3,985.30",390585,"2,490,396,207.80",34813
"12-Aug-2020","EQ","6,400.00","6,400.00","6,315.10","6,440.35","6,363.70","6,357.20","6,361.99","9,950.00","3,985.30",385422,"2,452,051,470.55",37262
"11-Aug-2020","EQ","6,450.00","6,496.00","6,391.00","6,402.80","6,441.00","6,440.35","6,443.33","9,950.00","3,985.30",430944,"2,776,714,472.65",39179
"10-Aug-2020","EQ","6,509.95","6,570.00","6,367.00","6,467.15","6,404.00","6,402.80","6,468.65","9,950.00","3,985.30",605241,"3,915,089,937.95",62339
"07-Aug-2020","EQ","6,285.00","6,500.00","6,250.00","6,295.70","6,470.00","6,467.15","6,420.56","9,950.00","3,985.30",825773,"5,301,921,356.90",94161
"06-Aug-2020","EQ","6,279.95","6,370.00","6,242.00","6,242.05","6,299.95","6,295.70","6,303.03","9,950.00","3,985.30",626113,"3,946,408,899.15",57842
"05-Aug-2020","EQ","6,225.00","6,345.00","6,188.40","6,162.00","6,245.00","6,242.05","6,275.12","9,950.00","3,985.30",695449,"4,364,026,858.55",63747
"04-Aug-2020","EQ","6,160.10","6,228.00","6,071.90","6,103.15","6,170.70","6,162.00","6,163.39","9,950.00","3,985.30",616503,"3,799,745,958.95",57297
"03-Aug-2020","EQ","6,223.00","6,223.00","6,060.00","6,205.90","6,105.25","6,103.15","6,131.65","9,950.00","3,985.30",509598,"3,124,677,731.15",50489
"31-Jul-2020","EQ","6,220.00","6,305.00","6,120.00","6,177.60","6,213.00","6,205.90","6,223.03","9,950.00","3,985.30",749710,"4,665,468,757.20",67163
"30-Jul-2020","EQ","6,377.25","6,421.00","6,160.00","6,328.60","6,185.00","6,177.60","6,255.66","9,950.00","3,985.30",610302,"3,817,844,755.40",60788
"29-Jul-2020","EQ","6,324.10","6,425.00","6,292.55","6,342.80","6,319.90","6,328.60","6,369.16","9,950.00","3,985.30",764541,"4,869,484,840.95",70532
"28-Jul-2020","EQ","6,175.00","6,387.35","6,174.00","6,173.20","6,324.05","6,342.80","6,295.37","9,950.00","3,985.30",837865,"5,274,668,383.30",75108
"27-Jul-2020","EQ","6,279.00","6,315.05","6,135.80","6,270.30","6,179.00","6,173.20","6,182.36","9,950.00","3,985.30",656208,"4,056,912,839.70",59541
"24-Jul-2020","EQ","6,307.95","6,355.00","6,225.00","6,381.35","6,268.00","6,270.30","6,284.63","9,950.00","3,985.30",874719,"5,497,285,637.95",80336
"23-Jul-2020","EQ","6,369.95","6,454.95","6,313.15","6,347.40","6,394.90","6,381.35","6,389.52","9,950.00","3,985.30",924850,"5,909,348,962.95",83880
"22-Jul-2020","EQ","6,599.00","6,599.00","6,271.00","6,384.35","6,360.00","6,347.40","6,444.41","9,950.00","3,985.30",2158054,"13,907,390,389.50",193957
"21-Jul-2020","EQ","6,688.80","6,710.00","6,338.45","6,620.15","6,387.05","6,384.35","6,512.10","9,950.00","3,985.30",1862522,"12,128,929,721.85",187230
"20-Jul-2020","EQ","6,400.00","6,635.00","6,380.00","6,361.60","6,616.25","6,620.15","6,542.45","9,950.00","3,985.30",1221890,"7,994,151,275.60",103531
"17-Jul-2020","EQ","6,299.95","6,382.85","6,280.00","6,264.90","6,378.00","6,361.60","6,336.64","9,950.00","3,985.30",570041,"3,612,147,184.10",53941
"16-Jul-2020","EQ","6,200.00","6,280.00","6,065.00","6,168.45","6,255.00","6,264.90","6,183.17","9,950.00","3,985.30",830422,"5,134,643,594.10",81220
"15-Jul-2020","EQ","6,320.00","6,439.85","6,103.00","6,243.45","6,200.00","6,168.45","6,319.70","9,950.00","3,985.30",981394,"6,202,111,779.10",89178
"14-Jul-2020","EQ","6,460.00","6,460.00","6,211.00","6,461.45","6,227.00","6,243.45","6,270.08","9,950.00","3,985.30",1128715,"7,077,129,989.00",106026
