"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","3,462.80","3,467.00","3,314.25","3,474.80","3,321.85","3,330.15","3,385.27","4,923.40","1,783.00",3627585,"12,280,363,655.50",172674
"18-Sep-2020","EQ","3,491.40","3,503.80","3,429.00","3,471.95","3,470.65","3,474.80","3,465.53","4,923.40","1,783.00",3769116,"13,061,995,301.40",128349
"17-Sep-2020","EQ","3,488.80","3,517.00","3,456.20","3,521.50","3,462.05","3,471.95","3,482.54","4,923.40","1,783.00",2781196,"9,685,613,386.15",123232
"16-Sep-2020","EQ","3,517.95","3,567.40","3,481.65","3,513.40","3,512.30","3,521.50","3,535.02","4,923.40","1,783.00",3907721,"13,813,856,435.55",146385
"15-Sep-2020","EQ","3,475.00","3,524.20","3,455.00","3,440.70","3,515.00","3,513.40","3,495.74","4,923.40","1,783.00",3893649,"13,611,192,051.55",151339
"14-Sep-2020","EQ","3,557.00","3,575.05","3,420.00","3,544.40","3,438.00","3,440.70","3,488.91","4,923.40","1,783.00",4531611,"15,810,396,758.60",196826
"11-Sep-2020","EQ","3,490.00","3,557.70","3,456.70","3,498.70","3,536.35","3,544.40","3,518.93","4,923.40","1,783.00",4608384,"16,216,565,410.10",182451
"10-Sep-2020","EQ","3,456.50","3,523.45","3,418.00","3,422.85","3,490.00","3,498.70","3,476.68","4,923.40","1,783.00",4762302,"16,557,021,170.20",179649
"09-Sep-2020","EQ","3,477.00","3,493.45","3,392.45","3,500.00","3,430.00","3,422.85","3,427.58","4,923.40","1,783.00",4563247,"15,640,891,169.35",205939
"08-Sep-2020","EQ","3,520.00","3,574.90","3,475.00","3,505.15","3,494.75","3,500.00","3,528.43","4,923.40","1,783.00",4448718,"15,696,968,571.40",169008
"07-Sep-2020","EQ","3,607.00","3,629.00","3,477.60","3,596.80","3,508.00","3,505.15","3,537.24","4,923.40","1,783.00",4665183,"16,501,853,361.95",177319
"04-Sep-2020","EQ","3,541.50","3,649.80","3,520.75","3,619.70","3,617.00","3,596.80","3,600.48","4,923.40","1,783.00",4914709,"17,695,320,344.95",176436
"03-Sep-2020","EQ","3,668.00","3,676.75","3,605.00","3,668.65","3,618.00","3,619.70","3,634.88","4,923.40","1,783.00",3221369,"11,709,292,467.35",127170
"02-Sep-2020","EQ","3,642.70","3,680.00","3,573.45","3,643.85","3,665.00","3,668.65","3,629.84","4,923.40","1,783.00",4281052,"15,539,554,666.05",174252
"01-Sep-2020","EQ","3,517.00","3,674.00","3,500.20","3,487.80","3,640.00","3,643.85","3,593.45","4,923.40","1,783.00",6065233,"21,795,132,005.95",203356
"31-Aug-2020","EQ","3,715.00","3,749.85","3,465.00","3,670.80","3,478.50","3,487.80","3,602.93","4,923.40","1,783.00",8529788,"30,732,236,751.75",293454
"28-Aug-2020","EQ","3,650.00","3,688.00","3,617.05","3,632.50","3,672.05","3,670.80","3,652.77","4,923.40","1,783.00",4251575,"15,530,025,131.10",137033
"27-Aug-2020","EQ","3,656.95","3,668.40","3,596.40","3,645.55","3,636.00","3,632.50","3,631.13","4,923.40","1,783.00",4611132,"16,743,605,597.40",162374
"26-Aug-2020","EQ","3,665.00","3,707.00","3,631.00","3,642.90","3,638.20","3,645.55","3,668.17","4,923.40","1,783.00",6665336,"24,449,584,439.70",213994
"25-Aug-2020","EQ","3,525.00","3,660.00","3,510.00","3,492.05","3,658.00","3,642.90","3,579.12","4,923.40","1,783.00",9854070,"35,268,945,699.40",339815
"24-Aug-2020","EQ","3,403.00","3,515.00","3,401.05","3,389.30","3,493.00","3,492.05","3,469.56","4,923.40","1,783.00",6205576,"21,530,631,062.10",208646
"21-Aug-2020","EQ","3,430.00","3,440.00","3,380.00","3,393.80","3,390.00","3,389.30","3,414.38","4,923.40","1,783.00",2627381,"8,970,865,585.50",89362
"20-Aug-2020","EQ","3,378.00","3,414.50","3,353.05","3,409.95","3,400.00","3,393.80","3,387.18","4,923.40","1,783.00",3677466,"12,456,224,316.95",125258
"19-Aug-2020","EQ","3,447.00","3,465.00","3,401.00","3,419.90","3,415.00","3,409.95","3,438.55","4,923.40","1,783.00",4199099,"14,438,824,773.90",136081
"18-Aug-2020","EQ","3,399.00","3,437.95","3,366.60","3,384.80","3,421.95","3,419.90","3,403.77","4,923.40","1,783.00",4706306,"16,019,161,403.75",154182
"17-Aug-2020","EQ","3,350.00","3,399.50","3,312.40","3,331.10","3,399.00","3,384.80","3,354.99","4,923.40","1,783.00",4670621,"15,669,885,120.20",163321
"14-Aug-2020","EQ","3,425.00","3,448.80","3,306.20","3,419.65","3,331.00","3,331.10","3,374.14","4,923.40","1,783.00",5532004,"18,665,751,613.60",206024
"13-Aug-2020","EQ","3,450.00","3,472.00","3,401.00","3,418.25","3,415.40","3,419.65","3,438.56","4,923.40","1,783.00",4663383,"16,035,337,733.80",148654
"12-Aug-2020","EQ","3,425.00","3,450.00","3,362.00","3,457.40","3,421.00","3,418.25","3,413.77","4,923.40","1,783.00",5662542,"19,330,625,538.40",202448
"11-Aug-2020","EQ","3,462.30","3,494.55","3,404.70","3,442.95","3,453.95","3,457.40","3,446.88","4,923.40","1,783.00",5571895,"19,205,673,872.70",197381
"10-Aug-2020","EQ","3,494.00","3,556.85","3,413.20","3,464.30","3,434.05","3,442.95","3,486.64","4,923.40","1,783.00",7129352,"24,857,473,051.35",264266
"07-Aug-2020","EQ","3,333.00","3,481.45","3,310.00","3,345.20","3,470.30","3,464.30","3,418.52","4,923.40","1,783.00",10151345,"34,702,546,921.25",346994
"06-Aug-2020","EQ","3,292.00","3,378.80","3,255.00","3,262.15","3,345.00","3,345.20","3,322.72","4,923.40","1,783.00",8172921,"27,156,299,474.70",271021
"05-Aug-2020","EQ","3,256.00","3,330.00","3,247.95","3,235.60","3,270.00","3,262.15","3,295.61","4,923.40","1,783.00",6985383,"23,021,066,397.30",231994
"04-Aug-2020","EQ","3,202.00","3,260.00","3,142.85","3,174.50","3,239.35","3,235.60","3,214.31","4,923.40","1,783.00",6679173,"21,468,909,256.25",223348
"03-Aug-2020","EQ","3,244.00","3,244.00","3,169.00","3,251.30","3,172.20","3,174.50","3,196.24","4,923.40","1,783.00",4464171,"14,268,550,530.50",165862
"31-Jul-2020","EQ","3,236.00","3,273.00","3,181.25","3,218.30","3,258.00","3,251.30","3,232.44","4,923.40","1,783.00",7235401,"23,388,003,254.30",245994
"30-Jul-2020","EQ","3,295.40","3,324.00","3,205.05","3,284.25","3,220.00","3,218.30","3,268.45","4,923.40","1,783.00",6508389,"21,272,321,254.40",232696
"29-Jul-2020","EQ","3,245.00","3,329.00","3,239.60","3,239.60","3,270.00","3,284.25","3,286.37","4,923.40","1,783.00",8070284,"26,521,950,468.30",279614
"28-Jul-2020","EQ","3,175.00","3,260.00","3,161.20","3,171.15","3,238.00","3,239.60","3,219.37","4,923.40","1,783.00",8211858,"26,437,049,354.85",273044
"27-Jul-2020","EQ","3,263.00","3,280.00","3,152.20","3,251.85","3,177.10","3,171.15","3,188.34","4,923.40","1,783.00",7089907,"22,605,056,052.35",276903
"24-Jul-2020","EQ","3,245.00","3,290.00","3,220.00","3,297.80","3,250.00","3,251.85","3,251.26","4,923.40","1,783.00",6637888,"21,581,471,286.80",257319
