"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","496.00","496.00","461.25","494.55","467.55","467.75","476.35","612.00","325.50",22737775,"10,831,174,039.10",217444
"18-Sep-2020","EQ","483.00","497.65","475.30","479.00","496.85","494.55","491.26","612.00","325.50",54801702,"26,921,750,331.75",246800
"17-Sep-2020","EQ","480.00","482.35","474.00","481.75","479.60","479.00","477.99","612.00","325.50",13497203,"6,451,564,953.55",167290
"16-Sep-2020","EQ","487.00","490.70","480.55","485.55","481.55","481.75","484.56","612.00","325.50",13133556,"6,364,030,285.30",166056
"15-Sep-2020","EQ","475.15","487.65","470.05","474.10","485.05","485.55","479.95","612.00","325.50",30857464,"14,810,152,927.90",286885
"14-Sep-2020","EQ","496.00","497.25","468.30","491.65","473.00","474.10","479.62","612.00","325.50",52056004,"24,966,969,808.80",589731
"11-Sep-2020","EQ","499.30","502.45","488.55","497.35","491.50","491.65","494.01","612.00","325.50",15597700,"7,705,393,909.70",301695
"10-Sep-2020","EQ","508.00","508.00","491.20","504.25","498.20","497.35","500.84","612.00","325.50",21005767,"10,520,625,168.40",251922
"09-Sep-2020","EQ","493.25","506.65","491.10","498.10","503.75","504.25","500.29","612.00","325.50",31478272,"15,748,241,560.10",198922
"08-Sep-2020","EQ","516.00","516.85","494.00","515.45","495.90","498.10","506.16","612.00","325.50",33123745,"16,765,833,252.05",275453
"07-Sep-2020","EQ","525.00","528.00","510.30","523.15","515.00","515.45","516.98","612.00","325.50",16147428,"8,347,886,616.45",192361
"04-Sep-2020","EQ","531.50","538.00","519.50","538.00","523.65","523.15","529.21","612.00","325.50",28083439,"14,862,027,359.80",181825
"03-Sep-2020","EQ","550.55","552.90","535.65","550.55","539.60","538.00","542.19","612.00","325.50",24622381,"13,350,029,336.35",211388
"02-Sep-2020","EQ","550.00","559.00","545.10","546.25","550.45","550.55","551.97","612.00","325.50",35023081,"19,331,827,446.15",298159
"01-Sep-2020","EQ","517.50","555.45","514.20","513.10","549.50","546.25","539.51","612.00","325.50",74337280,"40,105,838,216.80",573200
"31-Aug-2020","EQ","518.50","522.30","508.55","523.45","512.45","513.10","513.53","612.00","325.50",186856499,"95,956,407,296.25",506006
"28-Aug-2020","EQ","512.10","529.55","512.10","511.15","522.50","523.45","523.32","612.00","325.50",21808591,"11,412,882,808.75",231362
"27-Aug-2020","EQ","514.40","518.50","508.00","514.50","512.50","511.15","512.97","612.00","325.50",21871778,"11,219,593,852.35",166733
"26-Aug-2020","EQ","528.40","528.40","512.00","528.65","513.50","514.50","516.39","612.00","325.50",25906518,"13,377,981,403.95",236897
"25-Aug-2020","EQ","534.50","535.65","526.00","526.90","528.65","528.65","529.75","612.00","325.50",19516042,"10,338,649,072.85",180901
"24-Aug-2020","EQ","517.90","532.40","508.20","520.25","531.00","526.90","517.35","612.00","325.50",29166922,"15,089,520,439.25",235265
"21-Aug-2020","EQ","529.80","529.80","516.00","525.55","519.00","520.25","521.89","612.00","325.50",21835588,"11,395,853,838.05",205334
"20-Aug-2020","EQ","531.00","533.60","522.70","535.85","526.00","525.55","527.19","612.00","325.50",13440102,"7,085,518,553.65",117408
"19-Aug-2020","EQ","529.00","539.90","527.10","526.30","536.00","535.85","533.14","612.00","325.50",17075491,"9,103,643,889.90",162156
"18-Aug-2020","EQ","522.05","529.10","520.15","521.40","527.85","526.30","524.33","612.00","325.50",13517889,"7,087,860,485.95",162875
"17-Aug-2020","EQ","530.55","532.50","518.10","528.60","520.85","521.40","523.23","612.00","325.50",19014347,"9,948,885,552.55",211145
"14-Aug-2020","EQ","542.85","542.85","525.00","535.35","529.95","528.60","533.59","612.00","325.50",18209193,"9,716,236,319.35",205127
"13-Aug-2020","EQ","534.00","548.30","524.25","547.70","536.50","535.35","537.80","612.00","325.50",36774554,"19,777,363,253.50",378060
"12-Aug-2020","EQ","550.00","561.25","545.35","551.10","547.30","547.70","554.02","612.00","325.50",12381746,"6,859,713,361.10",109997
"11-Aug-2020","EQ","558.00","560.50","550.20","558.85","551.25","551.10","553.84","612.00","325.50",8137948,"4,507,116,213.70",117782
"10-Aug-2020","EQ","564.30","565.00","554.80","560.80","559.80","558.85","559.91","612.00","325.50",9417841,"5,273,097,252.90",108155
"07-Aug-2020","EQ","556.00","563.40","552.05","555.30","560.00","560.80","558.46","612.00","325.50",7210904,"4,027,002,147.05",90979
"06-Aug-2020","EQ","561.70","561.70","552.65","558.95","555.00","555.30","556.42","612.00","325.50",10425489,"5,800,966,943.60",124449
"05-Aug-2020","EQ","552.00","560.50","546.55","549.00","559.75","558.95","554.10","612.00","325.50",12682481,"7,027,359,180.75",164740
"04-Aug-2020","EQ","548.00","553.35","545.85","547.35","548.60","549.00","549.45","612.00","325.50",11813422,"6,490,854,717.05",148044
"03-Aug-2020","EQ","554.50","556.50","546.40","554.85","548.10","547.35","550.56","612.00","325.50",9219748,"5,075,997,873.50",106837
"31-Jul-2020","EQ","550.90","559.30","546.30","552.70","555.10","554.85","555.24","612.00","321.15",13661601,"7,585,466,560.60",149948
"30-Jul-2020","EQ","576.00","580.45","543.05","566.20","550.30","552.70","561.77","612.00","321.15",44491235,"24,993,876,533.35",350941
"29-Jul-2020","EQ","565.25","569.15","560.25","564.60","566.50","566.20","564.78","612.00","321.15",9796100,"5,532,682,526.25",114197
"28-Jul-2020","EQ","558.50","574.25","555.30","559.50","564.60","564.60","565.87","612.00","321.15",13948427,"7,892,975,310.25",152581
"27-Jul-2020","EQ","558.20","563.75","544.15","559.45","558.50","559.50","555.64","612.00","321.15",10695118,"5,942,658,506.95",120009
"24-Jul-2020","EQ","565.00","567.40","555.40","567.20","559.80","559.45","561.42","612.00","321.15",9777107,"5,489,064,999.80",139162
"23-Jul-2020","EQ","570.00","575.75","564.00","569.15","567.60","567.20","569.61","612.00","321.15",9539899,"5,433,974,985.95",103214
"22-Jul-2020","EQ","568.00","575.50","562.80","567.75","569.80","569.15","569.61","612.00","321.15",10831170,"6,169,548,439.80",125149
"21-Jul-2020","EQ","580.00","583.80","566.35","575.75","568.10","567.75","572.11","612.00","321.15",11784668,"6,742,169,780.30",151772
"20-Jul-2020","EQ","571.00","582.50","567.60","566.75","578.25","575.75","573.70","612.00","321.15",9610173,"5,513,366,033.80",118401
"17-Jul-2020","EQ","563.10","573.90","561.75","562.75","570.30","566.75","568.71","612.00","321.15",11964954,"6,804,605,134.95",162226
