"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","3,790.00","3,795.00","3,613.50","3,797.50","3,643.50","3,629.30","3,687.23","4,010.00","2,100.00",604282,"2,228,128,151.15",43918
"18-Sep-2020","EQ","3,837.70","3,839.75","3,774.85","3,815.65","3,804.00","3,797.50","3,801.11","4,010.00","2,100.00",947698,"3,602,308,676.75",41566
"17-Sep-2020","EQ","3,848.00","3,890.95","3,768.75","3,844.50","3,803.00","3,815.65","3,845.28","4,010.00","2,100.00",741010,"2,849,392,541.05",49657
"16-Sep-2020","EQ","3,742.00","3,860.00","3,737.15","3,734.10","3,848.00","3,844.50","3,814.33","4,010.00","2,100.00",917526,"3,499,749,469.05",71167
"15-Sep-2020","EQ","3,720.05","3,766.50","3,715.00","3,719.50","3,742.00","3,734.10","3,737.75","4,010.00","2,100.00",366110,"1,368,426,591.10",32001
"14-Sep-2020","EQ","3,788.90","3,796.00","3,711.00","3,772.25","3,715.00","3,719.50","3,737.20","4,010.00","2,100.00",397741,"1,486,437,890.05",43575
"11-Sep-2020","EQ","3,724.00","3,828.00","3,720.00","3,719.25","3,767.60","3,772.25","3,785.57","4,010.00","2,100.00",829715,"3,140,946,387.45",60401
"10-Sep-2020","EQ","3,765.50","3,765.50","3,700.05","3,738.30","3,722.95","3,719.25","3,716.75","4,010.00","2,100.00",357927,"1,330,326,808.90",31402
"09-Sep-2020","EQ","3,690.00","3,749.00","3,686.10","3,731.60","3,746.00","3,738.30","3,719.35","4,010.00","2,100.00",332884,"1,238,111,548.80",23752
"08-Sep-2020","EQ","3,726.90","3,762.45","3,711.25","3,724.05","3,721.70","3,731.60","3,741.75","4,010.00","2,100.00",379275,"1,419,152,296.15",29868
"07-Sep-2020","EQ","3,732.90","3,750.00","3,655.00","3,705.85","3,719.70","3,724.05","3,710.62","4,010.00","2,100.00",437318,"1,622,722,979.70",31550
"04-Sep-2020","EQ","3,730.00","3,809.00","3,698.55","3,746.85","3,715.00","3,705.85","3,755.83","4,010.00","2,100.00",759852,"2,853,876,227.75",56620
"03-Sep-2020","EQ","3,798.00","3,808.75","3,740.00","3,799.20","3,750.00","3,746.85","3,757.33","4,010.00","2,100.00",414160,"1,556,137,012.65",34350
"02-Sep-2020","EQ","3,787.90","3,813.60","3,752.00","3,771.00","3,798.35","3,799.20","3,786.60","4,010.00","2,100.00",305952,"1,158,516,442.65",26116
