"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","806.25","811.95","762.00","806.25","765.15","768.10","787.36","819.30","355.30",12576401,"9,902,184,576.45",164720
"18-Sep-2020","EQ","780.00","819.30","776.15","751.50","804.90","806.25","800.06","819.30","355.30",35527345,"28,424,054,194.00",449206
"17-Sep-2020","EQ","751.00","762.00","746.70","752.60","751.15","751.50","753.82","814.50","355.30",7105873,"5,356,528,974.10",104746
"16-Sep-2020","EQ","743.95","756.50","732.00","742.45","753.20","752.60","742.95","814.50","355.30",6773204,"5,032,135,170.40",85508
"15-Sep-2020","EQ","723.00","754.00","722.65","721.60","742.35","742.45","745.44","814.50","355.30",14548327,"10,844,859,754.30",180815
"14-Sep-2020","EQ","729.00","730.25","717.75","725.95","720.60","721.60","722.96","814.50","355.30",3104687,"2,244,552,578.10",69513
"11-Sep-2020","EQ","725.80","731.50","720.25","726.80","724.90","725.95","724.73","814.50","355.30",2465472,"1,786,801,307.50",40848
"10-Sep-2020","EQ","729.00","735.90","719.25","727.55","726.30","726.80","726.59","814.50","355.30",4571167,"3,321,352,841.75",84921
"09-Sep-2020","EQ","709.15","734.95","705.20","708.20","727.50","727.55","720.46","814.50","355.30",9082720,"6,543,720,063.05",108754
"08-Sep-2020","EQ","716.75","726.45","704.40","716.75","709.15","708.20","715.31","814.50","355.30",4818231,"3,446,542,725.50",75046
"07-Sep-2020","EQ","728.00","733.80","707.00","724.60","718.00","716.75","715.29","814.50","355.30",4688730,"3,353,789,585.15",66979
"04-Sep-2020","EQ","733.75","750.00","717.10","738.60","725.45","724.60","738.29","814.50","355.30",7473320,"5,517,484,471.25",106206
"03-Sep-2020","EQ","742.70","745.95","735.00","738.25","738.75","738.60","739.38","814.50","355.30",3560610,"2,632,648,436.60",51176
"02-Sep-2020","EQ","739.95","748.50","729.20","736.55","742.70","738.25","738.87","814.50","355.30",5583378,"4,125,368,210.65",105830
"01-Sep-2020","EQ","713.55","741.00","710.00","713.55","740.15","736.55","725.18","814.50","355.30",6260042,"4,539,660,769.80",87572
"31-Aug-2020","EQ","752.00","755.70","705.20","748.60","708.25","713.55","728.82","814.50","355.30",7649142,"5,574,864,607.50",112472
"28-Aug-2020","EQ","763.00","771.00","746.70","756.20","749.40","748.60","758.22","814.50","355.30",8206125,"6,222,046,378.10",119812
"27-Aug-2020","EQ","750.80","764.00","749.95","748.00","759.75","756.20","757.26","814.50","355.30",6989244,"5,292,658,053.50",98142
"26-Aug-2020","EQ","751.50","754.00","744.20","747.75","749.00","748.00","748.95","814.50","355.30",3730761,"2,794,148,299.70",56995
"25-Aug-2020","EQ","756.25","758.00","745.25","751.75","749.00","747.75","750.00","814.50","355.30",3424068,"2,568,062,988.50",53107
"24-Aug-2020","EQ","763.00","767.00","750.25","760.75","753.70","751.75","755.13","814.50","355.30",4942354,"3,732,137,608.60",78125
"21-Aug-2020","EQ","768.85","770.60","759.05","762.70","761.30","760.75","764.69","814.50","355.30",4700989,"3,594,798,546.45",68422
"20-Aug-2020","EQ","758.35","771.75","758.35","758.35","763.25","762.70","764.38","814.50","355.30",8167571,"6,243,129,239.15",113634
"19-Aug-2020","EQ","770.00","772.70","756.65","764.85","760.00","758.35","763.34","814.50","355.30",6296081,"4,806,078,351.20",79079
"18-Aug-2020","EQ","772.00","779.65","763.00","771.65","765.50","764.85","769.02","814.50","355.30",5520727,"4,245,551,775.30",98727
"17-Aug-2020","EQ","779.00","781.00","765.50","771.80","771.75","771.65","772.13","814.50","355.30",6145819,"4,745,382,571.00",92178
"14-Aug-2020","EQ","762.00","787.75","752.55","760.25","773.60","771.80","774.47","814.50","355.30",16276397,"12,605,568,092.30",214750
"13-Aug-2020","EQ","765.95","782.90","754.10","762.10","761.00","760.25","767.95","814.50","355.30",13741283,"10,552,568,522.90",161067
"12-Aug-2020","EQ","778.00","778.00","755.60","778.00","762.00","762.10","762.24","814.50","355.30",7841606,"5,977,147,740.90",116026
"11-Aug-2020","EQ","801.10","801.85","768.75","795.60","779.00","778.00","781.97","814.50","355.30",14861526,"11,621,292,789.90",176511
"10-Aug-2020","EQ","760.00","814.50","751.35","728.65","797.70","795.60","790.73","814.50","355.30",56895564,"44,989,022,123.00",603361
"07-Aug-2020","EQ","738.00","739.65","724.50","731.10","732.80","728.65","731.13","739.70","355.30",6159882,"4,503,680,438.70",81746
"06-Aug-2020","EQ","724.95","739.70","720.10","722.15","734.00","731.10","732.56","739.70","355.30",9663912,"7,079,412,130.40",125796
"05-Aug-2020","EQ","720.80","729.95","716.00","713.85","723.50","722.15","722.30","734.20","355.30",5263247,"3,801,624,840.95",96837
"04-Aug-2020","EQ","708.00","718.90","703.20","710.40","714.80","713.85","711.25","734.20","355.30",6971075,"4,958,144,709.75",95036
"03-Aug-2020","EQ","724.00","734.20","701.00","720.15","711.15","710.40","717.49","734.20","355.30",12500684,"8,969,138,527.05",199917
"31-Jul-2020","EQ","687.00","724.00","687.00","685.95","721.00","720.15","711.57","724.00","355.30",18897332,"13,446,763,108.25",242751
"30-Jul-2020","EQ","681.20","698.95","681.00","681.25","686.70","685.95","690.81","698.95","355.30",7171188,"4,953,962,689.35",114618
"29-Jul-2020","EQ","662.60","685.55","662.60","662.60","680.50","681.25","676.43","696.65","355.30",7288841,"4,930,391,212.50",80980
"28-Jul-2020","EQ","651.00","665.75","644.25","652.90","662.00","662.60","658.09","696.65","355.30",4583122,"3,016,125,553.25",70239
"27-Jul-2020","EQ","673.95","673.95","650.40","666.05","651.70","652.90","656.24","696.65","355.30",4465120,"2,930,175,973.65",86167
"24-Jul-2020","EQ","673.00","681.00","658.20","671.45","664.95","666.05","668.39","696.65","355.30",4962946,"3,317,186,837.90",78732
"23-Jul-2020","EQ","663.95","674.00","662.20","661.70","672.55","671.45","670.04","696.65","355.30",4620517,"3,095,911,606.35",56977
"22-Jul-2020","EQ","666.15","677.80","657.50","662.30","661.45","661.70","666.48","696.65","355.30",5918154,"3,944,333,455.05",79136
