"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","5,333.35","5,512.65","5,111.25","5,333.35","5,130.00","5,142.00","5,287.28","5,512.65","2,495.05",12743499,"67,378,505,177.70",621191
"18-Sep-2020","EQ","5,000.00","5,496.95","4,950.25","4,827.25","5,306.00","5,333.35","5,266.04","5,496.95","2,495.05",21987146,"115,785,288,081.70",929801
"17-Sep-2020","EQ","4,704.00","4,845.55","4,654.95","4,627.90","4,825.00","4,827.25","4,759.06","4,845.55","2,495.05",8429919,"40,118,492,796.05",358155
"16-Sep-2020","EQ","4,455.00","4,650.80","4,411.00","4,442.35","4,639.60","4,627.90","4,559.87","4,758.60","2,495.05",2979840,"13,587,695,789.40",139860
"15-Sep-2020","EQ","4,374.95","4,549.00","4,372.55","4,364.10","4,439.80","4,442.35","4,494.12","4,758.60","2,495.05",2504467,"11,255,379,905.15",106829
"14-Sep-2020","EQ","4,423.65","4,423.65","4,336.00","4,401.60","4,371.80","4,364.10","4,377.76","4,758.60","2,495.05",584911,"2,560,602,052.40",33908
"11-Sep-2020","EQ","4,400.00","4,447.00","4,375.00","4,380.15","4,404.00","4,401.60","4,407.50","4,758.60","2,495.05",886945,"3,909,211,689.35",43118
"10-Sep-2020","EQ","4,460.00","4,462.00","4,340.55","4,429.45","4,379.00","4,380.15","4,385.40","4,758.60","2,495.05",871169,"3,820,422,898.70",50631
"09-Sep-2020","EQ","4,349.90","4,444.00","4,335.60","4,348.80","4,421.50","4,429.45","4,392.99","4,758.60","2,495.05",1235112,"5,425,839,335.75",60701
"08-Sep-2020","EQ","4,465.00","4,481.50","4,328.80","4,419.85","4,330.00","4,348.80","4,406.40","4,758.60","2,495.05",1471551,"6,484,242,703.60",76222
"07-Sep-2020","EQ","4,344.15","4,436.00","4,295.25","4,322.50","4,431.50","4,419.85","4,376.85","4,758.60","2,495.05",1230797,"5,387,018,681.05",60821
"04-Sep-2020","EQ","4,400.00","4,483.45","4,291.95","4,433.15","4,322.00","4,322.50","4,402.43","4,758.60","2,495.05",1354800,"5,964,415,629.75",74130
"03-Sep-2020","EQ","4,374.55","4,466.00","4,340.15","4,352.75","4,436.45","4,433.15","4,423.08","4,758.60","2,495.05",938400,"4,150,622,324.50",58145
"02-Sep-2020","EQ","4,351.25","4,397.40","4,316.70","4,351.95","4,360.00","4,352.75","4,361.97","4,758.60","2,495.05",603697,"2,633,307,750.10",39168
