"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","2,153.05","2,160.90","2,088.10","2,152.95","2,094.40","2,102.95","2,127.19","23,450.00","2,072.75",1944478,"4,136,271,691.55",62628
"18-Sep-2020","EQ","2,160.00","2,203.80","2,135.20","2,145.45","2,153.25","2,152.95","2,167.95","23,450.00","2,072.75",1310103,"2,840,238,294.75",57101
"17-Sep-2020","EQ","2,146.00","2,161.95","2,125.00","2,163.75","2,151.00","2,145.45","2,142.67","23,450.00","2,072.75",768952,"1,647,607,317.10",37192
"16-Sep-2020","EQ","2,155.00","2,187.85","2,145.00","2,140.60","2,158.15","2,163.75","2,166.40","23,450.00","2,072.75",1031516,"2,234,678,607.95",47398
"15-Sep-2020","EQ","2,159.40","2,170.30","2,120.00","2,159.40","2,141.00","2,140.60","2,137.10","23,450.00","2,072.75",1264201,"2,701,727,568.20",73172
"14-Sep-2020","EQ","2,165.00","2,198.00","2,148.30","2,160.30","2,153.00","2,159.40","2,175.36","23,450.00","2,072.75",1180377,"2,567,742,210.10",67588
"11-Sep-2020","EQ","2,165.00","2,178.70","2,140.10","2,175.60","2,157.00","2,160.30","2,157.92","23,450.00","2,072.75",1143870,"2,468,380,206.30",48592
"10-Sep-2020","EQ","2,196.95","2,198.00","2,152.60","2,176.95","2,173.05","2,175.60","2,172.86","23,450.00","2,072.75",948270,"2,060,462,319.05",44894
"09-Sep-2020","EQ","2,139.90","2,190.80","2,125.65","2,161.50","2,180.00","2,176.95","2,161.58","23,450.00","2,072.75",1357709,"2,934,795,345.60",50063
"08-Sep-2020","EQ","2,203.90","2,217.00","2,150.00","2,192.90","2,160.00","2,161.50","2,181.11","23,450.00","2,072.75",1180325,"2,574,415,196.60",50414
"07-Sep-2020","EQ","2,205.00","2,215.00","2,156.00","2,180.85","2,187.00","2,192.90","2,180.72","23,450.00","2,072.75",1354394,"2,953,553,379.15",61778
"04-Sep-2020","EQ","2,167.00","2,226.00","2,165.00","2,231.15","2,191.10","2,180.85","2,200.94","23,450.00","2,072.75",1516060,"3,336,763,042.80",79442
"03-Sep-2020","EQ","2,175.00","2,260.00","2,162.50","2,169.85","2,226.00","2,231.15","2,231.69","23,450.00","2,072.75",2577069,"5,751,220,495.05",119775
