"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","92.20","92.20","87.40","92.10","87.95","88.20","89.64","148.75","65.00",15184392,"1,361,151,248.35",85560
"18-Sep-2020","EQ","91.00","93.45","90.80","90.75","91.90","92.10","92.28","148.75","65.00",21897338,"2,020,747,514.20",65951
"17-Sep-2020","EQ","91.85","91.85","90.50","91.85","90.80","90.75","90.96","148.75","65.00",7992105,"726,953,464.95",30228
"16-Sep-2020","EQ","92.75","92.75","91.35","92.10","91.60","91.85","91.95","148.75","65.00",8864233,"815,022,894.55",28052
"15-Sep-2020","EQ","92.00","92.75","91.10","91.95","92.15","92.10","91.87","148.75","65.00",8425847,"774,067,610.00",29155
"14-Sep-2020","EQ","91.90","93.65","90.80","90.75","91.80","91.95","92.25","148.75","65.00",16300720,"1,503,679,918.00",54153
"11-Sep-2020","EQ","90.80","91.65","90.10","90.80","90.75","90.75","90.69","148.75","65.00",11883991,"1,077,807,681.75",51818
"10-Sep-2020","EQ","91.85","92.40","89.80","91.05","90.80","90.80","90.83","148.75","65.00",17660495,"1,604,073,418.85",95484
"09-Sep-2020","EQ","94.60","94.80","90.05","94.55","91.35","91.05","91.44","148.75","65.00",18553894,"1,696,545,828.35",81162
"08-Sep-2020","EQ","96.50","96.50","94.00","95.75","94.30","94.55","95.33","148.75","65.00",10400606,"991,538,708.30",40739
"07-Sep-2020","EQ","98.00","98.85","94.85","98.05","95.85","95.75","96.17","148.75","65.00",11148827,"1,072,188,702.55",58736
"04-Sep-2020","EQ","96.95","99.10","96.15","98.10","98.00","98.05","97.84","148.75","65.00",13774665,"1,347,666,253.00",42104
"03-Sep-2020","EQ","96.60","98.45","96.55","97.30","98.05","98.10","97.74","148.75","65.00",9104977,"889,925,218.60",27411
"02-Sep-2020","EQ","96.35","97.80","95.45","96.40","97.75","97.30","97.00","148.75","65.00",9290853,"901,175,372.75",30758
"01-Sep-2020","EQ","96.70","97.20","94.00","95.65","96.85","96.40","95.80","148.75","65.00",19814943,"1,898,229,547.85",79518
"31-Aug-2020","EQ","99.90","101.50","95.10","99.10","95.40","95.65","98.23","148.75","65.00",22003034,"2,161,260,766.40",84490
"28-Aug-2020","EQ","99.40","100.50","98.80","99.20","99.15","99.10","99.49","148.75","65.00",8717459,"867,319,004.85",38535
"27-Aug-2020","EQ","100.60","100.60","99.00","99.85","99.40","99.20","99.61","148.75","65.00",6719780,"669,326,629.20",33940
"26-Aug-2020","EQ","100.15","100.85","99.25","99.70","99.95","99.85","100.01","148.75","65.00",7300230,"730,106,516.40",29693
"25-Aug-2020","EQ","102.60","103.15","99.30","101.60","99.85","99.70","100.55","148.75","65.00",15048067,"1,513,116,791.50",58698
"24-Aug-2020","EQ","102.00","103.20","101.15","101.75","101.80","101.60","102.27","148.75","65.00",8860183,"906,162,606.75",41003
"21-Aug-2020","EQ","102.00","103.15","101.05","101.50","101.55","101.75","102.06","148.75","65.00",12364688,"1,261,998,645.60",51591
"20-Aug-2020","EQ","101.00","103.15","100.30","101.45","101.50","101.50","101.71","148.75","65.00",18502004,"1,881,885,880.15",72420
"19-Aug-2020","EQ","97.30","101.90","97.10","96.95","101.80","101.45","100.38","148.75","65.00",36880960,"3,702,004,327.30",120880
"18-Aug-2020","EQ","97.90","98.00","96.70","97.65","97.10","96.95","97.21","148.75","65.00",11921864,"1,158,970,441.35",48693
"17-Aug-2020","EQ","96.15","98.00","95.60","95.95","97.70","97.65","96.94","148.75","65.00",11823777,"1,146,155,392.90",53667
"14-Aug-2020","EQ","99.15","99.20","95.65","97.40","96.10","95.95","96.99","148.75","65.00",16323746,"1,583,168,510.05",62003
"13-Aug-2020","EQ","98.80","99.60","96.50","98.05","97.30","97.40","98.12","148.75","65.00",19705877,"1,933,615,581.35",74287
"12-Aug-2020","EQ","97.20","98.40","96.00","97.30","98.25","98.05","97.40","148.75","65.00",10943752,"1,065,889,420.10",40599
"11-Aug-2020","EQ","97.30","98.80","97.00","97.05","97.40","97.30","98.03","148.75","65.00",9140943,"896,102,400.45",30719
"10-Aug-2020","EQ","97.25","97.90","96.30","96.90","97.10","97.05","97.01","148.75","65.00",7921530,"768,505,175.05",31342
"07-Aug-2020","EQ","96.25","97.40","95.65","95.65","96.90","96.90","96.86","148.75","65.00",9973831,"966,104,197.10",43845
"06-Aug-2020","EQ","94.20","96.45","93.50","93.30","95.75","95.65","95.61","148.75","65.00",21775128,"2,081,950,074.30",74396
"05-Aug-2020","EQ","94.05","95.00","93.10","93.15","93.50","93.30","93.87","148.75","65.00",8424544,"790,850,766.90",44183
"04-Aug-2020","EQ","94.10","94.70","92.85","94.10","93.25","93.15","93.60","148.75","65.00",15340137,"1,435,892,829.40",63910
