"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","749.65","749.65","710.05","745.00","713.00","716.85","732.42","836.90","385.05",2426658,"1,777,333,858.75",47059
"18-Sep-2020","EQ","727.95","748.65","724.65","724.70","744.50","745.00","736.94","836.90","385.05",3216185,"2,370,137,499.35",53196
"17-Sep-2020","EQ","720.40","738.75","716.55","720.40","725.90","724.70","727.21","836.90","385.05",3927324,"2,855,971,054.40",87193
"16-Sep-2020","EQ","722.95","737.20","714.10","720.40","720.00","720.40","725.06","836.90","385.05",3038720,"2,203,247,638.15",50984
"15-Sep-2020","EQ","711.60","723.50","709.80","707.00","718.05","720.40","718.24","836.90","385.05",2926571,"2,101,982,157.90",47582
"14-Sep-2020","EQ","721.00","735.95","703.00","720.95","710.00","707.00","721.15","836.90","385.05",3044866,"2,195,798,232.60",54257
"11-Sep-2020","EQ","715.00","727.00","704.65","713.30","718.40","720.95","720.66","836.90","385.05",7330487,"5,282,814,913.10",79551
"10-Sep-2020","EQ","696.55","717.75","681.30","687.10","711.50","713.30","700.60","836.90","385.05",4924113,"3,449,847,408.40",87361
"09-Sep-2020","EQ","676.00","696.50","664.05","677.10","693.25","687.10","677.71","836.90","385.05",2835848,"1,921,892,898.10",48768
"08-Sep-2020","EQ","702.90","702.90","674.20","700.15","675.00","677.10","686.39","836.90","385.05",2825627,"1,939,491,416.15",44654
"07-Sep-2020","EQ","720.00","720.80","693.00","706.50","701.00","700.15","703.54","836.90","385.05",4178265,"2,939,590,883.45",60353
"04-Sep-2020","EQ","705.00","724.00","698.70","724.75","708.00","706.50","713.81","836.90","385.05",3605878,"2,573,907,488.95",88226
"03-Sep-2020","EQ","685.00","729.35","681.60","678.45","726.10","724.75","705.46","836.90","385.05",7498392,"5,289,787,819.75",105692
"02-Sep-2020","EQ","681.00","685.95","662.65","684.55","679.00","678.45","672.13","836.90","385.05",3930979,"2,642,146,540.50",66320
"01-Sep-2020","EQ","676.95","704.80","651.05","674.85","683.15","684.55","677.35","836.90","385.05",4727724,"3,202,317,706.65",70493
"31-Aug-2020","EQ","703.00","710.80","670.65","701.15","670.65","674.85","688.42","836.90","385.05",4456609,"3,068,016,864.95",65761
