"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","823.00","849.90","793.45","810.60","801.15","802.60","830.79","1,170.00","375.25",24911675,"20,696,285,172.90",403669
"18-Sep-2020","EQ","808.30","824.00","804.00","808.30","810.00","810.60","814.69","1,170.00","375.25",8847758,"7,208,201,598.45",134982
"17-Sep-2020","EQ","794.95","817.50","789.50","789.25","806.30","808.30","807.67","1,170.00","375.25",19972987,"16,131,626,946.25",266753
"16-Sep-2020","EQ","790.05","796.30","779.25","792.70","788.45","789.25","788.92","1,170.00","375.25",7471542,"5,894,465,481.45",168914
"15-Sep-2020","EQ","791.05","809.85","783.05","794.95","791.80","792.70","795.47","1,170.00","375.25",14024787,"11,156,311,755.85",192773
"14-Sep-2020","EQ","745.00","825.10","744.15","721.65","793.00","794.95","783.61","1,170.00","375.25",32312531,"25,320,377,282.45",415569
"11-Sep-2020","EQ","712.00","734.00","710.15","722.40","720.05","721.65","723.23","1,170.00","375.25",7221687,"5,222,954,988.80",120764
"10-Sep-2020","EQ","728.65","728.95","713.80","721.95","720.70","722.40","720.77","1,170.00","375.25",3366359,"2,426,371,004.05",67465
"09-Sep-2020","EQ","712.10","730.90","710.20","725.90","722.60","721.95","721.31","1,170.00","375.25",5514179,"3,977,432,747.85",101369
"08-Sep-2020","EQ","708.80","738.90","703.20","708.80","721.85","725.90","727.72","1,170.00","375.25",11522742,"8,385,341,841.85",186330
"07-Sep-2020","EQ","696.35","712.40","689.05","700.80","707.05","708.80","702.03","1,170.00","375.25",4238823,"2,975,801,272.85",89393
"04-Sep-2020","EQ","695.15","704.50","692.05","706.75","702.00","700.80","698.83","1,170.00","375.25",3354844,"2,344,480,521.35",49600
"03-Sep-2020","EQ","704.80","716.40","697.60","701.95","707.80","706.75","708.45","1,170.00","375.25",5468161,"3,873,914,728.00",100811
"02-Sep-2020","EQ","689.90","704.80","689.10","689.60","702.70","701.95","698.09","1,170.00","375.25",4090511,"2,855,545,336.95",69906
"01-Sep-2020","EQ","695.00","704.00","682.40","694.40","692.25","689.60","695.04","1,170.00","375.25",6377322,"4,432,514,477.35",70102
"31-Aug-2020","EQ","705.00","725.00","686.00","706.45","688.65","694.40","704.98","1,170.00","375.25",7787176,"5,489,794,792.90",140233
"28-Aug-2020","EQ","713.70","716.65","703.20","710.15","705.55","706.45","709.69","1,170.00","375.25",5416682,"3,844,192,015.25",115684
"27-Aug-2020","EQ","713.55","720.00","706.50","712.80","711.90","710.15","711.92","1,170.00","375.25",3917059,"2,788,614,388.35",62402
"26-Aug-2020","EQ","704.70","717.75","697.00","701.60","713.50","712.80","709.35","1,170.00","375.25",4511551,"3,200,252,379.20",76393
"25-Aug-2020","EQ","705.00","711.55","694.70","705.70","701.00","701.60","700.41","1,170.00","375.25",3982510,"2,789,372,797.80",61808
"24-Aug-2020","EQ","706.05","708.45","695.60","705.90","707.90","705.70","702.77","1,170.00","375.25",4066936,"2,858,138,431.70",62460
"21-Aug-2020","EQ","715.00","715.00","702.70","710.10","705.60","705.90","707.21","1,170.00","375.25",4164686,"2,945,297,038.05",64644
