"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","3,122.00","3,124.45","3,033.05","3,112.65","3,042.90","3,055.35","3,071.89","3,181.35","1,475.00",826282,"2,538,243,346.70",51588
"18-Sep-2020","EQ","3,080.00","3,121.85","3,075.10","3,061.00","3,109.00","3,112.65","3,102.44","3,181.35","1,475.00",1362768,"4,227,907,977.25",54757
"17-Sep-2020","EQ","3,042.80","3,098.00","3,030.05","3,056.20","3,075.05","3,061.00","3,068.87","3,181.35","1,475.00",914287,"2,805,824,322.25",58005
"16-Sep-2020","EQ","3,033.00","3,105.00","3,024.65","3,037.15","3,059.30","3,056.20","3,078.43","3,181.35","1,475.00",1603514,"4,936,300,278.70",74015
"15-Sep-2020","EQ","3,028.50","3,051.70","3,005.05","3,028.50","3,033.00","3,037.15","3,033.00","3,181.35","1,475.00",915383,"2,776,355,553.70",38861
"14-Sep-2020","EQ","3,014.95","3,039.00","2,956.00","2,992.25","3,025.00","3,028.50","3,001.21","3,181.35","1,475.00",1537248,"4,613,600,203.70",79622
"11-Sep-2020","EQ","2,949.15","3,007.70","2,948.75","2,948.75","2,990.90","2,992.25","2,985.39","3,181.35","1,475.00",1525239,"4,553,435,613.05",65258
"10-Sep-2020","EQ","2,920.00","2,957.40","2,888.25","2,904.00","2,940.60","2,948.75","2,927.25","3,181.35","1,475.00",1629594,"4,770,220,987.60",77248
"09-Sep-2020","EQ","2,847.00","2,920.00","2,830.20","2,863.20","2,900.20","2,904.00","2,893.00","3,181.35","1,475.00",1995625,"5,773,336,239.05",86342
"08-Sep-2020","EQ","2,871.00","2,903.20","2,852.00","2,860.15","2,861.00","2,863.20","2,876.43","3,181.35","1,475.00",1263519,"3,634,424,233.95",68093
"07-Sep-2020","EQ","2,930.00","2,934.90","2,852.00","2,915.20","2,864.95","2,860.15","2,880.07","3,181.35","1,475.00",1476040,"4,251,102,670.10",75254
"04-Sep-2020","EQ","2,918.85","2,976.50","2,867.60","2,941.40","2,928.90","2,915.20","2,934.44","3,181.35","1,475.00",1508210,"4,425,756,328.65",63187
"03-Sep-2020","EQ","2,975.00","3,006.15","2,930.95","2,943.55","2,943.15","2,941.40","2,970.54","3,181.35","1,475.00",1512725,"4,493,604,891.70",69056
"02-Sep-2020","EQ","3,034.95","3,039.80","2,876.15","2,995.60","2,953.00","2,943.55","2,936.40","3,181.35","1,475.00",2809547,"8,249,958,918.20",119094
"01-Sep-2020","EQ","3,030.05","3,074.30","2,975.50","3,006.05","2,997.00","2,995.60","3,010.19","3,181.35","1,475.00",1357860,"4,087,416,792.50",68874
"31-Aug-2020","EQ","3,070.00","3,088.90","2,966.10","3,059.30","2,998.80","3,006.05","3,014.53","3,181.35","1,475.00",1808598,"5,452,077,725.00",78344
"28-Aug-2020","EQ","3,119.05","3,164.00","3,050.65","3,141.75","3,068.15","3,059.30","3,101.21","3,181.35","1,475.00",1838010,"5,700,057,781.15",105935
"27-Aug-2020","EQ","3,159.00","3,170.00","3,107.50","3,160.75","3,136.00","3,141.75","3,130.03","3,181.35","1,475.00",1431518,"4,480,690,580.40",76057
"26-Aug-2020","EQ","3,110.00","3,181.35","3,070.00","2,969.75","3,160.45","3,160.75","3,119.68","3,181.35","1,475.00",4651111,"14,509,983,208.90",207879
"25-Aug-2020","EQ","3,044.00","3,052.95","2,957.85","3,015.05","2,985.95","2,969.75","3,002.25","3,075.50","1,475.00",1324090,"3,975,242,955.00",71119
"24-Aug-2020","EQ","3,037.00","3,075.50","3,001.05","3,033.45","3,015.00","3,015.05","3,040.02","3,075.50","1,475.00",1706117,"5,186,632,831.00",74579
