"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","179.40","180.70","163.10","179.50","166.50","167.15","170.48","221.20","84.90",26163752,"4,460,324,930.15",174984
"18-Sep-2020","EQ","177.45","182.20","176.55","175.85","179.40","179.50","179.53","221.20","84.90",28529345,"5,121,886,355.75",120413
"17-Sep-2020","EQ","182.70","182.70","175.35","183.80","175.80","175.85","177.42","221.20","84.90",18644374,"3,307,805,797.95",97835
"16-Sep-2020","EQ","177.10","184.60","175.45","176.75","183.65","183.80","181.24","221.20","84.90",14453137,"2,619,532,197.40",76272
"15-Sep-2020","EQ","177.40","179.35","174.50","175.80","176.90","176.75","177.36","221.20","84.90",10726850,"1,902,535,780.25",52616
"14-Sep-2020","EQ","179.00","180.50","174.60","178.65","175.00","175.80","177.23","221.20","84.90",11606088,"2,056,911,505.55",82936
"11-Sep-2020","EQ","178.70","180.00","174.80","176.65","178.05","178.65","177.31","221.20","84.90",15780825,"2,798,101,791.35",95137
"10-Sep-2020","EQ","185.00","185.30","173.35","182.80","177.45","176.65","177.92","221.20","84.90",19155966,"3,408,273,791.10",121855
"09-Sep-2020","EQ","177.35","183.80","171.75","180.25","183.15","182.80","177.42","221.20","84.90",22609547,"4,011,346,344.20",107930
"08-Sep-2020","EQ","188.20","188.20","179.55","187.50","180.00","180.25","184.62","221.20","84.90",9202591,"1,698,988,202.25",53629
"07-Sep-2020","EQ","188.30","191.50","186.60","188.30","187.30","187.50","188.47","221.20","84.90",6839485,"1,289,068,215.25",49817
"04-Sep-2020","EQ","188.05","194.00","184.85","192.00","188.85","188.30","189.95","221.20","84.90",16805286,"3,192,088,096.80",119727
"03-Sep-2020","EQ","196.15","196.15","191.55","196.20","191.95","192.00","192.52","221.20","84.90",11311035,"2,177,649,141.75",60209
"02-Sep-2020","EQ","194.00","196.90","192.55","194.05","196.25","196.20","194.92","221.20","84.90",11184434,"2,180,043,911.85",79996
"01-Sep-2020","EQ","185.20","195.45","185.00","185.25","195.00","194.05","192.18","221.20","84.90",24334798,"4,676,615,207.50",158179
