"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","2,098.70","2,099.00","2,022.10","2,098.70","2,035.00","2,037.80","2,049.98","2,614.30","1,757.30",3483981,"7,142,082,988.80",191664
"18-Sep-2020","EQ","2,120.00","2,127.55","2,090.00","2,128.20","2,099.00","2,098.70","2,099.77","2,614.30","1,757.30",4475209,"9,396,931,818.70",209451
"17-Sep-2020","EQ","2,135.00","2,145.05","2,122.25","2,143.50","2,128.00","2,128.20","2,130.18","2,614.30","1,757.30",1741644,"3,710,020,106.25",70467
"16-Sep-2020","EQ","2,125.00","2,158.95","2,112.70","2,124.45","2,140.00","2,143.50","2,135.22","2,614.30","1,757.30",2087842,"4,457,996,240.35",109780
"15-Sep-2020","EQ","2,136.90","2,137.00","2,109.00","2,123.50","2,125.00","2,124.45","2,124.52","2,614.30","1,757.30",1224059,"2,600,533,012.95",58186
"14-Sep-2020","EQ","2,167.00","2,169.70","2,115.00","2,159.25","2,121.00","2,123.50","2,132.70","2,614.30","1,757.30",2096976,"4,472,216,500.45",122163
"11-Sep-2020","EQ","2,125.00","2,169.00","2,124.50","2,133.90","2,159.00","2,159.25","2,152.90","2,614.30","1,757.30",1934716,"4,165,248,416.55",78410
"10-Sep-2020","EQ","2,142.00","2,143.60","2,118.20","2,132.25","2,134.70","2,133.90","2,128.22","2,614.30","1,757.30",2137794,"4,549,690,396.90",72808
"09-Sep-2020","EQ","2,122.00","2,144.20","2,110.00","2,142.25","2,131.50","2,132.25","2,131.93","2,614.30","1,757.30",2009945,"4,285,057,654.45",107561
"08-Sep-2020","EQ","2,154.00","2,171.35","2,131.15","2,162.60","2,135.00","2,142.25","2,157.46","2,614.30","1,757.30",1804240,"3,892,571,739.95",94155
"07-Sep-2020","EQ","2,126.00","2,174.00","2,103.75","2,124.65","2,165.05","2,162.60","2,154.75","2,614.30","1,757.30",2363028,"5,091,728,508.50",100531
"04-Sep-2020","EQ","2,115.00","2,140.90","2,114.00","2,139.15","2,131.00","2,124.65","2,126.89","2,614.30","1,757.30",1590491,"3,382,804,549.70",71511
"03-Sep-2020","EQ","2,153.00","2,154.45","2,128.05","2,141.65","2,143.05","2,139.15","2,139.42","2,614.30","1,757.30",1590711,"3,403,197,308.50",88296
"02-Sep-2020","EQ","2,171.00","2,185.00","2,136.55","2,161.65","2,146.00","2,141.65","2,155.12","2,614.30","1,757.30",1667810,"3,594,325,392.30",84280
"01-Sep-2020","EQ","2,149.95","2,174.90","2,111.75","2,117.35","2,170.00","2,161.65","2,140.56","2,614.30","1,757.30",1738013,"3,720,322,278.05",70039
"31-Aug-2020","EQ","2,152.00","2,167.50","2,100.65","2,151.95","2,110.00","2,117.35","2,134.94","2,614.30","1,757.30",3534525,"7,546,000,906.30",165575
"28-Aug-2020","EQ","2,179.00","2,182.40","2,145.00","2,171.25","2,148.00","2,151.95","2,162.74","2,614.30","1,757.30",1939848,"4,195,387,183.60",107096
"27-Aug-2020","EQ","2,182.10","2,188.00","2,165.00","2,182.80","2,176.00","2,171.25","2,172.45","2,614.30","1,757.30",2172278,"4,719,164,441.00",76992
"26-Aug-2020","EQ","2,182.10","2,186.00","2,160.00","2,179.10","2,185.00","2,182.80","2,174.21","2,614.30","1,757.30",2148246,"4,670,728,609.55",71305
"25-Aug-2020","EQ","2,194.40","2,197.90","2,175.00","2,194.40","2,182.00","2,179.10","2,182.46","2,614.30","1,757.30",1774886,"3,873,617,334.00",69888
"24-Aug-2020","EQ","2,206.00","2,211.65","2,191.20","2,202.05","2,195.90","2,194.40","2,196.60","2,614.30","1,757.30",1665474,"3,658,388,161.25",72008
"21-Aug-2020","EQ","2,199.00","2,208.70","2,187.45","2,185.70","2,204.75","2,202.05","2,200.31","2,614.30","1,757.30",1374412,"3,024,136,604.60",52443
"20-Aug-2020","EQ","2,186.00","2,197.80","2,176.15","2,193.60","2,184.80","2,185.70","2,188.20","2,614.30","1,757.30",1768939,"3,870,786,400.70",84041
"19-Aug-2020","EQ","2,206.00","2,221.50","2,190.00","2,214.35","2,196.00","2,193.60","2,203.99","2,614.30","1,757.30",1585132,"3,493,617,814.00",74502
"18-Aug-2020","EQ","2,204.00","2,216.80","2,189.00","2,196.05","2,215.00","2,214.35","2,205.76","2,614.30","1,757.30",1339002,"2,953,510,616.95",58829
"17-Aug-2020","EQ","2,181.00","2,203.65","2,168.40","2,173.90","2,201.50","2,196.05","2,185.61","2,614.30","1,757.30",1559579,"3,408,638,240.60",55914
"14-Aug-2020","EQ","2,204.00","2,216.00","2,165.05","2,198.65","2,178.15","2,173.90","2,193.71","2,614.30","1,757.30",1341691,"2,943,280,016.70",70158
