"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","612.90","617.40","553.85","613.20","560.95","560.60","584.37","1,596.55","235.55",15649472,"9,145,010,777.05",221061
"18-Sep-2020","EQ","622.95","624.65","600.00","617.35","616.20","613.20","614.36","1,596.55","235.55",10335152,"6,349,554,499.85",150098
"17-Sep-2020","EQ","614.75","624.80","610.20","621.65","618.00","617.35","618.17","1,596.55","235.55",9390779,"5,805,107,603.80",123718
"16-Sep-2020","EQ","641.00","641.00","613.65","633.40","620.75","621.65","624.69","1,596.55","235.55",17941047,"11,207,527,132.85",221076
"15-Sep-2020","EQ","609.35","639.00","601.20","609.35","637.85","633.40","620.31","1,596.55","235.55",13447085,"8,341,330,739.50",165421
"14-Sep-2020","EQ","617.10","620.00","603.85","610.35","605.95","609.35","612.93","1,596.55","235.55",9287424,"5,692,547,548.40",111369
"11-Sep-2020","EQ","618.00","622.40","603.25","620.45","610.00","610.35","610.30","1,596.55","235.55",11347391,"6,925,335,990.00",152869
"10-Sep-2020","EQ","614.00","627.80","610.00","604.60","620.20","620.45","620.08","1,596.55","235.55",15925336,"9,874,960,523.60",191262
"09-Sep-2020","EQ","590.00","609.70","588.65","600.40","609.10","604.60","600.64","1,596.55","235.55",17123149,"10,284,898,568.95",193722
"08-Sep-2020","EQ","609.00","612.90","599.00","608.70","600.00","600.40","604.81","1,596.55","235.55",13303912,"8,046,337,394.15",145655
"07-Sep-2020","EQ","621.50","624.95","597.55","616.15","607.00","608.70","612.51","1,596.55","235.55",13890403,"8,508,072,699.85",180478
"04-Sep-2020","EQ","611.05","642.00","603.55","631.85","618.60","616.15","624.46","1,596.55","235.55",21613034,"13,496,378,539.05",244668
"03-Sep-2020","EQ","644.00","648.25","625.00","640.55","632.05","631.85","635.34","1,596.55","235.55",14985742,"9,521,113,641.20",189490
"02-Sep-2020","EQ","632.00","651.10","614.10","627.45","640.60","640.55","630.24","1,596.55","235.55",19769514,"12,459,478,460.40",222864
"01-Sep-2020","EQ","638.10","662.50","588.70","630.20","631.50","627.45","631.01","1,596.55","235.55",47295465,"29,843,747,682.40",490236
"31-Aug-2020","EQ","705.00","712.00","620.75","665.65","631.50","630.20","652.67","1,596.55","235.55",57316982,"37,409,346,431.80",590783
"28-Aug-2020","EQ","600.00","689.00","595.50","605.85","677.00","665.65","636.55","1,596.55","235.55",55986893,"35,638,476,085.25",527327
"27-Aug-2020","EQ","572.40","619.75","572.00","567.65","604.70","605.85","599.11","1,596.55","235.55",48568998,"29,098,330,329.65",505713
"26-Aug-2020","EQ","541.45","572.20","538.45","536.50","568.50","567.65","556.54","1,596.55","235.55",26851878,"14,944,084,391.70",272262
"25-Aug-2020","EQ","535.00","546.40","530.20","529.15","538.80","536.50","539.30","1,596.55","235.55",18377634,"9,910,983,786.70",181713
"24-Aug-2020","EQ","518.00","535.45","516.00","513.55","530.65","529.15","526.89","1,596.55","235.55",14887691,"7,844,105,333.65",151852
"21-Aug-2020","EQ","520.00","521.40","512.50","513.40","514.60","513.55","516.82","1,596.55","235.55",6411024,"3,313,355,808.25",70996
"20-Aug-2020","EQ","515.60","520.55","511.10","522.15","513.60","513.40","515.00","1,596.55","235.55",7658814,"3,944,322,840.50",88093
"19-Aug-2020","EQ","523.00","530.00","519.15","521.60","522.00","522.15","525.33","1,596.55","235.55",10896370,"5,724,211,262.50",114886
"18-Aug-2020","EQ","512.45","524.75","506.50","513.15","520.70","521.60","515.68","1,596.55","235.55",10993530,"5,669,168,137.40",115465
"17-Aug-2020","EQ","510.00","514.80","502.50","507.20","512.45","513.15","510.28","1,596.55","235.55",7174433,"3,660,943,754.55",84007
"14-Aug-2020","EQ","520.00","523.50","500.15","518.75","508.10","507.20","512.48","1,596.55","235.55",9318713,"4,775,668,192.30",110304
"13-Aug-2020","EQ","524.00","527.55","516.35","520.65","518.40","518.75","522.11","1,596.55","235.55",8109165,"4,233,840,353.15",90360
"12-Aug-2020","EQ","518.50","530.45","512.35","522.00","519.35","520.65","523.08","1,596.55","235.55",12646494,"6,615,155,453.75",147764
"11-Aug-2020","EQ","511.00","524.90","509.35","509.35","522.10","522.00","517.51","1,596.55","235.55",11702721,"6,056,308,039.05",130754
