"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","199.20","199.20","186.70","199.35","189.10","188.75","193.08","296.50","120.05",7804296,"1,506,828,443.60",64087
"18-Sep-2020","EQ","198.00","200.75","195.30","196.40","198.30","199.35","197.76","296.50","120.05",7756023,"1,533,845,055.00",51954
"17-Sep-2020","EQ","200.20","201.00","195.55","200.15","196.50","196.40","197.68","296.50","120.05",6631613,"1,310,953,280.20",53540
"16-Sep-2020","EQ","202.70","204.45","199.00","202.50","200.20","200.15","200.91","296.50","120.05",6081332,"1,221,826,524.55",41546
"15-Sep-2020","EQ","204.75","204.75","200.35","202.60","202.35","202.50","202.09","296.50","120.05",6305197,"1,274,192,845.50",52815
"14-Sep-2020","EQ","204.95","206.10","199.35","201.85","201.65","202.60","202.31","296.50","120.05",11630324,"2,352,978,749.10",83513
"11-Sep-2020","EQ","202.00","208.70","200.80","199.95","202.00","201.85","204.81","296.50","120.05",24662340,"5,050,982,300.70",166845
"10-Sep-2020","EQ","213.85","214.00","197.90","210.45","200.40","199.95","203.68","296.50","120.05",18249232,"3,716,969,583.70",117869
"09-Sep-2020","EQ","211.45","213.40","205.75","213.00","210.00","210.45","209.35","296.50","120.05",18035749,"3,775,722,350.10",116913
"08-Sep-2020","EQ","228.45","228.45","211.20","231.00","212.80","213.00","218.61","296.50","120.05",29212396,"6,386,182,632.30",209513
"07-Sep-2020","EQ","217.00","235.45","216.75","214.85","227.20","231.00","225.68","296.50","120.05",54729401,"12,351,275,753.65",331937
"04-Sep-2020","EQ","214.00","230.80","207.50","218.50","214.35","214.85","221.65","296.50","120.05",69139082,"15,324,972,029.15",449078
"03-Sep-2020","EQ","197.85","221.40","197.15","196.05","217.80","218.50","212.76","296.50","120.05",49549273,"10,542,069,697.35",284665
"02-Sep-2020","EQ","192.55","198.45","191.80","188.80","196.15","196.05","195.54","296.50","120.05",15354232,"3,002,343,443.15",105884
"01-Sep-2020","EQ","205.70","208.80","178.70","198.55","189.50","188.80","193.94","296.50","120.05",33234915,"6,445,587,654.75",206688
"31-Aug-2020","EQ","206.00","211.60","194.25","201.50","198.10","198.55","206.29","296.50","120.05",21933653,"4,524,712,836.30",137684
"28-Aug-2020","EQ","200.00","213.75","199.50","199.90","202.60","201.50","207.14","296.50","120.05",23667550,"4,902,598,057.50",127000
"27-Aug-2020","EQ","202.00","202.60","198.25","200.50","200.00","199.90","200.11","296.50","120.05",3085330,"617,414,196.35",26365
"26-Aug-2020","EQ","199.00","203.20","196.80","198.25","200.60","200.50","200.53","296.50","120.05",4470838,"896,526,695.55",27249
"25-Aug-2020","EQ","199.50","201.00","196.10","199.50","198.00","198.25","197.70","296.50","120.05",4470846,"883,897,223.25",38289
