"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","80.80","81.00","77.00","80.70","77.40","77.70","78.66","156.00","71.15",22523202,"1,771,568,905.80",72310
"18-Sep-2020","EQ","82.60","82.85","80.25","81.80","80.80","80.70","81.35","156.00","71.15",21035497,"1,711,164,319.45",48115
"17-Sep-2020","EQ","82.40","82.80","81.40","82.70","82.00","81.80","82.05","156.00","71.15",12883226,"1,057,133,052.25",34909
"16-Sep-2020","EQ","82.25","83.05","81.45","82.25","82.55","82.70","82.17","156.00","71.15",12791146,"1,051,014,555.10",32397
"15-Sep-2020","EQ","82.70","83.40","81.80","82.70","82.30","82.25","82.54","156.00","71.15",11709315,"966,428,718.75",29803
"14-Sep-2020","EQ","83.20","83.80","82.35","83.10","82.70","82.70","83.12","156.00","71.15",11874116,"986,988,896.90",35915
"11-Sep-2020","EQ","83.30","84.00","82.05","83.55","82.95","83.10","82.88","156.00","71.15",17860255,"1,480,178,280.60",49485
"10-Sep-2020","EQ","80.70","83.95","80.70","80.55","83.65","83.55","82.52","156.00","71.15",29432278,"2,428,699,557.55",73817
"09-Sep-2020","EQ","82.70","82.85","79.30","82.75","80.60","80.55","80.51","156.00","71.15",24388612,"1,963,596,298.45",86795
"08-Sep-2020","EQ","83.95","84.40","82.55","83.80","82.70","82.75","83.54","156.00","71.15",16168962,"1,350,684,945.75",49747
"07-Sep-2020","EQ","84.50","84.95","81.80","83.90","84.00","83.80","83.40","156.00","71.15",14902298,"1,242,914,041.90",39014
"04-Sep-2020","EQ","84.00","84.85","82.75","85.10","84.15","83.90","84.15","156.00","71.15",12703543,"1,068,958,592.35",40483
"03-Sep-2020","EQ","85.70","86.55","84.45","85.30","85.00","85.10","85.10","156.00","71.15",14027426,"1,193,775,193.00",42296
"02-Sep-2020","EQ","85.40","85.65","84.55","84.65","85.65","85.30","85.00","156.00","71.15",12523696,"1,064,522,104.05",33763
"01-Sep-2020","EQ","85.80","86.60","83.50","85.80","85.05","84.65","84.69","156.00","71.15",27777356,"2,352,484,245.05",75106
"31-Aug-2020","EQ","88.50","91.75","85.35","87.80","85.55","85.80","88.72","156.00","71.15",70850231,"6,285,939,106.95",194934
"28-Aug-2020","EQ","87.80","89.00","87.40","87.20","88.00","87.80","88.18","156.00","71.15",17611779,"1,553,088,380.45",56253
"27-Aug-2020","EQ","88.15","88.40","87.05","87.90","87.35","87.20","87.64","156.00","71.15",15445049,"1,353,626,055.05",56287
"26-Aug-2020","EQ","88.80","88.85","87.60","88.30","88.00","87.90","88.06","156.00","71.15",16122996,"1,419,848,245.50",37615
"25-Aug-2020","EQ","88.35","89.05","87.60","88.35","88.30","88.30","88.23","156.00","71.15",19552892,"1,725,085,109.70",60686
"24-Aug-2020","EQ","88.95","89.40","88.10","88.85","88.35","88.35","88.61","156.00","71.15",9740352,"863,092,895.35",32690
"21-Aug-2020","EQ","89.95","90.45","88.60","89.05","88.80","88.85","89.58","156.00","71.15",19035208,"1,705,171,636.95",57254
"20-Aug-2020","EQ","87.90","89.70","87.10","88.00","89.00","89.05","88.60","156.00","71.15",32146698,"2,848,061,893.85",78108
"19-Aug-2020","EQ","87.10","89.00","87.10","87.00","88.00","88.00","88.22","156.00","71.15",24451316,"2,156,989,240.50",56901
"18-Aug-2020","EQ","87.10","87.90","86.65","87.55","87.10","87.00","87.17","156.00","71.15",13545170,"1,180,719,792.80",39294
"17-Aug-2020","EQ","85.25","87.75","85.15","84.80","87.50","87.55","86.61","156.00","71.15",19481634,"1,687,250,923.50",46137
"14-Aug-2020","EQ","87.50","87.50","84.55","86.85","85.05","84.80","85.80","156.00","71.15",19898132,"1,707,171,352.85",65494
"13-Aug-2020","EQ","86.40","87.05","85.95","85.85","87.00","86.85","86.47","156.00","71.15",11778434,"1,018,507,484.05",40832
"12-Aug-2020","EQ","87.05","87.25","85.70","87.05","86.10","85.85","86.12","156.00","71.15",21486470,"1,850,394,308.80",56907
"11-Aug-2020","EQ","87.20","88.20","86.90","87.10","87.30","87.05","87.34","156.00","71.15",16717030,"1,460,147,917.55",42902
"10-Aug-2020","EQ","86.60","87.70","86.20","86.40","87.20","87.10","87.14","156.00","71.15",16255605,"1,416,587,990.75",41964
"07-Aug-2020","EQ","87.70","88.40","85.65","87.20","86.40","86.40","86.65","156.00","71.15",22270182,"1,929,651,140.25",60040
"06-Aug-2020","EQ","86.80","88.20","86.30","86.60","87.40","87.20","87.38","156.00","71.15",19663459,"1,718,116,267.45",43397
"05-Aug-2020","EQ","87.00","88.05","86.30","86.95","86.75","86.60","87.25","156.00","71.15",21667810,"1,890,585,268.20",48032
"04-Aug-2020","EQ","86.30","87.45","85.80","86.20","86.85","86.95","86.84","156.00","71.15",25498635,"2,214,326,846.65",48206
"03-Aug-2020","EQ","88.35","88.35","85.40","88.45","85.50","86.20","86.75","156.00","71.15",31446437,"2,728,109,434.85",67061
"31-Jul-2020","EQ","89.30","89.95","87.25","88.55","88.55","88.45","88.59","156.00","71.15",41414494,"3,668,849,859.95",109264
"30-Jul-2020","EQ","92.00","92.50","87.60","92.60","88.90","88.55","89.56","156.00","71.15",43622365,"3,906,734,632.55",134336
"29-Jul-2020","EQ","92.30","93.70","92.05","93.40","92.55","92.60","92.84","156.00","71.15",14883656,"1,381,871,012.90",42777
"28-Jul-2020","EQ","93.75","95.25","92.65","93.75","93.30","93.40","93.97","156.00","71.15",24585687,"2,310,209,993.40",73004
"27-Jul-2020","EQ","93.60","95.65","91.40","92.80","93.50","93.75","94.20","156.00","71.15",39139215,"3,686,791,589.40",102982
"24-Jul-2020","EQ","93.90","94.60","91.80","94.30","92.90","92.80","92.95","156.00","71.15",22611546,"2,101,767,015.15",58247
"23-Jul-2020","EQ","91.75","95.45","91.20","92.00","94.25","94.30","94.39","156.00","71.15",44920975,"4,240,155,031.50",113747
"22-Jul-2020","EQ","93.55","94.20","91.50","93.45","91.70","92.00","93.05","156.00","71.15",30482054,"2,836,502,591.60",92171
"21-Jul-2020","EQ","88.30","94.70","87.70","88.30","93.30","93.45","92.45","156.00","71.15",93905218,"8,681,872,098.85",236234
"20-Jul-2020","EQ","86.95","88.50","86.15","86.90","88.40","88.30","87.79","156.00","71.15",20607847,"1,809,188,875.90",63264
"17-Jul-2020","EQ","84.65","87.70","83.55","84.25","86.90","86.90","86.15","156.00","71.15",51152122,"4,406,959,335.10",119946
"16-Jul-2020","EQ","85.45","85.55","82.50","85.65","84.00","84.25","83.70","156.00","71.15",22609832,"1,892,442,212.00",78847
"15-Jul-2020","EQ","86.80","87.00","85.10","86.40","85.30","85.65","85.88","156.00","71.15",16532721,"1,419,777,936.05",51982
"14-Jul-2020","EQ","86.75","87.80","85.90","87.40","86.30","86.40","86.62","156.00","71.15",15345709,"1,329,221,749.55",39690
"13-Jul-2020","EQ","87.00","87.75","86.20","86.15","87.30","87.40","87.09","156.00","71.15",16659178,"1,450,908,513.00",47168
"10-Jul-2020","EQ","86.45","86.55","85.40","86.50","86.15","86.15","85.99","156.00","71.15",11091008,"953,721,879.25",38811
"09-Jul-2020","EQ","87.45","88.45","86.00","86.95","86.80","86.50","87.09","156.00","71.15",15305046,"1,332,975,129.30",48027
"08-Jul-2020","EQ","86.25","88.90","86.05","86.15","86.80","86.95","87.33","156.00","71.15",16678756,"1,456,506,088.00",57392
