"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","180.00","180.60","175.05","179.10","175.30","175.75","177.21","266.30","134.60",23892510,"4,233,947,396.25",155218
"18-Sep-2020","EQ","179.55","179.85","177.00","178.60","179.50","179.10","178.49","266.30","134.60",29783208,"5,316,150,215.30",200019
"17-Sep-2020","EQ","180.80","181.50","177.80","180.65","178.35","178.60","179.06","266.30","134.60",33936149,"6,076,484,474.10",287580
"16-Sep-2020","EQ","181.85","183.50","180.05","181.80","180.60","180.65","181.12","266.30","134.60",50645681,"9,172,976,026.30",220804
"15-Sep-2020","EQ","184.00","184.20","180.80","183.35","181.85","181.80","181.73","266.30","134.60",30772104,"5,592,275,810.00",182006
"14-Sep-2020","EQ","185.80","185.85","183.00","183.95","183.25","183.35","183.76","266.30","134.60",30993032,"5,695,277,201.55",191982
"11-Sep-2020","EQ","184.90","186.50","182.75","184.90","184.00","183.95","184.21","266.30","134.60",19256801,"3,547,205,372.55",101708
"10-Sep-2020","EQ","184.10","185.70","183.20","183.80","185.05","184.90","184.51","266.30","134.60",17785076,"3,281,491,700.25",113800
"09-Sep-2020","EQ","185.50","186.25","182.30","188.15","184.25","183.80","183.71","266.30","134.60",27830197,"5,112,811,204.75",198815
"08-Sep-2020","EQ","189.60","190.55","184.60","189.10","188.50","188.15","188.25","266.30","134.60",25591395,"4,817,541,879.30",154677
"07-Sep-2020","EQ","187.25","190.50","180.80","186.70","190.30","189.10","186.38","266.30","134.60",32663990,"6,087,876,417.40",237020
"04-Sep-2020","EQ","190.00","190.00","185.70","191.60","187.25","186.70","187.59","266.30","134.60",41389121,"7,764,152,125.25",227442
"03-Sep-2020","EQ","191.40","193.25","190.00","191.35","191.45","191.60","191.39","266.30","134.60",15692484,"3,003,365,326.10",135774
"02-Sep-2020","EQ","191.30","193.00","189.65","190.20","192.05","191.35","191.03","266.30","134.60",20585664,"3,932,553,157.70",130797
"01-Sep-2020","EQ","191.10","192.35","188.25","191.10","191.30","190.20","190.05","266.30","134.60",39779316,"7,560,052,404.35",154370
"31-Aug-2020","EQ","199.00","199.00","190.00","195.55","190.90","191.10","192.67","266.30","134.60",96998374,"18,688,480,760.35",308091
"28-Aug-2020","EQ","194.60","196.30","194.05","194.25","195.85","195.55","194.92","266.30","134.60",34645794,"6,753,091,918.30",221449
"27-Aug-2020","EQ","198.50","198.90","193.90","194.95","194.35","194.25","195.15","266.30","134.60",47213462,"9,213,831,285.35",274421
"26-Aug-2020","EQ","196.50","196.55","193.65","195.40","195.00","194.95","194.67","266.30","134.60",22631585,"4,405,659,707.00",127742
"25-Aug-2020","EQ","197.25","198.30","195.10","196.70","195.70","195.40","196.12","266.30","134.60",15199285,"2,980,915,921.00",111302
"24-Aug-2020","EQ","197.25","199.00","196.35","196.80","197.50","196.70","197.34","266.30","134.60",14737758,"2,908,311,784.75",87280
"21-Aug-2020","EQ","198.00","199.20","196.30","195.80","197.20","196.80","197.63","266.30","134.60",17234086,"3,405,908,230.15",103695
"20-Aug-2020","EQ","197.00","197.20","194.55","198.45","196.00","195.80","195.95","266.30","134.60",16910657,"3,313,706,063.30",99152
