"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","289.40","290.30","270.05","287.70","270.30","271.30","281.15","296.75","132.50",7522304,"2,114,913,232.40",49168
"18-Sep-2020","EQ","285.30","293.55","284.45","286.85","288.10","287.70","289.00","296.75","132.50",9911089,"2,864,346,521.10",52919
"17-Sep-2020","EQ","286.00","288.80","283.15","288.65","285.75","286.85","285.78","296.75","132.50",5287608,"1,511,094,889.70",37304
"16-Sep-2020","EQ","289.00","291.70","286.30","289.60","287.55","288.65","288.54","296.75","132.50",6090447,"1,757,367,944.90",39332
"15-Sep-2020","EQ","290.95","294.55","288.75","289.85","290.05","289.60","291.86","296.75","132.50",6682215,"1,950,242,301.95",44340
"14-Sep-2020","EQ","287.10","293.95","285.60","287.80","289.85","289.85","289.24","296.75","132.50",7275752,"2,104,470,852.70",56196
"11-Sep-2020","EQ","283.95","289.00","282.70","285.35","285.30","287.80","286.18","296.75","132.50",6485991,"1,856,159,420.40",52072
"10-Sep-2020","EQ","289.35","290.25","278.45","286.85","285.10","285.35","283.50","296.75","132.50",9369826,"2,656,370,760.20",79296
"09-Sep-2020","EQ","273.20","288.50","272.45","281.15","286.75","286.85","280.71","296.75","132.50",14099249,"3,957,782,818.70",99242
"08-Sep-2020","EQ","286.00","288.40","278.40","286.50","278.75","281.15","285.05","296.75","132.50",7609074,"2,168,941,647.35",51193
"07-Sep-2020","EQ","281.00","287.75","278.85","282.35","285.90","286.50","283.60","296.75","132.50",8634438,"2,448,737,589.75",60520
"04-Sep-2020","EQ","286.05","291.25","280.55","293.40","283.10","282.35","286.14","296.75","132.50",8443061,"2,415,894,467.20",59206
"03-Sep-2020","EQ","293.00","295.85","290.85","293.00","293.00","293.40","293.52","296.75","132.50",6425365,"1,885,999,116.00",47039
"02-Sep-2020","EQ","288.50","294.00","285.05","286.80","292.50","293.00","288.86","296.75","132.50",11710724,"3,382,753,552.35",84822
"01-Sep-2020","EQ","269.80","288.50","269.05","269.80","287.45","286.80","281.05","296.75","132.50",13679100,"3,844,452,680.75",98248
"31-Aug-2020","EQ","281.00","281.75","268.45","280.70","269.00","269.80","273.80","296.75","132.50",19774736,"5,414,393,187.40",125260
"28-Aug-2020","EQ","285.50","289.75","280.05","289.30","281.00","280.70","283.97","296.75","132.50",11914490,"3,383,317,397.70",88753
"27-Aug-2020","EQ","285.35","290.75","283.80","286.20","288.75","289.30","286.87","296.75","132.50",5931448,"1,701,567,115.25",42828
"26-Aug-2020","EQ","285.50","286.85","283.15","284.90","285.30","286.20","285.57","296.75","132.50",5278655,"1,507,438,992.50",37719
"25-Aug-2020","EQ","286.55","287.25","280.15","285.75","284.20","284.90","283.64","296.75","132.50",7787006,"2,208,718,279.80",50795
"24-Aug-2020","EQ","284.15","287.25","282.60","281.90","285.25","285.75","285.07","296.75","132.50",9488675,"2,704,921,407.40",63064
"21-Aug-2020","EQ","284.35","288.00","280.35","282.65","281.00","281.90","284.52","296.75","132.50",10884179,"3,096,760,838.45",58012
"20-Aug-2020","EQ","273.00","284.50","271.15","278.55","283.50","282.65","280.14","296.75","132.50",11325005,"3,172,551,902.20",71973
"19-Aug-2020","EQ","278.00","279.90","274.20","277.15","277.85","278.55","276.81","296.75","132.50",10287307,"2,847,654,146.75",58889
"18-Aug-2020","EQ","270.60","279.20","267.35","269.60","278.00","277.15","272.63","296.75","132.50",10683706,"2,912,713,851.10",67927
"17-Aug-2020","EQ","266.90","271.25","263.20","265.35","270.80","269.60","266.99","296.75","132.50",10757867,"2,872,273,126.85",71587
"14-Aug-2020","EQ","259.00","267.30","257.55","258.60","265.25","265.35","263.12","296.75","132.50",13200307,"3,473,297,581.60",79714
"13-Aug-2020","EQ","258.10","264.00","255.85","256.80","259.30","258.60","259.41","296.75","132.50",14516418,"3,765,721,957.60",66316
"12-Aug-2020","EQ","252.00","257.90","249.05","253.75","257.50","256.80","253.24","296.75","132.50",8055616,"2,039,992,116.60",48075
"11-Aug-2020","EQ","246.50","255.50","246.30","245.20","254.85","253.75","252.85","296.75","132.50",15124909,"3,824,375,622.15",87350
"10-Aug-2020","EQ","241.00","246.35","238.55","240.20","246.00","245.20","242.22","296.75","132.50",6482352,"1,570,141,302.25",44151
"07-Aug-2020","EQ","236.80","241.00","235.80","239.50","239.45","240.20","239.50","296.75","132.50",6794779,"1,627,348,788.85",45686
"06-Aug-2020","EQ","235.00","239.95","232.50","235.15","239.65","239.50","236.47","296.75","132.50",10772820,"2,547,398,436.45",62893
"05-Aug-2020","EQ","228.50","236.20","228.15","228.10","234.75","235.15","232.85","296.75","132.50",11076862,"2,579,265,679.00",67822
"04-Aug-2020","EQ","221.55","229.25","219.15","220.55","228.20","228.10","224.99","296.75","132.50",9878205,"2,222,479,737.10",61164
"03-Aug-2020","EQ","221.00","225.45","218.65","220.25","219.50","220.55","221.67","296.75","132.50",9867115,"2,187,274,869.75",57401
"31-Jul-2020","EQ","214.50","221.25","213.30","214.35","220.45","220.25","218.44","296.75","132.50",7306693,"1,596,090,343.25",43364
