"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","1,276.00","1,319.45","1,273.15","1,277.10","1,281.85","1,287.85","1,300.07","1,740.00","1,001.00",6859866,"8,918,301,373.30",144155
"18-Sep-2020","EQ","1,313.10","1,314.00","1,262.50","1,305.10","1,281.00","1,277.10","1,285.59","1,740.00","1,001.00",6529412,"8,394,115,191.40",187609
"17-Sep-2020","EQ","1,315.00","1,326.60","1,301.20","1,325.40","1,306.00","1,305.10","1,311.40","1,740.00","1,001.00",3309015,"4,339,437,178.15",91878
"16-Sep-2020","EQ","1,324.00","1,332.00","1,300.55","1,323.95","1,326.75","1,325.40","1,322.04","1,740.00","1,001.00",3285937,"4,344,150,218.35",138376
"15-Sep-2020","EQ","1,308.10","1,328.85","1,289.00","1,304.70","1,327.00","1,323.95","1,306.76","1,740.00","1,001.00",5029913,"6,572,901,468.85",174657
"14-Sep-2020","EQ","1,337.00","1,347.95","1,300.00","1,330.35","1,305.40","1,304.70","1,320.85","1,740.00","1,001.00",3891183,"5,139,653,504.95",154935
"11-Sep-2020","EQ","1,317.00","1,336.20","1,311.00","1,319.50","1,332.45","1,330.35","1,327.06","1,740.00","1,001.00",3500326,"4,645,129,685.00",138324
"10-Sep-2020","EQ","1,330.00","1,343.05","1,315.10","1,326.15","1,320.45","1,319.50","1,328.69","1,740.00","1,001.00",3289998,"4,371,385,546.20",135132
"09-Sep-2020","EQ","1,343.00","1,350.25","1,313.10","1,350.70","1,326.35","1,326.15","1,327.68","1,740.00","1,001.00",3443401,"4,571,741,659.50",120273
"08-Sep-2020","EQ","1,371.90","1,372.15","1,347.70","1,368.75","1,350.00","1,350.70","1,355.55","1,740.00","1,001.00",2823919,"3,827,962,677.35",116482
"07-Sep-2020","EQ","1,379.00","1,379.00","1,356.40","1,380.05","1,372.00","1,368.75","1,368.76","1,740.00","1,001.00",2321552,"3,177,645,380.75",80233
"04-Sep-2020","EQ","1,380.00","1,394.70","1,354.00","1,396.70","1,384.00","1,380.05","1,375.50","1,740.00","1,001.00",4101756,"5,641,965,268.25",158180
"03-Sep-2020","EQ","1,433.80","1,437.00","1,390.00","1,423.50","1,399.80","1,396.70","1,414.87","1,740.00","1,001.00",2395159,"3,388,840,006.35",117317
"02-Sep-2020","EQ","1,425.00","1,437.50","1,407.15","1,430.65","1,420.75","1,423.50","1,422.27","1,740.00","1,001.00",3325250,"4,729,412,458.55",105686
"01-Sep-2020","EQ","1,419.85","1,442.00","1,386.10","1,401.35","1,430.50","1,430.65","1,416.73","1,740.00","1,001.00",4258229,"6,032,764,135.75",140999
"31-Aug-2020","EQ","1,488.00","1,501.50","1,374.00","1,467.10","1,398.00","1,401.35","1,430.63","1,740.00","1,001.00",6973853,"9,976,979,302.25",204986
"28-Aug-2020","EQ","1,410.00","1,474.00","1,401.00","1,420.00","1,472.55","1,467.10","1,439.80","1,740.00","1,001.00",10645875,"15,327,979,688.15",253350
"27-Aug-2020","EQ","1,441.00","1,445.85","1,411.55","1,436.70","1,424.75","1,420.00","1,426.61","1,740.00","1,001.00",4283671,"6,111,130,592.15",115968
"26-Aug-2020","EQ","1,410.00","1,441.65","1,403.20","1,400.10","1,440.70","1,436.70","1,422.98","1,740.00","1,001.00",5718774,"8,137,704,607.30",129864
"25-Aug-2020","EQ","1,392.00","1,405.00","1,380.55","1,387.25","1,402.50","1,400.10","1,392.98","1,740.00","1,001.00",4562238,"6,355,085,674.20",113271
"24-Aug-2020","EQ","1,347.60","1,396.50","1,342.35","1,339.40","1,386.10","1,387.25","1,383.35","1,740.00","1,001.00",6029279,"8,340,620,637.40",141511
"21-Aug-2020","EQ","1,342.00","1,352.00","1,331.05","1,338.35","1,339.00","1,339.40","1,343.49","1,740.00","1,001.00",2485266,"3,338,940,898.55",57178
"20-Aug-2020","EQ","1,343.00","1,350.00","1,330.15","1,355.60","1,337.85","1,338.35","1,338.84","1,740.00","1,001.00",2841401,"3,804,192,032.65",93464
"19-Aug-2020","EQ","1,372.35","1,380.90","1,349.95","1,369.35","1,354.10","1,355.60","1,366.03","1,740.00","1,001.00",3397098,"4,640,533,740.90",109376
"18-Aug-2020","EQ","1,318.60","1,374.95","1,318.00","1,327.55","1,367.55","1,369.35","1,350.73","1,740.00","1,001.00",4261949,"5,756,752,168.25",89478
"17-Aug-2020","EQ","1,320.10","1,333.55","1,312.20","1,307.45","1,330.25","1,327.55","1,324.46","1,740.00","1,001.00",2831340,"3,749,998,450.00",68566
"14-Aug-2020","EQ","1,337.55","1,346.80","1,302.30","1,336.25","1,309.00","1,307.45","1,325.35","1,740.00","1,001.00",3331587,"4,415,511,474.65",96748
"13-Aug-2020","EQ","1,341.90","1,358.50","1,333.95","1,335.10","1,336.50","1,336.25","1,345.90","1,740.00","1,001.00",3331333,"4,483,628,729.95",68061
"12-Aug-2020","EQ","1,350.00","1,354.85","1,333.55","1,364.60","1,336.55","1,335.10","1,342.46","1,740.00","1,001.00",3840205,"5,155,312,020.20",94278
"11-Aug-2020","EQ","1,373.00","1,385.00","1,357.15","1,360.20","1,363.10","1,364.60","1,365.47","1,740.00","1,001.00",2502993,"3,417,771,937.70",103314
"10-Aug-2020","EQ","1,349.00","1,380.00","1,346.20","1,342.50","1,361.00","1,360.20","1,369.00","1,740.00","1,001.00",2960057,"4,052,324,172.40",88795
"07-Aug-2020","EQ","1,341.50","1,347.80","1,323.25","1,340.10","1,344.60","1,342.50","1,336.07","1,740.00","1,001.00",2807078,"3,750,459,045.70",76235
"06-Aug-2020","EQ","1,345.00","1,367.40","1,330.65","1,334.20","1,340.20","1,340.10","1,346.97","1,740.00","1,001.00",3677840,"4,953,952,228.45",103339
"05-Aug-2020","EQ","1,332.00","1,353.00","1,322.00","1,323.95","1,338.15","1,334.20","1,340.62","1,740.00","1,001.00",3475603,"4,659,464,943.35",101268
