"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","901.00","903.80","874.30","900.70","878.55","881.85","888.22","1,551.00","661.00",4598553,"4,084,526,013.40",168006
"18-Sep-2020","EQ","911.20","914.10","897.00","906.30","899.65","900.70","903.42","1,551.00","661.00",7496745,"6,772,722,327.10",155334
"17-Sep-2020","EQ","915.00","917.95","905.05","921.80","906.25","906.30","910.46","1,551.00","661.00",4512699,"4,108,644,761.30",155256
"16-Sep-2020","EQ","915.00","924.00","911.35","909.95","922.45","921.80","917.57","1,551.00","661.00",3596210,"3,299,787,255.50",109357
"15-Sep-2020","EQ","910.00","915.20","900.00","902.10","915.00","909.95","906.18","1,551.00","661.00",4488940,"4,067,785,028.05",128197
"14-Sep-2020","EQ","922.40","923.35","901.00","917.40","902.45","902.10","910.01","1,551.00","661.00",5006822,"4,556,251,005.80",164700
"11-Sep-2020","EQ","920.00","921.55","912.00","920.95","916.90","917.40","916.00","1,551.00","661.00",2632367,"2,411,256,135.60",63484
"10-Sep-2020","EQ","917.70","923.00","912.00","909.50","918.25","920.95","917.72","1,551.00","661.00",2948624,"2,706,023,791.35",81134
"09-Sep-2020","EQ","907.55","928.00","901.00","916.70","909.00","909.50","912.82","1,551.00","661.00",5656608,"5,163,445,837.35",146996
"08-Sep-2020","EQ","936.00","936.00","912.95","932.15","915.80","916.70","924.82","1,551.00","661.00",3739099,"3,457,980,669.90",107580
"07-Sep-2020","EQ","947.15","950.75","916.25","942.50","935.50","932.15","931.82","1,551.00","661.00",3470842,"3,234,185,857.55",82688
"04-Sep-2020","EQ","948.00","956.15","940.00","961.15","945.00","942.50","948.57","1,551.00","661.00",3130771,"2,969,763,874.60",91805
"03-Sep-2020","EQ","960.00","971.00","953.30","955.55","962.05","961.15","960.74","1,551.00","661.00",3279009,"3,150,261,634.60",85525
"02-Sep-2020","EQ","956.45","959.80","948.00","955.20","958.00","955.55","953.18","1,551.00","661.00",2107726,"2,009,040,007.90",63197
"01-Sep-2020","EQ","964.95","966.00","943.30","944.95","956.15","955.20","956.03","1,551.00","661.00",5100024,"4,875,779,657.50",94617
"31-Aug-2020","EQ","988.10","995.40","940.40","981.85","946.20","944.95","963.40","1,551.00","661.00",8490694,"8,179,918,623.90",203296
"28-Aug-2020","EQ","988.00","1,004.70","978.20","975.60","983.65","981.85","991.12","1,551.00","661.00",7821217,"7,751,771,046.80",193729
"27-Aug-2020","EQ","975.25","980.00","965.30","968.95","979.50","975.60","973.51","1,551.00","661.00",4466694,"4,348,370,642.05",102286
"26-Aug-2020","EQ","987.00","988.00","965.00","980.40","970.00","968.95","970.56","1,551.00","661.00",4482342,"4,350,367,620.95",142012
"25-Aug-2020","EQ","993.00","999.90","977.80","991.35","980.00","980.40","988.57","1,551.00","661.00",2914757,"2,881,435,721.20",73146
"24-Aug-2020","EQ","996.00","1,001.40","990.00","994.15","991.75","991.35","995.58","1,551.00","661.00",2026316,"2,017,363,944.20",48841
"21-Aug-2020","EQ","1,010.00","1,010.00","992.00","995.75","994.00","994.15","998.44","1,551.00","661.00",2806880,"2,802,496,933.20",54389
"20-Aug-2020","EQ","986.00","1,005.00","981.00","1,009.10","995.95","995.75","996.58","1,551.00","661.00",4791067,"4,774,701,591.75",92811
"19-Aug-2020","EQ","1,017.25","1,024.95","1,005.40","1,004.55","1,011.00","1,009.10","1,015.06","1,551.00","661.00",4914253,"4,988,263,698.55",101140
