"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","6,964.75","6,986.90","6,590.00","6,964.75","6,631.50","6,626.95","6,762.10","7,758.70","4,001.10",1290483,"8,726,377,367.25",119484
"18-Sep-2020","EQ","7,148.00","7,149.00","6,931.60","7,085.85","6,956.75","6,964.75","7,018.94","7,758.70","4,001.10",1143560,"8,026,579,901.15",89872
"17-Sep-2020","EQ","7,049.50","7,112.90","6,941.00","7,057.95","7,110.00","7,085.85","7,007.85","7,758.70","4,001.10",1133421,"7,942,843,434.50",101117
"16-Sep-2020","EQ","7,074.00","7,169.00","7,041.00","7,052.80","7,055.00","7,057.95","7,092.58","7,758.70","4,001.10",920587,"6,529,334,712.40",70542
"15-Sep-2020","EQ","7,164.00","7,175.00","7,005.00","7,128.85","7,050.00","7,052.80","7,071.67","7,758.70","4,001.10",894418,"6,325,031,614.55",62872
"14-Sep-2020","EQ","7,219.00","7,239.60","7,085.00","7,193.60","7,110.05","7,128.85","7,152.02","7,758.70","4,001.10",1003493,"7,177,000,743.30",77457
"11-Sep-2020","EQ","7,279.95","7,349.90","7,175.00","7,231.65","7,181.20","7,193.60","7,248.64","7,758.70","4,001.10",1383019,"10,025,004,989.80",105158
"10-Sep-2020","EQ","7,264.00","7,299.40","7,168.00","7,215.25","7,219.20","7,231.65","7,232.95","7,758.70","4,001.10",978701,"7,078,892,166.60",71947
"09-Sep-2020","EQ","7,200.00","7,256.35","7,121.20","7,224.00","7,227.00","7,215.25","7,184.74","7,758.70","4,001.10",1273303,"9,148,349,628.65",102091
"08-Sep-2020","EQ","7,220.00","7,278.00","7,137.65","7,209.15","7,220.00","7,224.00","7,224.01","7,758.70","4,001.10",1145075,"8,272,033,370.55",87288
"07-Sep-2020","EQ","7,225.00","7,300.00","7,129.25","7,190.10","7,222.25","7,209.15","7,211.66","7,758.70","4,001.10",1348919,"9,727,944,733.05",108181
"04-Sep-2020","EQ","6,985.00","7,324.00","6,965.05","7,072.60","7,210.00","7,190.10","7,222.25","7,758.70","4,001.10",2185296,"15,782,764,147.00",160897
"03-Sep-2020","EQ","6,925.00","7,116.90","6,920.75","6,920.75","7,075.05","7,072.60","7,049.13","7,758.70","4,001.10",947751,"6,680,820,760.15",94430
"02-Sep-2020","EQ","6,905.50","6,980.00","6,852.40","6,905.65","6,931.05","6,920.75","6,913.90","7,758.70","4,001.10",776393,"5,367,900,766.50",66495
"01-Sep-2020","EQ","6,860.45","7,018.70","6,802.00","6,839.95","6,912.00","6,905.65","6,929.84","7,758.70","4,001.10",1117127,"7,741,513,231.55",93743
"31-Aug-2020","EQ","7,138.00","7,160.00","6,790.45","7,104.10","6,815.45","6,839.95","6,927.38","7,758.70","4,001.10",1580778,"10,950,643,154.45",130089
"28-Aug-2020","EQ","7,125.00","7,156.00","7,028.45","7,098.00","7,106.60","7,104.10","7,101.60","7,758.70","4,001.10",1019984,"7,243,516,750.30",88135
"27-Aug-2020","EQ","7,043.00","7,127.70","6,960.80","7,008.65","7,114.50","7,098.00","7,025.05","7,758.70","4,001.10",1158982,"8,141,905,586.90",86504
"26-Aug-2020","EQ","7,110.00","7,158.00","6,972.00","7,109.95","7,017.05","7,008.65","7,059.20","7,758.70","4,001.10",992395,"7,005,514,681.50",91608
"25-Aug-2020","EQ","7,100.00","7,175.70","7,075.65","7,082.50","7,111.00","7,109.95","7,130.69","7,758.70","4,001.10",1047628,"7,470,310,210.90",81427
"24-Aug-2020","EQ","6,985.00","7,100.00","6,955.00","6,973.00","7,091.45","7,082.50","7,038.05","7,758.70","4,001.10",961178,"6,764,815,408.55",78921
"21-Aug-2020","EQ","7,048.00","7,065.00","6,951.00","6,974.70","6,980.00","6,973.00","6,997.52","7,758.70","4,001.10",971836,"6,800,445,838.30",76543
"20-Aug-2020","EQ","6,891.10","6,999.00","6,880.05","6,990.30","6,964.00","6,974.70","6,961.60","7,758.70","4,001.10",958233,"6,670,835,970.25",64977
"19-Aug-2020","EQ","6,924.00","7,014.70","6,885.05","6,893.10","6,999.45","6,990.30","6,967.39","7,758.70","4,001.10",1326450,"9,241,898,711.45",86982
"18-Aug-2020","EQ","6,768.40","6,924.90","6,760.90","6,768.40","6,891.00","6,893.10","6,866.97","7,758.70","4,001.10",1322542,"9,081,851,848.60",94241
"17-Aug-2020","EQ","6,660.00","6,789.95","6,588.20","6,588.20","6,760.10","6,768.40","6,703.34","7,758.70","4,001.10",1028545,"6,894,690,547.40",80388
"14-Aug-2020","EQ","6,740.00","6,745.15","6,552.05","6,731.65","6,598.95","6,588.20","6,637.52","7,758.70","4,001.10",905798,"6,012,249,380.45",76687
"13-Aug-2020","EQ","6,729.95","6,772.00","6,655.00","6,730.30","6,732.00","6,731.65","6,720.91","7,758.70","4,001.10",1087096,"7,306,279,354.80",82991
"12-Aug-2020","EQ","6,609.95","6,778.05","6,592.10","6,649.20","6,730.05","6,730.30","6,708.04","7,758.70","4,001.10",1114994,"7,479,427,644.70",76689
"11-Aug-2020","EQ","6,665.00","6,713.50","6,611.00","6,608.90","6,648.70","6,649.20","6,656.90","7,758.70","4,001.10",880811,"5,863,468,565.65",75125
"10-Aug-2020","EQ","6,690.00","6,728.70","6,576.00","6,679.00","6,599.00","6,608.90","6,645.25","7,758.70","4,001.10",1601753,"10,644,045,510.15",103576
"07-Aug-2020","EQ","6,498.00","6,749.50","6,481.85","6,555.75","6,665.00","6,679.00","6,645.66","7,758.70","4,001.10",1568000,"10,420,400,274.55",122724
"06-Aug-2020","EQ","6,534.95","6,585.85","6,434.40","6,526.25","6,551.25","6,555.75","6,498.88","7,758.70","4,001.10",1233253,"8,014,764,094.60",103982
"05-Aug-2020","EQ","6,388.90","6,597.70","6,380.00","6,358.95","6,517.00","6,526.25","6,523.90","7,758.70","4,001.10",2278683,"14,865,889,021.95",168264
"04-Aug-2020","EQ","6,199.00","6,376.85","6,185.00","6,165.20","6,360.55","6,358.95","6,301.15","7,758.70","4,001.10",1223516,"7,709,552,984.55",102411
"03-Aug-2020","EQ","6,380.00","6,437.45","6,125.05","6,262.75","6,172.00","6,165.20","6,247.42","7,758.70","4,001.10",1836582,"11,473,891,228.30",142978
"31-Jul-2020","EQ","6,265.00","6,379.85","6,209.00","6,265.40","6,260.00","6,262.75","6,287.71","7,758.70","4,001.10",1613555,"10,145,560,781.10",118083
"30-Jul-2020","EQ","6,184.05","6,393.65","6,170.05","6,185.15","6,260.00","6,265.40","6,318.70","7,758.70","4,001.10",2217867,"14,014,045,828.35",156205
"29-Jul-2020","EQ","6,269.95","6,295.00","6,118.95","6,282.80","6,192.00","6,185.15","6,196.86","7,758.70","4,001.10",2057207,"12,748,214,359.50",154097
"28-Jul-2020","EQ","6,050.00","6,320.35","6,031.15","6,043.30","6,265.00","6,282.80","6,206.76","7,758.70","4,001.10",1774866,"11,016,175,527.00",139344
