"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","16,025.00","16,049.50","15,154.50","16,087.05","15,375.05","15,430.75","15,565.59","18,369.95","12,200.00",277176,"4,314,407,316.10",51790
"18-Sep-2020","EQ","16,250.00","16,250.00","15,925.00","16,121.35","16,160.00","16,087.05","16,052.97","18,369.95","12,200.00",197351,"3,168,068,787.25",23970
"17-Sep-2020","EQ","16,240.00","16,298.80","16,090.00","16,197.80","16,118.00","16,121.35","16,195.92","18,369.95","12,200.00",100681,"1,630,621,415.55",19375
"16-Sep-2020","EQ","16,066.50","16,225.00","16,050.00","16,040.95","16,184.30","16,197.80","16,160.04","18,369.95","12,200.00",124268,"2,008,175,742.55",18171
"15-Sep-2020","EQ","16,090.00","16,165.90","16,012.00","16,083.30","16,040.00","16,040.95","16,083.17","18,369.95","12,200.00",94985,"1,527,660,320.50",18952
"14-Sep-2020","EQ","16,400.00","16,400.00","16,040.05","16,325.35","16,069.00","16,083.30","16,149.90","18,369.95","12,200.00",102927,"1,662,261,187.80",23646
"11-Sep-2020","EQ","16,400.00","16,400.00","16,204.00","16,420.70","16,321.15","16,325.35","16,297.49","18,369.95","12,200.00",81228,"1,323,812,224.60",22080
"10-Sep-2020","EQ","16,261.25","16,450.00","16,201.25","16,312.50","16,417.00","16,420.70","16,343.72","18,369.95","12,200.00",77208,"1,261,866,155.75",20530
"09-Sep-2020","EQ","16,000.00","16,350.00","16,000.00","16,126.50","16,279.55","16,312.50","16,247.47","18,369.95","12,200.00",135800,"2,206,406,556.15",26670
"08-Sep-2020","EQ","16,369.60","16,369.60","16,100.00","16,403.50","16,155.05","16,126.50","16,203.33","18,369.95","12,200.00",105449,"1,708,624,508.20",25892
"07-Sep-2020","EQ","16,241.00","16,515.00","15,972.10","16,232.60","16,370.00","16,403.50","16,364.33","18,369.95","12,200.00",104808,"1,715,113,177.50",22554
"04-Sep-2020","EQ","16,155.00","16,423.90","16,150.00","16,393.75","16,239.80","16,232.60","16,271.41","18,369.95","12,200.00",98932,"1,609,762,746.30",24778
