"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","91.15","91.35","87.35","90.55","88.00","88.30","89.26","125.00","73.20",17714799,"1,581,230,416.70",65692
"18-Sep-2020","EQ","89.05","91.10","88.70","88.65","90.90","90.55","90.04","125.40","73.20",44757936,"4,029,902,598.60",74881
"17-Sep-2020","EQ","89.05","89.45","88.30","89.65","88.80","88.65","88.79","125.40","73.20",21804418,"1,935,994,065.45",55768
"16-Sep-2020","EQ","91.60","91.60","89.30","91.10","89.60","89.65","90.21","125.40","73.20",20784528,"1,874,886,083.15",67521
"15-Sep-2020","EQ","90.90","92.75","90.55","90.85","90.80","91.10","91.82","125.40","73.20",26869515,"2,467,034,125.75",71659
"14-Sep-2020","EQ","90.40","91.95","89.75","90.10","90.70","90.85","90.89","125.40","73.20",22535288,"2,048,276,542.60",54567
"11-Sep-2020","EQ","90.20","90.90","89.45","90.55","90.35","90.10","90.10","127.95","73.20",18190992,"1,638,936,217.70",59079
"10-Sep-2020","EQ","91.00","91.50","89.25","90.40","90.75","90.55","90.38","127.95","73.20",27263683,"2,464,107,750.55",94295
"09-Sep-2020","EQ","90.10","91.25","88.50","90.65","90.65","90.40","89.63","127.95","73.20",28307198,"2,537,055,101.65",69183
"08-Sep-2020","EQ","93.25","93.25","90.30","92.40","90.55","90.65","91.40","127.95","73.20",31186030,"2,850,289,068.70",78937
"07-Sep-2020","EQ","94.80","96.00","92.05","94.70","92.60","92.40","93.08","127.95","73.20",28474983,"2,650,439,172.50",69185
"04-Sep-2020","EQ","96.05","97.45","94.00","97.70","94.80","94.70","95.84","129.65","73.20",27339648,"2,620,133,812.65",77294
"03-Sep-2020","EQ","99.00","99.70","96.90","98.95","97.70","97.70","97.90","129.65","73.20",19004482,"1,860,485,837.25",76694
"02-Sep-2020","EQ","99.80","100.50","98.30","99.80","99.25","98.95","99.19","129.65","73.20",20904848,"2,073,503,878.30",49357
"01-Sep-2020","EQ","97.50","101.15","96.50","96.40","100.40","99.80","99.23","129.65","73.20",44304572,"4,396,432,973.45",109926
"31-Aug-2020","EQ","102.60","102.70","95.50","101.55","96.85","96.40","99.08","129.65","73.20",40298819,"3,992,906,485.65",110529
"28-Aug-2020","EQ","103.15","104.25","101.25","102.60","101.70","101.55","102.45","129.65","73.20",21359093,"2,188,232,232.35",61796
"27-Aug-2020","EQ","103.20","103.90","102.00","102.80","102.65","102.60","102.70","129.65","73.20",19363825,"1,988,603,166.05",57657
"26-Aug-2020","EQ","104.60","104.60","101.60","103.80","102.95","102.80","102.85","129.65","73.20",30829463,"3,170,861,417.30",84244
"25-Aug-2020","EQ","106.00","107.40","103.20","105.40","103.80","103.80","105.65","129.65","73.20",50945674,"5,382,432,625.75",149518
"24-Aug-2020","EQ","107.10","108.00","103.75","105.95","105.60","105.40","105.52","129.65","73.20",49155456,"5,186,940,721.20",126852
"21-Aug-2020","EQ","102.70","107.85","101.60","101.10","106.25","105.95","105.22","129.65","73.20",107866165,"11,349,378,892.75",258924
"20-Aug-2020","EQ","94.60","101.90","94.25","94.65","101.15","101.10","99.78","129.65","73.20",112341122,"11,209,915,856.10",258976
"19-Aug-2020","EQ","96.00","96.50","94.25","95.05","94.85","94.65","95.37","129.65","73.20",21840984,"2,083,004,465.90",59173
"18-Aug-2020","EQ","96.20","97.80","94.05","95.30","95.40","95.05","95.55","129.65","73.20",52030586,"4,971,764,491.30",129697
"17-Aug-2020","EQ","89.40","96.50","89.40","88.40","95.00","95.30","94.19","129.65","73.20",115117580,"10,843,156,863.65",274111
"14-Aug-2020","EQ","87.35","89.85","86.70","87.25","88.60","88.40","88.07","129.65","73.20",25405464,"2,237,530,002.55",78975
"13-Aug-2020","EQ","87.40","87.50","86.50","88.70","87.30","87.25","87.09","129.65","73.20",13724634,"1,195,249,894.65",46620
"12-Aug-2020","EQ","88.00","89.15","87.05","88.25","89.10","88.70","88.14","129.65","73.20",14804335,"1,304,878,097.50",41288
"11-Aug-2020","EQ","89.00","89.60","87.80","88.20","88.60","88.25","88.67","129.65","73.20",11180571,"991,326,174.85",34342
"10-Aug-2020","EQ","86.80","88.70","86.15","85.80","88.70","88.20","87.68","129.65","73.20",12215888,"1,071,083,078.85",36091
"07-Aug-2020","EQ","86.20","86.70","85.35","86.15","85.85","85.80","85.89","129.65","73.20",10340142,"888,066,622.50",36961
"06-Aug-2020","EQ","86.50","87.45","85.60","85.90","86.40","86.15","86.37","129.65","73.20",12209723,"1,054,572,712.00",35747
"05-Aug-2020","EQ","85.90","86.60","85.40","85.60","86.20","85.90","85.99","129.65","73.20",9479240,"815,080,758.50",34396
"04-Aug-2020","EQ","86.50","87.00","85.35","85.60","85.60","85.60","85.84","129.65","73.20",19622064,"1,684,296,320.80",59558
"03-Aug-2020","EQ","87.20","87.20","85.00","87.00","85.40","85.60","85.85","129.65","73.20",14158515,"1,215,448,042.90",45512
"31-Jul-2020","EQ","86.90","87.60","86.30","86.60","87.00","87.00","86.87","129.65","73.20",7906812,"686,835,753.80",36705
"30-Jul-2020","EQ","88.55","89.00","86.10","88.15","86.75","86.60","87.26","129.65","73.20",10670653,"931,140,854.05",51346
"29-Jul-2020","EQ","88.50","89.65","87.90","88.55","88.25","88.15","88.70","129.65","73.20",10733683,"952,130,921.65",36774
"28-Jul-2020","EQ","87.90","88.80","86.90","87.65","88.50","88.55","87.65","129.65","73.20",13888285,"1,217,334,374.35",47189
"27-Jul-2020","EQ","89.55","89.60","87.25","89.40","87.90","87.65","87.86","129.65","73.20",10071266,"884,884,438.35",42792
"24-Jul-2020","EQ","90.30","90.50","88.55","90.55","89.35","89.40","89.40","133.55","73.20",11352908,"1,014,918,101.45",43212
"23-Jul-2020","EQ","90.90","91.60","90.25","90.35","90.60","90.55","90.92","133.55","73.20",11161644,"1,014,863,057.90",38409
"22-Jul-2020","EQ","88.75","92.60","88.70","88.35","90.45","90.35","90.91","133.55","73.20",31321868,"2,847,522,894.50",112056
"21-Jul-2020","EQ","88.00","88.65","86.80","87.15","88.55","88.35","87.70","133.55","73.20",20122602,"1,764,709,742.50",82081
"20-Jul-2020","EQ","88.90","88.90","87.00","88.30","87.20","87.15","87.60","133.55","73.20",12349625,"1,081,815,247.00",62736
"17-Jul-2020","EQ","87.20","88.65","87.00","86.75","88.40","88.30","87.98","133.55","73.20",12239669,"1,076,899,552.45",55567
"16-Jul-2020","EQ","88.20","88.40","85.85","88.05","86.75","86.75","86.54","133.55","73.20",10152713,"878,584,883.90",60597
"15-Jul-2020","EQ","88.30","89.75","87.75","87.65","88.00","88.05","88.68","133.55","73.20",11582899,"1,027,158,338.25",43732
"14-Jul-2020","EQ","89.80","89.90","87.40","89.90","87.95","87.65","88.29","133.55","73.20",14242251,"1,257,506,823.10",93070
"13-Jul-2020","EQ","91.05","92.85","89.50","90.40","89.75","89.90","91.04","133.55","73.20",17512895,"1,594,376,590.00",63705
"10-Jul-2020","EQ","91.20","91.30","89.75","91.20","90.25","90.40","90.28","136.60","73.20",12213263,"1,102,592,085.25",74875
"09-Jul-2020","EQ","91.30","92.00","90.80","91.00","91.35","91.20","91.41","136.60","73.20",11910945,"1,088,810,512.40",62410
"08-Jul-2020","EQ","92.85","92.85","90.85","92.55","91.20","91.00","91.66","136.60","73.20",26257436,"2,406,876,899.40",110150
"07-Jul-2020","EQ","95.40","95.45","92.25","95.20","92.80","92.55","93.15","136.60","73.20",18786161,"1,749,885,735.35",100417
"06-Jul-2020","EQ","95.90","96.40","94.85","94.50","95.30","95.20","95.59","136.60","73.20",11830916,"1,130,892,332.50",54515
"03-Jul-2020","EQ","93.60","95.35","92.75","93.40","95.25","94.50","93.89","145.85","73.20",15274892,"1,434,218,408.95",62871
"02-Jul-2020","EQ","94.50","94.50","93.15","93.60","93.35","93.40","93.52","145.85","73.20",14333507,"1,340,432,330.35",68103
"01-Jul-2020","EQ","94.70","94.70","92.30","95.80","93.75","93.60","93.18","145.85","73.20",21639174,"2,016,354,962.70",86539
"30-Jun-2020","EQ","97.00","97.75","95.20","94.90","95.30","95.80","96.53","145.85","73.20",18496450,"1,785,395,176.90",81683
"29-Jun-2020","EQ","97.65","98.05","94.45","97.00","95.10","94.90","96.26","145.85","73.20",18135588,"1,745,718,287.15",67034
"26-Jun-2020","EQ","96.40","97.40","95.55","96.10","97.15","97.00","96.75","145.85","73.20",15572502,"1,506,602,542.95",54325
"25-Jun-2020","EQ","97.05","98.55","94.35","97.05","95.40","96.10","96.58","145.85","73.20",69278240,"6,690,566,896.50",159201
"24-Jun-2020","EQ","102.00","103.80","96.75","100.75","97.05","97.05","100.27","145.85","73.20",24055053,"2,411,966,639.20",133602
"23-Jun-2020","EQ","95.10","101.15","95.00","95.30","100.80","100.75","99.23","145.85","73.20",20333453,"2,017,594,724.80",111990
