"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","74.00","74.10","70.90","74.30","71.00","71.15","72.52","149.65","50.00",13686791,"992,567,664.15",57902
"18-Sep-2020","EQ","73.80","74.80","72.95","73.15","74.25","74.30","73.97","149.65","50.00",25692290,"1,900,353,747.55",56005
"17-Sep-2020","EQ","73.05","74.30","72.85","73.05","73.20","73.15","73.56","149.65","50.00",16070908,"1,182,252,111.90",71694
"16-Sep-2020","EQ","74.25","74.45","72.55","73.80","73.15","73.05","73.20","149.65","50.00",10285753,"752,869,107.40",56882
"15-Sep-2020","EQ","73.75","74.35","73.25","73.65","73.70","73.80","73.74","149.65","50.00",8883209,"655,044,150.80",53899
"14-Sep-2020","EQ","73.85","74.75","73.25","73.30","73.55","73.65","74.02","149.65","50.00",11990117,"887,546,512.90",71781
"11-Sep-2020","EQ","73.45","73.70","72.60","73.65","73.55","73.30","73.14","149.65","50.00",11511957,"841,928,652.75",64975
"10-Sep-2020","EQ","73.50","74.40","72.65","72.70","73.75","73.65","73.56","149.65","50.00",18646453,"1,371,667,245.40",90993
"09-Sep-2020","EQ","73.95","73.95","70.90","74.45","72.85","72.70","71.87","149.65","50.00",28166431,"2,024,310,695.80",116011
"08-Sep-2020","EQ","76.55","76.65","74.00","76.45","74.20","74.45","75.33","149.65","50.00",17905760,"1,348,908,725.75",110956
"07-Sep-2020","EQ","78.20","78.35","75.95","77.90","76.60","76.45","76.74","149.65","50.00",16574103,"1,271,890,121.45",72766
"04-Sep-2020","EQ","78.55","79.10","77.35","79.05","78.15","77.90","78.32","149.65","50.00",12855872,"1,006,905,685.15",58113
"03-Sep-2020","EQ","80.50","81.30","78.80","80.30","79.15","79.05","79.62","149.65","50.00",19976183,"1,590,571,486.45",76159
"02-Sep-2020","EQ","81.15","81.75","79.50","79.35","80.55","80.30","80.38","149.65","50.00",31155170,"2,504,372,575.50",109285
"01-Sep-2020","EQ","82.75","82.80","78.00","81.95","79.60","79.35","79.25","149.65","50.00",38005572,"3,011,838,972.90",122829
"31-Aug-2020","EQ","81.00","85.50","80.90","80.35","81.85","81.95","83.31","149.65","50.00",93193563,"7,763,803,503.30",279000
"28-Aug-2020","EQ","80.35","81.80","80.00","80.15","80.45","80.35","80.97","149.65","50.00",14667141,"1,187,634,007.05",52620
"27-Aug-2020","EQ","81.80","81.95","80.00","81.40","80.35","80.15","80.73","149.65","50.00",16309200,"1,316,685,237.65",58584
"26-Aug-2020","EQ","81.20","82.10","80.75","80.50","81.40","81.40","81.52","149.65","50.00",15968479,"1,301,713,666.55",59334
"25-Aug-2020","EQ","81.40","82.50","80.20","81.25","80.70","80.50","81.04","149.65","50.00",22481154,"1,821,948,842.70",79031
"24-Aug-2020","EQ","81.30","81.85","80.60","81.05","81.10","81.25","81.24","149.65","50.00",9798867,"796,104,870.95",43093
"21-Aug-2020","EQ","82.95","83.45","80.65","82.15","81.25","81.05","82.08","149.65","50.00",17027759,"1,397,638,698.70",76104
"20-Aug-2020","EQ","79.00","83.25","77.90","79.55","82.20","82.15","81.15","149.65","50.00",37457741,"3,039,618,262.30",126214
"19-Aug-2020","EQ","80.85","81.70","79.10","80.65","79.70","79.55","80.58","149.65","50.00",12081506,"973,499,602.05",48643
"18-Aug-2020","EQ","79.75","81.90","79.15","79.30","80.70","80.65","81.00","149.65","50.00",28330266,"2,294,685,784.65",95412
"17-Aug-2020","EQ","77.50","79.80","77.40","77.10","79.35","79.30","78.80","149.65","50.00",13612342,"1,072,619,190.20",50571
"14-Aug-2020","EQ","78.70","78.95","76.95","78.60","77.25","77.10","77.79","149.65","50.00",11637195,"905,218,263.75",53808
"13-Aug-2020","EQ","78.55","79.45","78.40","78.10","78.70","78.60","78.84","149.65","50.00",7316685,"576,877,856.55",37033
"12-Aug-2020","EQ","78.45","79.10","77.70","78.45","78.25","78.10","78.30","149.65","50.00",10482298,"820,778,078.70",44648
"11-Aug-2020","EQ","79.55","80.00","78.20","79.05","78.45","78.45","78.90","149.65","50.00",10835770,"854,981,911.10",42914
"10-Aug-2020","EQ","79.50","79.75","78.90","78.65","79.15","79.05","79.29","149.65","50.00",7067873,"560,425,750.25",33701
"07-Aug-2020","EQ","78.15","79.40","78.10","78.05","78.60","78.65","78.74","149.65","50.00",11787233,"928,162,530.85",48569
"06-Aug-2020","EQ","77.85","79.95","77.05","76.95","78.10","78.05","78.50","149.65","50.00",26386804,"2,071,344,665.65",87080
"05-Aug-2020","EQ","76.50","77.50","76.30","76.10","77.20","76.95","77.01","149.65","50.00",9078922,"699,194,399.80",34632
"04-Aug-2020","EQ","76.30","77.70","75.90","75.90","76.25","76.10","76.75","149.65","50.00",13370396,"1,026,154,963.75",52090
"03-Aug-2020","EQ","78.35","78.50","75.55","78.30","75.75","75.90","76.63","149.65","50.00",11874519,"909,927,543.90",56674
"31-Jul-2020","EQ","77.95","78.85","77.15","77.70","78.45","78.30","77.98","149.65","50.00",10965340,"855,069,837.95",50727
"30-Jul-2020","EQ","80.00","80.40","77.50","79.50","77.65","77.70","78.60","149.65","50.00",9671441,"760,161,911.80",58510
"29-Jul-2020","EQ","79.80","80.70","79.30","79.90","79.50","79.50","80.04","149.65","50.00",9906214,"792,878,198.40",42330
"28-Jul-2020","EQ","81.00","81.25","79.30","80.80","80.10","79.90","80.04","149.65","50.00",10618186,"849,832,233.60",52922
"27-Jul-2020","EQ","81.40","82.00","80.10","81.00","80.60","80.80","81.19","149.65","50.00",8511120,"691,007,414.70",38995
"24-Jul-2020","EQ","82.10","82.40","80.25","82.65","81.25","81.00","81.15","149.65","50.00",10000517,"811,531,728.10",52492
"23-Jul-2020","EQ","82.50","83.85","82.05","82.60","82.50","82.65","83.00","149.65","50.00",14674735,"1,218,047,699.05",59126
"22-Jul-2020","EQ","82.75","83.50","81.70","82.45","82.40","82.60","82.69","149.65","50.00",17884327,"1,478,777,152.70",90559
"21-Jul-2020","EQ","80.60","82.90","80.35","80.30","82.60","82.45","82.06","149.65","50.00",20976714,"1,721,314,869.60",81347
"20-Jul-2020","EQ","81.00","81.25","79.20","80.35","80.35","80.30","80.38","149.65","50.00",15570377,"1,251,602,714.75",83777
"17-Jul-2020","EQ","76.30","80.65","76.30","76.15","80.60","80.35","79.29","154.40","50.00",24934073,"1,977,050,342.00",88592
"16-Jul-2020","EQ","76.40","76.70","75.00","76.25","76.05","76.15","75.75","154.40","50.00",10605125,"803,294,877.15",48356
"15-Jul-2020","EQ","78.00","78.20","75.85","77.35","76.30","76.25","77.29","154.40","50.00",14377120,"1,111,209,620.85",66629
"14-Jul-2020","EQ","78.50","78.95","77.15","78.90","77.35","77.35","77.82","154.40","50.00",9303884,"724,022,203.95",52804
"13-Jul-2020","EQ","79.20","79.55","78.40","78.55","78.85","78.90","78.96","154.40","50.00",9361006,"739,109,866.50",41569
"10-Jul-2020","EQ","80.00","80.15","77.70","80.20","78.65","78.55","78.77","161.50","50.00",17773267,"1,399,939,856.95",91802
"09-Jul-2020","EQ","81.60","82.25","79.90","81.30","80.50","80.20","80.83","161.50","50.00",17348338,"1,402,251,243.85",65923
"08-Jul-2020","EQ","82.00","82.90","81.00","81.95","81.25","81.30","81.83","161.50","50.00",18626982,"1,524,286,633.35",65582
"07-Jul-2020","EQ","83.75","83.80","81.80","83.75","82.00","81.95","82.22","161.50","50.00",20124675,"1,654,706,046.40",84557
"06-Jul-2020","EQ","83.05","84.90","82.80","82.40","83.80","83.75","84.06","161.50","50.00",17511379,"1,471,931,068.85",68682
"03-Jul-2020","EQ","82.45","83.35","81.60","81.85","82.30","82.40","82.43","170.40","50.00",16793161,"1,384,213,421.35",53702
"02-Jul-2020","EQ","81.35","84.15","81.10","80.45","82.25","81.85","82.87","170.40","50.00",35154233,"2,913,355,859.45",98191
"01-Jul-2020","EQ","79.00","80.95","78.30","81.35","80.90","80.45","79.87","170.40","50.00",35344809,"2,823,062,256.85",102245
"30-Jun-2020","EQ","83.50","83.55","80.65","82.40","81.50","81.35","82.19","170.40","50.00",25762628,"2,117,555,834.80",77411
"29-Jun-2020","EQ","83.95","84.10","81.60","84.15","82.40","82.40","82.53","170.40","50.00",14299404,"1,180,114,034.10",52413
"26-Jun-2020","EQ","83.10","84.80","82.50","81.60","83.95","84.15","83.82","171.85","50.00",23684918,"1,985,215,937.20",72958
"25-Jun-2020","EQ","82.25","84.00","80.00","83.10","82.90","81.60","81.82","171.85","50.00",121278403,"9,922,713,471.25",144246
"24-Jun-2020","EQ","86.25","86.65","82.55","85.65","82.70","83.10","84.64","171.85","50.00",33082696,"2,799,961,176.80",100069
"23-Jun-2020","EQ","85.50","86.50","84.40","84.85","85.70","85.65","85.40","171.85","50.00",23442659,"2,001,927,531.20",70395
"22-Jun-2020","EQ","86.10","86.20","84.10","85.75","84.80","84.85","85.14","171.85","50.00",19229487,"1,637,150,089.15",66978
"19-Jun-2020","EQ","85.50","86.30","84.30","83.60","85.85","85.75","85.48","173.45","50.00",21920952,"1,873,816,236.10",72592
"18-Jun-2020","EQ","83.00","83.95","81.80","84.20","83.95","83.60","82.95","173.45","50.00",18460702,"1,531,367,057.60",69792
"17-Jun-2020","EQ","83.60","84.75","83.20","83.90","83.85","84.20","84.03","173.45","50.00",15440386,"1,297,498,708.75",51075
"16-Jun-2020","EQ","85.50","85.75","82.35","84.10","83.70","83.90","84.29","173.45","50.00",13467650,"1,135,122,868.20",51837
"15-Jun-2020","EQ","84.00","85.90","83.00","83.90","84.05","84.10","84.32","173.45","50.00",17275091,"1,456,636,376.40",64224
"12-Jun-2020","EQ","81.55","84.20","81.55","86.90","83.95","83.90","83.16","173.45","50.00",20601082,"1,713,235,222.70",87405
"11-Jun-2020","EQ","88.30","89.55","86.50","88.25","86.70","86.90","88.07","173.45","50.00",14276814,"1,257,333,773.15",68651
"10-Jun-2020","EQ","90.60","91.50","87.70","90.00","88.30","88.25","88.76","173.45","50.00",17382524,"1,542,883,584.45",74896
"09-Jun-2020","EQ","91.95","92.40","89.35","90.95","90.20","90.00","90.82","173.45","50.00",16702416,"1,516,952,579.30",83089
"08-Jun-2020","EQ","90.00","93.10","89.20","86.95","91.20","90.95","90.97","173.45","50.00",32511412,"2,957,645,551.40",127815
"05-Jun-2020","EQ","85.10","88.80","85.00","84.90","87.20","86.95","87.30","173.50","50.00",18203733,"1,589,118,989.55",98541
"04-Jun-2020","EQ","85.00","86.05","84.00","86.30","84.90","84.90","84.84","173.50","50.00",15121039,"1,282,807,157.50",75059
"03-Jun-2020","EQ","86.05","87.45","85.30","84.30","86.40","86.30","86.71","173.50","50.00",23937209,"2,075,581,923.80",98362
"02-Jun-2020","EQ","84.45","84.90","82.60","83.95","84.40","84.30","83.69","173.50","50.00",15368224,"1,286,237,786.50",80207
"01-Jun-2020","EQ","85.00","86.50","83.65","83.20","84.20","83.95","84.86","173.50","50.00",25048603,"2,125,697,341.20",100710
"29-May-2020","EQ","78.05","83.75","77.40","78.85","82.90","83.20","81.53","176.40","50.00",40559737,"3,306,668,076.35",112919
"28-May-2020","EQ","77.50","80.95","77.40","77.95","78.75","78.85","79.22","176.40","50.00",18646208,"1,477,235,145.35",72014
"27-May-2020","EQ","77.20","78.20","75.90","77.00","78.00","77.95","77.37","176.40","50.00",11656180,"901,839,924.90",43425
"26-May-2020","EQ","77.00","78.20","76.60","76.15","76.85","77.00","77.55","176.40","50.00",11840048,"918,139,909.95",48173
"22-May-2020","EQ","76.95","76.95","75.40","77.00","76.50","76.15","76.12","178.90","50.00",12443833,"947,239,895.90",52803
"21-May-2020","EQ","78.75","79.00","76.40","78.00","76.90","77.00","77.17","178.90","50.00",17999916,"1,388,990,093.10",69707
"20-May-2020","EQ","77.20","78.50","76.30","77.15","78.10","78.00","77.92","178.90","50.00",12969876,"1,010,610,750.25",57081
"19-May-2020","EQ","74.40","78.70","74.10","72.90","77.05","77.15","77.46","178.90","50.00",42316096,"3,277,891,291.55",168736
"18-May-2020","EQ","76.95","76.95","72.40","76.15","72.70","72.90","74.15","178.90","50.00",13015452,"965,052,496.70",69580
"15-May-2020","EQ","77.25","78.50","75.90","76.15","76.00","76.15","76.85","178.90","50.00",16836413,"1,293,802,674.70",75327
"14-May-2020","EQ","77.00","77.35","75.20","78.20","76.20","76.15","76.06","178.90","50.00",13346163,"1,015,146,817.95",50828
"13-May-2020","EQ","79.00","79.05","76.25","76.30","78.10","78.20","77.77","178.90","50.00",20494837,"1,593,832,901.85",89294
"12-May-2020","EQ","76.95","77.35","74.50","77.05","76.50","76.30","75.95","178.90","50.00",14186808,"1,077,427,291.05",59086
"11-May-2020","EQ","76.00","78.15","74.50","76.00","77.05","77.05","76.84","178.90","50.00",15701778,"1,206,581,546.55",66522
"08-May-2020","EQ","76.40","77.20","74.75","75.60","75.65","76.00","75.85","178.90","50.00",18523906,"1,405,029,925.05",77073
"07-May-2020","EQ","78.30","78.30","75.10","79.25","75.95","75.60","76.32","178.90","50.00",20806305,"1,587,997,464.80",96892
"06-May-2020","EQ","81.35","81.35","77.45","78.45","79.25","79.25","79.45","178.90","50.00",38948341,"3,094,402,733.00",137239
"05-May-2020","EQ","78.90","81.90","78.15","76.55","78.60","78.45","80.43","178.90","50.00",61865518,"4,975,788,229.45",221378
"04-May-2020","EQ","76.00","77.85","74.05","79.90","76.35","76.55","76.09","178.90","50.00",28642245,"2,179,461,758.60",124761
"30-Apr-2020","EQ","72.60","81.05","71.50","70.50","79.75","79.90","75.86","178.90","50.00",54295139,"4,118,586,517.75",180146
"29-Apr-2020","EQ","69.40","70.95","68.70","69.20","70.55","70.50","69.84","178.90","50.00",18028576,"1,259,169,084.95",80081
"28-Apr-2020","EQ","67.80","69.70","67.10","68.45","68.80","69.20","68.37","178.90","50.00",20423140,"1,396,382,584.65",75155
"27-Apr-2020","EQ","68.00","69.50","67.65","67.60","68.70","68.45","68.53","178.90","50.00",16723890,"1,146,090,053.20",71009
"24-Apr-2020","EQ","67.15","69.50","66.60","67.35","67.30","67.60","68.44","178.90","50.00",31588406,"2,161,815,998.40",114031
"23-Apr-2020","EQ","67.50","69.05","66.55","65.35","67.25","67.35","67.67","178.90","50.00",38208748,"2,585,411,487.25",143993
"22-Apr-2020","EQ","65.90","66.35","60.80","69.35","65.45","65.35","63.67","178.90","50.00",73847573,"4,702,073,008.45",276257
"21-Apr-2020","EQ","69.70","70.75","67.20","74.00","68.90","69.35","69.44","178.90","50.00",27607651,"1,917,189,151.20",136412
"20-Apr-2020","EQ","75.35","75.65","73.80","76.30","74.00","74.00","74.64","178.90","50.00",15699082,"1,171,801,595.50",79116
"17-Apr-2020","EQ","77.80","77.80","75.15","75.45","76.30","76.30","76.26","178.90","50.00",14565447,"1,110,828,913.35",65140
"16-Apr-2020","EQ","74.00","76.50","73.40","74.35","76.00","75.45","75.05","178.90","50.00",24473642,"1,836,858,144.65",97729
"15-Apr-2020","EQ","75.10","76.45","73.50","75.05","74.90","74.35","75.10","178.90","50.00",22311692,"1,675,587,741.15",102756
"13-Apr-2020","EQ","78.80","78.80","72.65","77.30","75.15","75.05","74.61","178.90","50.00",22316547,"1,664,979,194.25",107552
"09-Apr-2020","EQ","76.00","77.65","76.00","74.45","77.40","77.30","76.90","178.90","50.00",19210693,"1,477,380,705.00",86097
"08-Apr-2020","EQ","72.40","76.35","71.00","72.90","74.50","74.45","74.67","178.90","50.00",30556746,"2,281,694,888.50",119782
"07-Apr-2020","EQ","71.20","74.40","70.20","69.85","72.65","72.90","71.86","178.90","50.00",30983247,"2,226,538,421.15",128237
"03-Apr-2020","EQ","69.00","71.00","66.50","65.75","69.80","69.85","68.84","178.90","50.00",39761221,"2,737,029,159.50",154154
"01-Apr-2020","EQ","67.00","67.25","65.10","68.30","65.90","65.75","65.86","178.90","50.00",21883464,"1,441,200,637.30",88735
"31-Mar-2020","EQ","65.00","69.65","63.55","63.35","68.00","68.30","67.39","178.90","50.00",45892788,"3,092,928,301.45",162901
"30-Mar-2020","EQ","61.05","65.65","60.10","64.45","63.00","63.35","63.22","178.90","50.00",32935523,"2,082,183,719.65",127582
"27-Mar-2020","EQ","66.00","66.00","62.80","64.75","64.30","64.45","64.25","178.90","50.00",33298960,"2,139,570,492.10",136738
"26-Mar-2020","EQ","61.85","65.60","59.65","61.55","65.00","64.75","62.92","178.90","50.00",46474998,"2,924,215,603.15",146986
"25-Mar-2020","EQ","61.20","63.00","60.00","62.50","61.40","61.55","61.23","178.90","50.00",28639667,"1,753,644,274.25",122614
"24-Mar-2020","EQ","63.50","64.70","60.10","60.40","62.70","62.50","62.22","178.90","50.00",38810910,"2,414,634,837.25",132598
"23-Mar-2020","EQ","60.65","65.50","60.00","72.35","60.95","60.40","62.28","178.90","50.00",36059063,"2,245,595,966.70",167935
"20-Mar-2020","EQ","63.05","74.40","62.75","61.05","71.90","72.35","69.11","178.90","50.00",128784781,"8,900,610,618.55",357927
"19-Mar-2020","EQ","62.15","64.00","58.10","68.15","60.90","61.05","61.70","178.90","50.00",61261160,"3,779,959,784.05",220723
"18-Mar-2020","EQ","61.60","86.80","57.50","60.00","62.00","68.15","66.77","178.90","50.00",178593486,"11,924,871,974.50",257249
"17-Mar-2020","EQ","61.10","63.00","59.65","60.15","60.20","60.00","61.25","178.90","50.00",46722526,"2,861,820,753.90",172593
"16-Mar-2020","EQ","63.50","65.20","60.00","65.90","60.20","60.15","62.28","178.90","50.00",49834392,"3,103,828,235.30",156443
"13-Mar-2020","EQ","59.40","67.00","50.00","62.50","66.85","65.90","61.00","178.90","50.00",73052306,"4,456,292,329.60",253152
"12-Mar-2020","EQ","66.60","68.40","62.00","71.70","63.00","62.50","65.21","178.90","62.00",76138489,"4,964,907,960.10",240190
"11-Mar-2020","EQ","76.75","77.40","71.05","74.55","71.50","71.70","73.74","178.90","71.05",63570122,"4,687,670,349.90",219028
"09-Mar-2020","EQ","82.15","82.50","74.00","88.50","74.35","74.55","77.24","178.90","74.00",86674325,"6,694,336,806.00",258060
"06-Mar-2020","EQ","89.50","91.50","87.65","92.60","88.50","88.50","89.71","178.90","87.65",17823038,"1,598,970,293.05",79068
"05-Mar-2020","EQ","93.35","94.40","92.00","92.80","92.45","92.60","93.12","178.90","88.25",16357817,"1,523,224,147.25",82087
"04-Mar-2020","EQ","94.20","94.90","90.70","93.35","93.10","92.80","93.13","178.90","88.25",22998427,"2,141,825,872.85",91185
"03-Mar-2020","EQ","90.90","94.00","89.65","89.10","92.95","93.35","91.64","178.90","88.25",24098468,"2,208,353,977.05",87245
"02-Mar-2020","EQ","94.00","95.00","88.25","91.95","89.10","89.10","91.99","178.90","88.25",24442896,"2,248,479,913.00",91359
"28-Feb-2020","EQ","90.30","92.70","89.50","93.35","92.20","91.95","90.89","178.90","89.50",30416954,"2,764,656,828.60",103250
"27-Feb-2020","EQ","95.70","96.20","92.05","95.80","92.90","93.35","94.14","178.90","92.05",29616674,"2,788,115,305.45",104546
"26-Feb-2020","EQ","97.40","98.50","95.50","97.55","95.70","95.80","97.07","178.90","95.50",16192058,"1,571,740,175.45",64927
"25-Feb-2020","EQ","98.70","100.25","97.25","98.05","97.45","97.55","98.85","178.90","96.55",18255196,"1,804,520,212.60",66318
"24-Feb-2020","EQ","102.50","102.50","97.20","102.80","97.85","98.05","99.28","178.90","96.55",20167769,"2,002,333,346.80",81050
"20-Feb-2020","EQ","102.00","104.10","101.70","101.70","102.75","102.80","103.17","178.90","96.55",28378025,"2,927,738,352.75",101448
"19-Feb-2020","EQ","100.30","102.20","98.80","99.30","101.65","101.70","100.60","178.90","96.55",21806183,"2,193,682,923.40",80492
"18-Feb-2020","EQ","99.95","100.25","96.55","99.95","99.50","99.30","98.14","178.90","96.55",35575369,"3,491,272,411.20",103748
"17-Feb-2020","EQ","101.50","102.90","98.80","103.30","100.00","99.95","100.18","178.90","98.80",36666416,"3,673,059,394.60",123429
"14-Feb-2020","EQ","105.55","106.30","103.00","105.35","103.60","103.30","103.85","178.90","101.55",26644685,"2,766,924,836.35",129740
"13-Feb-2020","EQ","107.00","108.20","104.25","106.70","105.55","105.35","105.65","178.90","101.55",17702073,"1,870,244,770.85",68906
