"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","2,300.00","2,336.00","2,247.35","2,305.70","2,250.00","2,255.85","2,291.38","2,369.35","875.65",15519433,"35,560,977,455.15",342489
"18-Sep-2020","EQ","2,314.25","2,319.45","2,276.55","2,298.75","2,303.60","2,305.70","2,305.10","2,369.35","875.65",15264101,"35,185,252,645.85",219641
"17-Sep-2020","EQ","2,320.00","2,333.70","2,291.85","2,324.55","2,296.00","2,298.75","2,310.29","2,369.35","875.65",11919991,"27,538,576,983.55",286325
"16-Sep-2020","EQ","2,320.00","2,369.35","2,310.55","2,318.85","2,324.90","2,324.55","2,339.46","2,369.35","875.65",15669133,"36,657,370,887.95",321651
"15-Sep-2020","EQ","2,311.95","2,325.75","2,288.15","2,302.55","2,324.00","2,318.85","2,311.23","2,360.00","875.65",12543161,"28,990,110,978.15",270331
"14-Sep-2020","EQ","2,325.00","2,360.00","2,282.00","2,319.75","2,296.25","2,302.55","2,323.57","2,360.00","875.65",20335480,"47,250,941,267.35",450188
"11-Sep-2020","EQ","2,312.00","2,337.85","2,287.10","2,314.00","2,315.00","2,319.75","2,318.58","2,344.95","875.65",27445883,"63,635,412,477.45",599768
"10-Sep-2020","EQ","2,183.10","2,344.95","2,175.35","2,161.35","2,319.00","2,314.00","2,275.51","2,344.95","875.65",64751766,"147,343,363,142.35",1233053
"09-Sep-2020","EQ","2,085.00","2,167.80","2,081.45","2,107.10","2,163.55","2,161.35","2,136.84","2,198.80","875.65",25526055,"54,545,044,441.00",531323
"08-Sep-2020","EQ","2,092.00","2,121.00","2,080.50","2,082.65","2,103.10","2,107.10","2,108.01","2,198.80","875.65",12643762,"26,653,239,816.40",287150
"07-Sep-2020","EQ","2,084.00","2,105.75","2,044.25","2,077.25","2,099.60","2,082.65","2,071.80","2,198.80","875.65",10119099,"20,964,707,499.00",255801
"04-Sep-2020","EQ","2,083.55","2,096.95","2,072.20","2,112.10","2,080.00","2,077.25","2,084.73","2,198.80","875.65",13141705,"27,396,936,570.55",365456
"03-Sep-2020","EQ","2,128.00","2,138.75","2,103.00","2,128.20","2,114.00","2,112.10","2,112.86","2,198.80","875.65",8577741,"18,123,586,030.30",219117
"02-Sep-2020","EQ","2,092.00","2,138.00","2,085.00","2,087.25","2,128.55","2,128.20","2,119.29","2,198.80","875.65",12437209,"26,358,056,792.85",281041
"01-Sep-2020","EQ","2,100.00","2,122.40","2,062.40","2,080.70","2,092.00","2,087.25","2,091.83","2,198.80","875.65",17821488,"37,279,521,464.50",327904
"31-Aug-2020","EQ","2,174.00","2,174.00","2,060.35","2,116.15","2,070.00","2,080.70","2,118.64","2,198.80","875.65",28649141,"60,697,216,688.85",541760
"28-Aug-2020","EQ","2,120.00","2,132.90","2,106.25","2,110.60","2,116.00","2,116.15","2,118.85","2,198.80","875.65",12537684,"26,565,452,934.10",267973
"27-Aug-2020","EQ","2,148.00","2,150.00","2,103.25","2,137.30","2,108.10","2,110.60","2,126.98","2,198.80","875.65",12962139,"27,570,185,760.10",297474
"26-Aug-2020","EQ","2,085.00","2,147.95","2,047.00","2,082.10","2,133.70","2,137.30","2,102.41","2,198.80","875.65",27631028,"58,091,747,446.85",533755
"25-Aug-2020","EQ","2,106.00","2,111.30","2,078.00","2,095.75","2,082.00","2,082.10","2,089.41","2,198.80","875.65",8947709,"18,695,434,041.15",202929
"24-Aug-2020","EQ","2,091.40","2,104.50","2,070.50","2,081.85","2,099.95","2,095.75","2,090.25","2,198.80","875.65",15099030,"31,560,709,786.10",323471
"21-Aug-2020","EQ","2,118.00","2,122.00","2,077.00","2,097.05","2,084.75","2,081.85","2,096.99","2,198.80","875.65",11667281,"24,466,208,119.50",296981
"20-Aug-2020","EQ","2,120.00","2,123.90","2,088.00","2,131.55","2,098.60","2,097.05","2,109.01","2,198.80","875.65",10402292,"21,938,504,435.85",267102
"19-Aug-2020","EQ","2,141.00","2,154.00","2,121.35","2,118.55","2,137.00","2,131.55","2,137.37","2,198.80","875.65",15731409,"33,623,807,598.55",288995
"18-Aug-2020","EQ","2,085.00","2,134.30","2,082.35","2,091.35","2,120.20","2,118.55","2,118.58","2,198.80","875.65",14097932,"29,867,537,548.70",281219
"17-Aug-2020","EQ","2,105.00","2,105.00","2,070.10","2,113.80","2,094.05","2,091.35","2,085.65","2,198.80","875.65",14297224,"29,819,054,668.20",324590
"14-Aug-2020","EQ","2,122.55","2,157.00","2,089.25","2,122.05","2,112.00","2,113.80","2,129.96","2,198.80","875.65",15333759,"32,660,268,151.55",346390
"13-Aug-2020","EQ","2,128.00","2,138.90","2,110.00","2,127.60","2,125.80","2,122.05","2,122.69","2,198.80","875.65",11459251,"24,324,473,969.20",266729
"12-Aug-2020","EQ","2,121.00","2,145.00","2,106.80","2,133.80","2,126.55","2,127.60","2,129.79","2,198.80","875.65",13967529,"29,747,858,193.40",308155
"11-Aug-2020","EQ","2,134.80","2,160.00","2,100.35","2,119.85","2,132.85","2,133.80","2,133.30","2,198.80","875.65",21611359,"46,103,431,136.35",491594
"10-Aug-2020","EQ","2,159.10","2,165.00","2,108.10","2,146.45","2,121.60","2,119.85","2,136.58","2,198.80","875.65",12441939,"26,583,161,118.75",300073
"07-Aug-2020","EQ","2,129.80","2,157.80","2,120.20","2,134.10","2,146.00","2,146.45","2,141.31","2,198.80","875.65",15222384,"32,595,833,725.75",329099
"06-Aug-2020","EQ","2,157.00","2,167.70","2,107.80","2,126.45","2,136.55","2,134.10","2,139.59","2,198.80","875.65",22762726,"48,702,811,222.25",468092
"05-Aug-2020","EQ","2,169.00","2,196.00","2,118.30","2,150.60","2,132.10","2,126.45","2,153.72","2,198.80","875.65",34405886,"74,100,545,221.95",704272
"04-Aug-2020","EQ","2,020.60","2,167.00","2,000.25","2,009.00","2,158.40","2,150.60","2,098.08","2,198.80","875.65",42477225,"89,120,494,925.40",827312
"03-Aug-2020","EQ","2,051.30","2,057.00","2,003.10","2,067.10","2,007.65","2,009.00","2,029.05","2,198.80","875.65",21560137,"43,746,668,081.00",515571
"31-Jul-2020","EQ","2,114.50","2,129.00","2,052.80","2,108.85","2,070.00","2,067.10","2,077.02","2,198.80","875.65",34593375,"71,851,185,919.55",748942
"30-Jul-2020","EQ","2,099.00","2,139.70","2,072.00","2,096.65","2,101.90","2,108.85","2,111.03","2,198.80","875.65",33624516,"70,982,380,956.40",663693
