"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","19,520.95","19,600.00","18,707.65","19,520.95","18,778.90","18,903.70","19,174.39","25,355.00","15,410.00",35929,"688,916,700.00",10150
"18-Sep-2020","EQ","19,915.00","20,108.55","19,399.50","19,888.40","19,490.75","19,520.95","19,682.72","25,355.00","15,410.00",82189,"1,617,703,064.65",20677
"17-Sep-2020","EQ","20,375.00","20,375.00","19,795.95","20,387.85","19,910.00","19,888.40","20,005.88","25,355.00","15,410.00",65445,"1,309,284,998.80",16626
"16-Sep-2020","EQ","20,065.25","20,492.55","19,946.15","20,065.25","20,300.00","20,387.85","20,270.72","25,355.00","15,410.00",51069,"1,035,205,213.00",11631
"15-Sep-2020","EQ","19,779.00","20,147.90","19,600.00","19,789.50","20,070.00","20,065.25","19,947.59","25,355.00","15,410.00",71895,"1,434,132,114.90",16117
"14-Sep-2020","EQ","19,512.30","19,985.00","19,500.00","19,502.50","19,680.00","19,789.50","19,751.73","25,355.00","15,410.00",60868,"1,202,248,112.20",16661
"11-Sep-2020","EQ","19,735.50","19,735.50","19,365.10","19,643.35","19,500.00","19,502.50","19,452.33","25,355.00","15,410.00",61264,"1,191,727,512.30",11415
"10-Sep-2020","EQ","19,500.00","19,750.00","19,319.00","19,401.50","19,735.50","19,643.35","19,512.12","25,355.00","15,410.00",44713,"872,445,254.35",12038
"09-Sep-2020","EQ","19,300.00","19,566.00","19,068.05","19,355.85","19,448.00","19,401.50","19,304.96","25,355.00","15,410.00",83567,"1,613,257,804.55",21677
"08-Sep-2020","EQ","19,782.95","20,199.00","19,272.10","19,782.95","19,350.00","19,355.85","19,538.34","25,355.00","15,410.00",65858,"1,286,755,905.50",18205
"07-Sep-2020","EQ","20,100.00","20,119.15","19,636.05","20,025.30","19,760.00","19,782.95","19,792.43","25,355.00","15,410.00",59729,"1,182,181,986.40",16185
"04-Sep-2020","EQ","20,300.00","20,500.00","19,950.00","20,429.00","19,952.75","20,025.30","20,170.00","25,355.00","15,410.00",64482,"1,300,601,804.85",18178
"03-Sep-2020","EQ","20,540.00","20,849.00","20,250.70","20,563.60","20,445.00","20,429.00","20,371.03","25,355.00","15,410.00",50370,"1,026,088,946.15",13783
"02-Sep-2020","EQ","20,599.00","20,748.40","20,450.00","20,466.60","20,540.00","20,563.60","20,594.62","25,355.00","15,410.00",49617,"1,021,843,257.45",15243
"01-Sep-2020","EQ","20,449.00","20,599.95","19,975.00","20,283.00","20,440.00","20,466.60","20,292.38","25,355.00","15,410.00",74780,"1,517,464,241.00",17866
"31-Aug-2020","EQ","21,478.90","21,550.00","20,010.00","21,329.55","20,180.00","20,283.00","20,602.04","25,355.00","15,410.00",114636,"2,361,735,289.40",28768
"28-Aug-2020","EQ","21,645.00","21,800.00","21,251.50","21,528.00","21,350.00","21,329.55","21,441.68","25,355.00","15,410.00",52820,"1,132,549,305.50",14668
"27-Aug-2020","EQ","21,710.65","21,753.30","21,460.00","21,710.65","21,599.90","21,528.00","21,533.46","25,355.00","15,410.00",40826,"879,124,886.55",10873
"26-Aug-2020","EQ","21,950.00","21,999.00","21,600.05","21,810.75","21,650.00","21,710.65","21,754.37","25,355.00","15,410.00",38074,"828,275,769.80",13026
"25-Aug-2020","EQ","22,260.20","22,461.75","21,650.00","22,210.75","21,950.00","21,810.75","21,822.75","25,355.00","15,410.00",64964,"1,417,693,215.25",18480
"24-Aug-2020","EQ","22,317.75","22,543.00","22,156.00","22,317.75","22,212.00","22,210.75","22,344.24","25,355.00","15,410.00",37880,"846,399,976.05",13732
"21-Aug-2020","EQ","22,160.00","22,467.80","22,100.30","22,080.20","22,360.00","22,317.75","22,303.62","25,355.00","15,410.00",34260,"764,122,136.20",10970
"20-Aug-2020","EQ","21,974.00","22,236.45","21,788.20","22,081.30","22,044.75","22,080.20","22,025.22","25,355.00","15,410.00",37684,"829,998,305.75",11546
"19-Aug-2020","EQ","22,148.00","22,173.30","21,850.05","21,914.30","22,080.00","22,081.30","22,056.59","25,355.00","15,410.00",47993,"1,058,562,138.50",15032
"18-Aug-2020","EQ","21,512.75","21,950.00","21,512.75","21,512.75","21,900.00","21,914.30","21,791.52","25,355.00","15,410.00",76377,"1,664,370,803.70",20012
"17-Aug-2020","EQ","21,600.00","21,649.90","21,401.00","21,458.25","21,530.00","21,512.75","21,524.97","25,355.00","15,410.00",34712,"747,174,773.20",10725
"14-Aug-2020","EQ","21,395.00","21,700.00","21,201.55","21,237.00","21,470.90","21,458.25","21,477.55","25,355.00","15,410.00",78902,"1,694,622,010.75",22615
"13-Aug-2020","EQ","21,569.00","21,644.45","21,103.30","21,378.90","21,294.00","21,237.00","21,305.58","25,355.00","15,410.00",66877,"1,424,853,015.75",14448
"12-Aug-2020","EQ","21,566.00","21,634.70","21,270.00","21,551.60","21,425.00","21,378.90","21,437.39","25,355.00","15,410.00",72534,"1,554,939,603.20",18702
"11-Aug-2020","EQ","21,920.00","21,989.95","21,322.00","22,396.40","21,530.00","21,551.60","21,488.02","25,355.00","15,410.00",188583,"4,052,274,456.05",38392
"10-Aug-2020","EQ","22,200.00","22,550.00","21,939.55","21,910.10","22,330.00","22,396.40","22,354.07","25,355.00","15,410.00",125348,"2,802,037,804.40",20955
"07-Aug-2020","EQ","21,900.00","22,074.15","21,621.30","21,722.85","21,849.50","21,910.10","21,891.77","25,355.00","15,410.00",41439,"907,172,892.15",9744
"06-Aug-2020","EQ","22,120.00","22,165.00","21,530.00","22,103.90","21,849.85","21,722.85","21,950.28","25,355.00","15,410.00",56603,"1,242,451,824.05",14287
"05-Aug-2020","EQ","21,793.35","22,150.00","21,451.10","21,593.75","22,105.00","22,103.90","21,832.90","25,355.00","15,410.00",84442,"1,843,614,055.55",16544
"04-Aug-2020","EQ","21,700.00","21,940.95","21,325.90","21,747.25","21,600.00","21,593.75","21,570.26","25,355.00","15,410.00",52275,"1,127,585,437.15",15263
"03-Aug-2020","EQ","21,670.05","21,864.05","21,490.00","21,711.15","21,745.00","21,747.25","21,704.74","25,355.00","15,410.00",29527,"640,875,739.15",11135
"31-Jul-2020","EQ","21,395.50","21,890.00","21,350.00","21,395.10","21,670.00","21,711.15","21,681.62","25,355.00","15,410.00",50697,"1,099,193,204.80",15056
"30-Jul-2020","EQ","21,845.00","22,025.00","21,300.00","21,743.65","21,380.00","21,395.10","21,621.78","25,355.00","15,410.00",51699,"1,117,824,346.85",15095
"29-Jul-2020","EQ","21,696.60","22,200.00","21,624.00","21,915.75","21,710.00","21,743.65","21,942.08","25,355.00","15,410.00",65355,"1,434,024,363.45",16643
"28-Jul-2020","EQ","21,147.00","22,020.00","21,110.00","21,113.85","21,905.00","21,915.75","21,606.78","25,355.00","15,410.00",96902,"2,093,740,057.60",22210
"27-Jul-2020","EQ","21,449.95","21,590.00","21,015.95","21,332.75","21,100.00","21,113.85","21,330.42","25,355.00","15,410.00",61733,"1,316,790,823.05",14726
"24-Jul-2020","EQ","21,547.10","21,600.00","21,160.00","21,568.15","21,280.00","21,332.75","21,340.60","25,355.00","15,410.00",58309,"1,244,349,055.60",14834
"23-Jul-2020","EQ","22,023.00","22,129.45","21,501.00","21,979.45","21,560.00","21,568.15","21,689.15","25,355.00","15,410.00",69558,"1,508,653,980.10",14878
"22-Jul-2020","EQ","22,500.00","22,534.90","21,919.30","22,440.75","22,012.00","21,979.45","22,135.49","25,355.00","15,410.00",44686,"989,146,486.60",11766
"21-Jul-2020","EQ","22,495.00","22,810.00","22,260.15","22,266.10","22,387.00","22,440.75","22,535.60","25,355.00","15,410.00",73617,"1,659,003,256.00",19325
"20-Jul-2020","EQ","22,325.05","22,399.90","22,007.30","22,269.95","22,236.05","22,266.10","22,232.56","25,355.00","15,410.00",38325,"852,062,725.10",13676
"17-Jul-2020","EQ","21,731.10","22,400.00","21,606.00","21,731.10","22,311.45","22,269.95","22,093.98","25,355.00","15,410.00",38076,"841,250,272.45",11921
"16-Jul-2020","EQ","22,031.90","22,031.90","21,250.00","21,843.25","21,670.00","21,731.10","21,626.32","25,355.00","15,410.00",42359,"916,069,436.80",13447
"15-Jul-2020","EQ","22,101.00","22,274.00","21,750.00","22,085.75","21,800.00","21,843.25","21,905.89","25,355.00","15,410.00",48201,"1,055,885,639.55",13459
"14-Jul-2020","EQ","22,388.00","22,394.80","21,710.45","22,311.20","22,000.00","22,085.75","22,019.68","25,355.00","15,410.00",61251,"1,348,727,411.85",16431
"13-Jul-2020","EQ","22,460.00","22,627.85","22,250.00","22,295.40","22,300.00","22,311.20","22,393.30","25,355.00","15,410.00",52262,"1,170,318,777.00",14024
"10-Jul-2020","EQ","22,799.00","22,799.00","22,182.20","22,803.60","22,400.00","22,295.40","22,401.05","25,355.00","15,410.00",44546,"997,877,301.60",14831
"09-Jul-2020","EQ","22,622.00","22,915.00","22,380.20","22,439.80","22,810.00","22,803.60","22,649.39","25,355.00","15,410.00",48256,"1,092,969,107.35",15280
"08-Jul-2020","EQ","22,900.00","23,050.00","22,345.95","22,824.10","22,452.00","22,439.80","22,579.86","25,355.00","15,410.00",57101,"1,289,332,817.35",18520
"07-Jul-2020","EQ","23,072.50","23,087.65","22,656.00","23,111.15","22,850.00","22,824.10","22,823.91","25,355.00","15,410.00",41646,"950,524,723.15",15470
"06-Jul-2020","EQ","22,879.00","23,215.00","22,850.75","22,872.65","23,051.65","23,111.15","22,998.80","25,355.00","15,410.00",84877,"1,952,069,123.75",12527
"03-Jul-2020","EQ","22,985.00","22,987.55","22,737.55","22,762.85","22,782.90","22,872.65","22,857.11","25,355.00","15,410.00",31513,"720,296,094.50",9707
"02-Jul-2020","EQ","22,850.00","22,950.00","22,511.00","22,663.50","22,806.00","22,762.85","22,727.13","25,355.00","15,410.00",42084,"956,448,338.90",11326
"01-Jul-2020","EQ","22,814.35","23,215.00","22,516.80","23,051.05","22,599.00","22,663.50","22,827.82","25,355.00","15,410.00",71638,"1,635,339,510.70",18543
"30-Jun-2020","EQ","22,353.85","23,330.00","22,341.95","22,341.95","23,040.00","23,051.05","22,991.16","25,355.00","15,410.00",102429,"2,354,961,593.40",27662
"29-Jun-2020","EQ","22,450.00","22,483.85","21,927.60","22,523.85","22,353.85","22,341.95","22,189.50","25,355.00","15,410.00",49397,"1,096,094,975.95",13298
"26-Jun-2020","EQ","22,111.00","22,700.00","21,863.40","22,068.80","22,674.45","22,523.85","22,213.19","25,355.00","15,410.00",56262,"1,249,758,750.45",15363
"25-Jun-2020","EQ","22,495.00","22,619.10","21,889.00","22,566.25","22,148.00","22,068.80","22,306.44","25,355.00","15,410.00",47016,"1,048,759,418.65",13732
"24-Jun-2020","EQ","22,750.00","23,068.00","22,330.00","22,756.25","22,476.90","22,566.25","22,680.36","25,355.00","15,410.00",67022,"1,520,082,951.80",16609
"23-Jun-2020","EQ","22,100.00","22,943.10","22,050.00","22,017.60","22,801.00","22,756.25","22,446.79","25,355.00","15,410.00",56193,"1,261,352,407.95",15384
"22-Jun-2020","EQ","21,710.00","22,199.95","21,530.05","21,678.95","22,100.00","22,017.60","21,856.06","25,355.00","15,410.00",97692,"2,135,162,075.55",19308
"19-Jun-2020","EQ","21,840.00","21,930.00","21,566.45","21,866.10","21,650.00","21,678.95","21,738.93","25,355.00","15,410.00",64310,"1,398,030,724.10",14660
