"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","147.75","147.75","135.50","147.90","136.30","137.45","141.58","201.70","63.50",64735434,"9,165,561,173.85",259712
"18-Sep-2020","EQ","148.70","150.50","146.25","147.65","147.75","147.90","148.70","201.70","63.50",46271652,"6,880,673,993.80",160380
"17-Sep-2020","EQ","150.80","151.00","146.20","151.45","147.75","147.65","148.23","201.70","63.50",48119523,"7,132,693,233.60",189486
"16-Sep-2020","EQ","149.20","154.30","148.55","148.40","151.00","151.45","152.38","201.70","63.50",85057870,"12,960,805,723.15",310895
"15-Sep-2020","EQ","149.40","149.40","146.55","148.55","148.90","148.40","147.91","201.70","63.50",42887987,"6,343,391,226.80",149199
"14-Sep-2020","EQ","147.20","151.10","145.50","144.30","147.15","148.55","148.41","201.70","63.50",84506253,"12,541,694,740.90",308205
"11-Sep-2020","EQ","143.10","146.80","141.65","143.30","143.65","144.30","144.31","201.70","63.50",65137801,"9,399,913,625.00",219391
"10-Sep-2020","EQ","142.80","144.50","138.00","140.10","143.10","143.30","142.21","201.70","63.50",79606710,"11,320,504,743.45",263631
"09-Sep-2020","EQ","141.00","141.75","135.70","142.30","140.65","140.10","138.60","201.70","63.50",105358206,"14,602,596,240.75",297038
"08-Sep-2020","EQ","149.45","149.60","141.20","149.40","142.35","142.30","145.64","201.70","63.50",76297951,"11,111,995,747.35",251056
"07-Sep-2020","EQ","150.00","152.00","148.00","147.80","149.00","149.40","149.73","201.70","63.50",82619417,"12,370,900,506.60",295645
"04-Sep-2020","EQ","147.90","153.65","147.00","151.85","147.60","147.80","150.41","201.70","63.50",95565047,"14,373,868,490.35",318751
"03-Sep-2020","EQ","151.60","155.20","149.55","150.30","151.45","151.85","152.39","201.70","63.50",110156875,"16,787,061,799.10",355201
"02-Sep-2020","EQ","144.30","151.65","141.45","143.80","151.50","150.30","146.20","201.70","63.50",74951550,"10,957,976,732.85",246918
"01-Sep-2020","EQ","143.40","145.15","140.40","143.20","144.00","143.80","142.74","201.70","63.50",58811608,"8,394,646,496.00",185102
"31-Aug-2020","EQ","144.50","147.95","138.20","142.80","142.10","143.20","144.19","201.70","63.50",160564520,"23,151,293,812.15",430759
"28-Aug-2020","EQ","144.15","146.20","140.50","144.25","142.75","142.80","143.07","201.70","63.50",95196419,"13,619,793,279.20",296547
"27-Aug-2020","EQ","140.10","146.85","139.30","137.90","143.60","144.25","143.14","201.70","63.50",181382530,"25,962,563,255.05",527074
"26-Aug-2020","EQ","130.50","139.00","128.35","127.10","138.40","137.90","133.87","201.70","63.50",197516356,"26,441,765,429.90",583201
"25-Aug-2020","EQ","121.80","128.35","121.10","121.20","127.65","127.10","125.13","201.70","63.50",90267008,"11,294,660,730.25",268606
"24-Aug-2020","EQ","122.00","123.00","120.80","120.90","121.10","121.20","121.72","201.70","63.50",31296668,"3,809,459,829.90",106961
"21-Aug-2020","EQ","124.20","124.20","120.15","121.70","121.25","120.90","121.91","201.70","63.50",48650670,"5,930,890,162.85",171419
"20-Aug-2020","EQ","123.45","125.65","121.10","125.15","121.85","121.70","123.35","201.70","63.50",43533457,"5,370,047,661.00",167940
"19-Aug-2020","EQ","127.00","127.60","124.75","125.60","125.30","125.15","126.17","201.70","63.50",45133950,"5,694,568,520.25",137522
"18-Aug-2020","EQ","124.00","127.50","123.60","123.55","125.55","125.60","125.50","201.70","63.50",62154483,"7,800,696,583.95",186007
"17-Aug-2020","EQ","124.50","126.25","120.60","124.60","123.70","123.55","123.93","201.70","63.50",61154591,"7,579,031,713.95",194650
"14-Aug-2020","EQ","131.15","132.65","123.70","131.15","124.85","124.60","127.78","201.70","63.50",75034602,"9,587,710,674.25",284236
"13-Aug-2020","EQ","126.10","131.90","124.40","125.35","131.10","131.15","128.74","201.70","63.50",95490351,"12,293,636,061.65",314690
"12-Aug-2020","EQ","121.00","126.40","120.60","122.30","125.00","125.35","123.54","201.70","63.50",50715485,"6,265,204,115.25",181485
"11-Aug-2020","EQ","125.00","125.80","121.40","123.85","122.55","122.30","123.12","201.70","63.50",50225180,"6,183,949,984.50",151464
"10-Aug-2020","EQ","119.95","124.70","119.70","119.10","123.35","123.85","122.90","201.70","63.50",71095910,"8,737,339,637.05",243534
"07-Aug-2020","EQ","117.00","119.70","116.00","116.80","118.90","119.10","118.33","201.70","63.50",56489837,"6,684,420,204.70",169070
"06-Aug-2020","EQ","116.20","117.70","115.50","115.40","117.15","116.80","116.46","201.70","63.50",60093689,"6,998,380,454.20",161993
"05-Aug-2020","EQ","112.40","117.65","112.00","111.45","115.55","115.40","114.71","201.70","63.50",99372353,"11,398,798,628.65",266743
"04-Aug-2020","EQ","112.95","115.10","110.80","113.05","111.15","111.45","112.99","201.70","63.50",95906991,"10,836,885,472.50",270181
"03-Aug-2020","EQ","103.00","114.40","102.90","104.65","111.70","113.05","111.21","201.70","63.50",194765847,"21,659,457,969.70",522686
"31-Jul-2020","EQ","104.00","105.40","102.30","103.65","105.05","104.65","103.62","201.70","63.50",33809020,"3,503,235,249.05",115278
"30-Jul-2020","EQ","106.40","106.75","102.85","105.75","103.25","103.65","104.75","201.70","63.50",33382883,"3,496,799,099.30",128190
"29-Jul-2020","EQ","108.10","108.75","104.85","106.45","105.70","105.75","107.06","201.70","63.50",44561874,"4,770,924,220.50",148403
"28-Jul-2020","EQ","102.30","107.20","102.00","101.70","106.20","106.45","105.32","201.70","63.50",64271556,"6,769,364,530.50",201485
"27-Jul-2020","EQ","104.00","104.50","101.30","103.75","101.90","101.70","102.52","201.70","63.50",29646442,"3,039,412,219.05",108291
"24-Jul-2020","EQ","104.70","105.50","102.70","106.05","103.65","103.75","103.96","201.70","63.50",39366097,"4,092,598,759.20",141124
"23-Jul-2020","EQ","105.45","106.45","104.70","105.15","106.00","106.05","105.82","201.70","63.50",30722468,"3,251,015,129.10",110868
