"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","4,002.60","4,003.60","3,850.00","4,002.60","3,857.00","3,878.90","3,915.87","4,754.10","2,910.00",389056,"1,523,491,661.75",27898
"18-Sep-2020","EQ","3,983.90","4,019.40","3,950.00","3,968.95","4,007.05","4,002.60","3,994.51","4,754.10","2,910.00",440400,"1,759,181,865.80",27824
"17-Sep-2020","EQ","3,954.80","4,023.40","3,943.50","3,974.90","3,981.00","3,968.95","3,977.98","4,754.10","2,910.00",447295,"1,779,331,853.50",43745
"16-Sep-2020","EQ","3,933.00","3,983.85","3,920.05","3,931.45","3,972.25","3,974.90","3,966.44","4,754.10","2,910.00",418072,"1,658,258,282.20",32638
"15-Sep-2020","EQ","3,917.10","3,954.95","3,885.15","3,914.10","3,924.50","3,931.45","3,924.60","4,754.10","2,910.00",312780,"1,227,535,902.45",23451
"14-Sep-2020","EQ","3,899.95","3,969.70","3,890.00","3,904.10","3,903.00","3,914.10","3,924.00","4,754.10","2,910.00",472618,"1,854,551,885.00",37525
"11-Sep-2020","EQ","3,915.50","3,944.20","3,878.00","3,915.50","3,884.90","3,904.10","3,910.16","4,754.10","2,910.00",348305,"1,361,928,787.75",25322
"10-Sep-2020","EQ","3,837.00","3,939.00","3,825.00","3,835.60","3,935.00","3,915.50","3,873.82","4,754.10","2,910.00",433018,"1,677,431,698.55",39955
"09-Sep-2020","EQ","3,811.00","3,861.00","3,779.00","3,823.75","3,825.10","3,835.60","3,827.31","4,754.10","2,910.00",332427,"1,272,300,737.25",27018
"08-Sep-2020","EQ","3,854.80","3,862.50","3,812.65","3,848.65","3,825.00","3,823.75","3,841.03","4,754.10","2,910.00",456891,"1,754,933,655.65",28305
"07-Sep-2020","EQ","3,925.00","3,990.00","3,821.00","3,916.10","3,844.85","3,848.65","3,860.03","4,754.10","2,910.00",704103,"2,717,858,331.95",45870
"04-Sep-2020","EQ","3,913.25","3,931.95","3,880.00","3,949.00","3,921.30","3,916.10","3,903.99","4,754.10","2,910.00",438236,"1,710,870,232.85",36828
"03-Sep-2020","EQ","3,967.70","3,980.00","3,928.65","3,941.70","3,955.00","3,949.00","3,952.55","4,754.10","2,910.00",284022,"1,122,611,960.85",18798
"02-Sep-2020","EQ","3,897.20","4,045.95","3,896.15","3,912.65","3,949.90","3,941.70","3,962.63","4,754.10","2,910.00",759445,"3,009,403,164.80",53641
"01-Sep-2020","EQ","3,925.00","3,968.30","3,851.50","3,903.85","3,924.15","3,912.65","3,904.72","4,754.10","2,910.00",528815,"2,064,873,304.50",44456
"31-Aug-2020","EQ","4,062.55","4,086.30","3,882.85","4,062.55","3,910.00","3,903.85","3,963.28","4,754.10","2,910.00",680896,"2,698,582,514.25",56666
"28-Aug-2020","EQ","4,062.00","4,088.80","4,046.00","4,047.15","4,070.00","4,062.55","4,068.04","4,754.10","2,910.00",346538,"1,409,729,991.40",34282
"27-Aug-2020","EQ","4,096.00","4,116.55","4,025.80","4,079.65","4,050.10","4,047.15","4,057.26","4,754.10","2,910.00",458042,"1,858,395,743.80",48366
"26-Aug-2020","EQ","4,170.00","4,181.80","4,070.00","4,172.35","4,082.00","4,079.65","4,108.91","4,754.10","2,910.00",574774,"2,361,695,027.85",52496
"25-Aug-2020","EQ","4,191.00","4,199.00","4,142.05","4,189.60","4,171.15","4,172.35","4,173.38","4,754.10","2,910.00",373790,"1,559,967,613.60",27578
"24-Aug-2020","EQ","4,216.95","4,224.00","4,170.00","4,187.80","4,170.00","4,189.60","4,197.93","4,754.10","2,910.00",379074,"1,591,324,423.25",34262
"21-Aug-2020","EQ","4,187.90","4,202.50","4,140.10","4,144.25","4,195.00","4,187.80","4,183.29","4,754.10","2,910.00",490731,"2,052,871,465.15",43125
"20-Aug-2020","EQ","4,178.95","4,197.35","4,131.40","4,199.85","4,144.25","4,144.25","4,167.04","4,754.10","2,910.00",350931,"1,462,345,243.40",30421
"19-Aug-2020","EQ","4,186.00","4,216.00","4,172.10","4,168.95","4,200.00","4,199.85","4,198.48","4,754.10","2,910.00",618696,"2,597,581,306.70",62897
"18-Aug-2020","EQ","4,039.00","4,180.00","4,039.00","4,035.60","4,170.00","4,168.95","4,138.41","4,754.10","2,910.00",1154518,"4,777,863,366.50",74265
"17-Aug-2020","EQ","4,040.00","4,049.95","3,985.10","4,010.10","4,034.00","4,035.60","4,018.82","4,754.10","2,910.00",315955,"1,269,767,709.05",25426
"14-Aug-2020","EQ","4,045.00","4,090.90","3,965.35","4,047.30","4,010.00","4,010.10","4,044.14","4,754.10","2,910.00",661653,"2,675,817,385.75",52818
"13-Aug-2020","EQ","4,024.90","4,075.00","4,007.10","3,999.65","4,044.00","4,047.30","4,044.90","4,754.10","2,910.00",545546,"2,206,678,827.50",36847
"12-Aug-2020","EQ","3,973.45","4,014.15","3,926.00","3,968.75","4,006.65","3,999.65","3,970.84","4,754.10","2,910.00",466155,"1,851,028,784.00",43976
