"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","537.00","546.50","521.85","537.30","530.60","532.20","537.10","617.75","240.15",4907579,"2,635,869,277.35",65352
"18-Sep-2020","EQ","530.90","540.00","529.05","530.55","538.25","537.30","535.38","617.75","240.15",3868205,"2,070,957,782.55",67659
"17-Sep-2020","EQ","524.95","537.00","520.30","528.50","529.25","530.55","530.07","617.75","240.15",4036648,"2,139,696,983.40",65074
"16-Sep-2020","EQ","530.05","533.25","521.95","529.70","527.00","528.50","526.90","617.75","240.15",3961768,"2,087,454,199.60",59337
"15-Sep-2020","EQ","518.25","532.25","516.05","515.90","530.10","529.70","526.29","617.75","240.15",6222427,"3,274,827,877.95",82174
"14-Sep-2020","EQ","507.95","519.80","502.00","499.00","517.00","515.90","512.45","617.75","240.15",5861925,"3,003,947,367.40",78829
"11-Sep-2020","EQ","492.60","501.00","488.10","491.00","497.40","499.00","495.16","617.75","240.15",3410700,"1,688,858,720.20",58884
"10-Sep-2020","EQ","497.90","497.90","485.00","494.55","491.00","491.00","489.28","617.75","240.15",4004655,"1,959,391,381.05",63914
"09-Sep-2020","EQ","482.00","498.40","467.05","487.00","493.45","494.55","481.56","617.75","240.15",6078537,"2,927,203,697.25",104631
"08-Sep-2020","EQ","497.65","503.40","485.00","494.45","486.30","487.00","496.79","617.75","240.15",4844567,"2,406,719,862.75",97101
"07-Sep-2020","EQ","509.50","510.45","490.80","508.45","495.20","494.45","495.05","617.75","240.15",5255103,"2,601,543,194.25",95566
"04-Sep-2020","EQ","514.75","517.85","504.55","521.85","509.65","508.45","510.99","617.75","240.15",3768854,"1,925,855,781.20",63150
"03-Sep-2020","EQ","505.80","526.75","504.25","500.85","523.00","521.85","518.83","617.75","240.15",8589275,"4,456,335,093.40",140329
"02-Sep-2020","EQ","505.00","506.00","492.70","505.05","501.15","500.85","498.27","617.75","240.15",4153159,"2,069,384,375.60",58327
"01-Sep-2020","EQ","505.00","510.00","491.25","505.95","508.35","505.05","500.82","617.75","240.15",3980644,"1,993,589,272.75",56709
"31-Aug-2020","EQ","524.00","534.90","501.00","519.25","502.95","505.95","517.86","617.75","240.15",10825186,"5,605,921,511.70",127947
"28-Aug-2020","EQ","500.00","521.10","498.30","496.75","521.00","519.25","513.49","617.75","240.15",9809948,"5,037,289,440.20",148522
"27-Aug-2020","EQ","493.05","500.00","492.50","493.55","496.75","496.75","497.11","617.75","240.15",2426413,"1,206,194,886.90",35921
"26-Aug-2020","EQ","492.95","496.60","488.35","492.10","493.05","493.55","492.27","617.75","240.15",2839626,"1,397,874,117.00",35219
"25-Aug-2020","EQ","499.05","500.55","490.20","497.40","492.50","492.10","493.50","617.75","240.15",3431282,"1,693,322,574.45",55891
"24-Aug-2020","EQ","496.00","504.75","496.00","493.40","498.40","497.40","501.25","617.75","240.15",4042121,"2,026,103,152.40",77088
"21-Aug-2020","EQ","496.50","504.05","491.00","491.90","494.00","493.40","498.42","617.75","240.15",3426545,"1,707,857,178.75",75506
"20-Aug-2020","EQ","494.85","498.75","487.25","499.40","493.50","491.90","492.94","617.75","240.15",3081600,"1,519,037,732.65",81253
"19-Aug-2020","EQ","499.90","507.15","492.50","500.15","500.50","499.40","500.02","617.75","240.15",5405986,"2,703,115,566.85",71454
"18-Aug-2020","EQ","492.20","508.95","491.85","492.35","501.80","500.15","502.72","617.75","240.15",8890754,"4,469,590,238.10",114743
"17-Aug-2020","EQ","489.50","494.70","487.75","485.65","492.25","492.35","491.85","617.75","240.15",2230316,"1,096,973,340.70",37689
"14-Aug-2020","EQ","494.60","496.90","480.85","489.15","486.25","485.65","489.67","617.75","240.15",2431513,"1,190,647,726.75",63838
"13-Aug-2020","EQ","487.30","499.90","487.30","487.15","489.35","489.15","492.39","617.75","240.15",4549602,"2,240,157,320.15",90858
"12-Aug-2020","EQ","481.25","489.00","471.05","481.90","487.00","487.15","483.25","617.75","240.15",4332818,"2,093,831,832.70",97005
"11-Aug-2020","EQ","496.50","496.65","480.00","494.30","482.80","481.90","485.34","617.75","240.15",4360609,"2,116,399,385.00",66850
"10-Aug-2020","EQ","483.85","496.50","478.45","480.30","493.75","494.30","491.17","617.75","240.15",7603928,"3,734,853,358.10",100179
"07-Aug-2020","EQ","465.50","484.90","465.50","463.90","480.10","480.30","476.27","617.75","240.15",10013682,"4,769,261,001.90",138144
"06-Aug-2020","EQ","452.50","466.50","451.60","453.60","465.00","463.90","459.85","617.75","240.15",4177616,"1,921,088,929.55",87895
"05-Aug-2020","EQ","462.00","467.70","452.30","461.70","455.00","453.60","458.58","617.75","240.15",4736989,"2,172,309,987.60",68573
"04-Aug-2020","EQ","455.85","464.35","454.00","452.15","461.50","461.70","458.93","617.75","240.15",6194319,"2,842,754,962.75",98058
"03-Aug-2020","EQ","484.00","484.90","445.20","478.15","452.50","452.15","455.58","617.75","240.15",14444377,"6,580,593,089.70",203227
"31-Jul-2020","EQ","467.85","486.00","460.25","464.60","477.80","478.15","475.50","617.75","240.15",11062532,"5,260,198,073.75",144249
"30-Jul-2020","EQ","464.95","471.50","461.45","461.75","462.70","464.60","466.77","617.75","240.15",6219459,"2,903,039,189.70",96496
"29-Jul-2020","EQ","449.50","464.10","449.05","448.95","461.10","461.75","457.77","617.75","240.15",7119905,"3,259,289,905.60",93684
"28-Jul-2020","EQ","446.40","451.95","441.50","445.80","450.25","448.95","445.72","617.75","240.15",4626424,"2,062,106,021.60",56293
