"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Sep-2020","EQ","221.75","224.80","204.35","220.30","210.50","210.70","215.91","364.00","114.00",29829634,"6,440,419,971.25",206994
"18-Sep-2020","EQ","223.40","226.65","219.20","221.10","219.75","220.30","223.08","364.00","114.00",24883313,"5,551,078,206.80",132427
"17-Sep-2020","EQ","215.45","224.65","215.25","215.85","220.95","221.10","221.37","364.00","114.00",38033703,"8,419,624,961.35",203851
"16-Sep-2020","EQ","218.50","219.35","213.65","217.45","215.95","215.85","215.61","364.00","114.00",14876502,"3,207,525,996.10",93412
"15-Sep-2020","EQ","218.50","220.20","216.30","216.20","217.00","217.45","218.47","364.00","114.00",17216230,"3,761,297,166.60",99915
"14-Sep-2020","EQ","222.00","224.70","214.10","218.10","215.00","216.20","218.36","364.00","114.00",23005307,"5,023,338,353.90",122474
"11-Sep-2020","EQ","220.95","224.75","216.20","223.15","218.20","218.10","220.12","367.40","114.00",27201074,"5,987,565,941.30",158398
"10-Sep-2020","EQ","220.50","228.90","219.50","221.55","222.00","223.15","224.42","367.40","114.00",46078546,"10,341,139,564.55",233714
"09-Sep-2020","EQ","212.00","223.50","207.45","213.75","220.30","221.55","215.89","367.40","114.00",52807559,"11,400,611,741.30",254827
"08-Sep-2020","EQ","223.65","225.45","212.10","223.95","212.50","213.75","219.35","367.40","114.00",33661021,"7,383,625,458.75",169032
"07-Sep-2020","EQ","220.40","225.85","215.85","220.40","223.20","223.95","221.34","367.40","114.00",42979685,"9,513,186,222.50",208944
"04-Sep-2020","EQ","215.40","223.80","210.60","220.25","219.25","220.40","219.56","369.95","114.00",48964213,"10,750,668,084.10",239452
"03-Sep-2020","EQ","218.15","225.35","214.80","218.15","219.20","220.25","221.05","369.95","114.00",53032998,"11,722,949,848.20",272222
"02-Sep-2020","EQ","203.80","221.00","202.20","201.80","217.00","218.15","212.72","369.95","114.00",64987080,"13,823,759,353.25",308609
"01-Sep-2020","EQ","205.00","207.10","196.25","203.55","201.95","201.80","201.67","369.95","114.00",35361139,"7,131,174,553.50",166485
"31-Aug-2020","EQ","215.85","217.75","201.05","213.85","201.50","203.55","208.41","369.95","114.00",40765976,"8,496,051,496.55",229527
"28-Aug-2020","EQ","211.15","218.50","210.85","209.55","213.90","213.85","215.18","376.00","114.00",43106507,"9,275,744,498.60",216141
"27-Aug-2020","EQ","211.50","216.50","205.10","211.50","209.00","209.55","210.65","376.00","114.00",59248073,"12,480,894,643.25",279290
"26-Aug-2020","EQ","201.90","213.40","197.75","199.95","210.75","211.50","208.60","376.00","114.00",69274948,"14,450,948,203.00",310178
"25-Aug-2020","EQ","203.85","204.50","197.75","201.60","200.00","199.95","200.48","376.00","114.00",32296449,"6,474,660,035.00",152344
"24-Aug-2020","EQ","195.00","203.85","193.45","192.05","201.20","201.60","200.02","376.00","114.00",74694058,"14,940,549,443.90",369116
"21-Aug-2020","EQ","199.40","204.00","189.15","199.45","192.05","192.05","194.66","376.00","114.00",82296210,"16,020,120,669.15",382492
"20-Aug-2020","EQ","195.00","207.00","192.50","196.80","199.05","199.45","200.60","376.00","114.00",165959680,"33,291,796,841.95",732032
"19-Aug-2020","EQ","172.50","200.00","169.25","173.95","198.40","196.80","186.51","376.00","114.00",144863037,"27,018,248,692.00",626425
